,report_no.,report_date,sent_to_manufacturer/importer/private_labeler,publication_date,category_of_submitter,product_description,product_category,product_sub_category,product_type,product_code,manufacturer/importer/private_labeler_name,brand,model_name_or_number,serial_number,upc,date_manufactured,manufacturer_date_code,retailer,retailer_state,purchase_date,purchase_date_is_estimate,incident_description,city,state,zip,location,(primary)_victim_severity,(primary)_victim's_sex,my_relation_to_the_(primary)_victim,(primary)_victim's_age_(years),submitter_has_product,product_was_damaged_before_incident,damage_description,damage_repaired,product_was_modified_before_incident,have_you_contacted_the_manufacturer,if_not_do_you_plan_to,answer_explanation,company_comments,associated_report_numbers,asin_in_report
10,20111108-68D27-2147473517,11/8/2011,11/17/2011,12/9/2011,Consumer,Block Crayon http://blockcrayon.com/products.phpPurchased at Costco the Farm set it has bllock crayons that stack and includes animal shaped crayons. It came with a coloring book and about 14 animals and 30 or so blocks. All different colors. Block Crayon Club Pack 6020 and UPC Code:  62884506020,Toys & Children,Arts & Crafts,Crayons or Chalk (5010),5010,WOOKY ENTERTAINMENT Inc ,Block Crayon 6020,,,62884506020,,,Costco,Virginia,10/18/2011,Yes,"Hi-I purchased a set of block crayons at Costco for my 16 month old, now 17 months and I have taken away the animal shaped crayons this week. She is able to put the animal shaped one completely in her mouth. The package indicates it is for 1 year old and up, but seeing how she can easliy put an entire animal crayon in her mouth, I disagree. She is fine, but I was momentarily concerned when she at first did not want to take the cat crayon out of her mouth and whether she would choke on it. She repeated this about 30 minutes later and then I took the animals away, which is disapointing as she loved them and cried. I think this is an issue and needs to be addressed. I think they are very cute and she loves stacking them but they need to be bigger. They are made by:http://blockcrayon.com/products.phpI ahve contacted them as well.[REDACTED]",Fairfax,Virginia,22030.0,Home/Apartment/Condominium,"Incident, No Injury",Female,My Child,1.0,Yes,No,,,,Yes,,Emailed Block Crayon today. ,"Comments from Wooky entertainment Inc  12/02/2011 Wooky Entertainment Inc takes product safety issues very seriously. We investigate each CPSC database incident report. We encourage our customers to provide additional information about incidents to our Customer Service department, by calling 1-514-312-7600 , weekdays 9 a.m. - 4 p.m. ET. or visiting our website at www.wookyentertainment.com .",,
11,20111009-0808E-2147474523,10/9/2011,10/18/2011,11/1/2011,Consumer,http://blockcrayon.com/index.php  Crayons formed into the shapes of blocks and small people/animals. Animals in particular are rounded and about the size of a half-dollar coin. Could be made smaller by wearing down crayon material that they are made of.,Toys & Children,Arts & Crafts,Crayons or Chalk (5010),5010,WOOKY ENTERTAINMENT Inc ,Block Crayon,,,628845060203,5/18/2011,18511 AL001,Costco,California,10/8/2011,No,"I saw the Block Crayons product for sale in Costco. See http://blockcrayon.com/  Product is labeled as being for children 1+ years old. Some of the crayons (animal shapes) are rounded and about the size of a half-dollar coin. Presumably, they would be worn down by use as crayons and made even smaller. If crushed, I would imagine that the crayon material would shatter into small pieces too.While I didn't read all print on the package, I didn't see anything prominent about supervising children while using the product, or removing pieces that become too small.I don't think these crayons would be safe for children who still put things in their mouth, and most 1 year olds still do this.",Topanga,California,90290.0,Other,"No Incident, No Injury",,Unspecified,,,,,,,No,No,,,,
12,20150902-1BB82-2147428770,9/2/2015,9/11/2015,9/25/2015,Consumer,"Create Your Own Magic Bouncy Balls:  Create fun bouncing balls using vibrant colors and fun shaped molds in this Magic Bouncing Balls kit. Customize your own designs inside the mold, place in water and in just minutes, you are ready for high bouncing fun! Kit includes:    20 Bags Multi Colored Crystal Powder    Five Molds    Instructions http://www.hobbylobby.com/Crafts-%26-Hobbies/Kids-Crafts-%26-Activities/Activity-%26-Craft-Kits/Magic-Bouncing-Balls/p/26907Ages 6+",Toys & Children,Arts & Crafts,Metal or Plastic Molding Sets (1319),1319,CREATIVE KIDS LTD,Creative Kids,,800771,,,,Hobby Lobby,Alabama,7/8/2015,Yes,"We were given a Magic Bouncy Ball making kit as a gift.  After completing the project, we stored the balls in a plastic resealable bag so they would not dry out and become to hard to bounce properly, as per instructions.  Two weeks later I started finding the balls in the house with mold on them and promptly threw them away.  I thought it was because they were not kept properly in the bags, but then I found the ones we stored properly in the bags with mold on them as well.  I thought the product would be like a regular quarter machine bouncy ball that could be kept forever, but this is not something I would let children play with and have the possibility they would ingest mold.  My kids are disappointed I had to throw away their creations.",Hanceville,Alabama,35077.0,Home/Apartment/Condominium,"Incident, No Injury",Male,My Child,9.0,No,No,,,No,No,No,,,,
13,20160218-858BC-2147421622,2/18/2016,2/26/2016,3/11/2016,Child Service Provider,"Castle Molds from wabafun.com Purchased from Constructive Playthings catalog8 tools to make a fun castle! Lot#MS0514CN13121Castle Molds 192-101Manufactured for and distributed by WABA Fun LLC under license from Delta of Sweden AB, WABA Fun LLC, 13654 Xavier Ln. #202 Broomfield, CO  90023",Toys & Children,Arts & Crafts,Metal or Plastic Molding Sets (1319),1319,"WABA Fun, LLC","Castle Molds from wabafun.com  2014WABA Fun, LLC",LOT # MS0514CN13121 Castl Molds 192-101,,7320581921017,,,Constructive Playthings,,,No,"2/18/2016Dear Safeproducts.govI purchased a set called Shape It! Sand Castle Molds from Constructive Playthings.When I received this I set up a play area for my child care setting. A 9 year old played with the sand and molds and immediately had a cut on her hand from the sharpness of the molds. I contacted Constructive Playthings (800-832-0224) and they called me back after hearing my complaint stating they could not find any sharpness or part that would cause a cut. They asked me to return the item for their further investigation (I have not). They did offer a refund. I asked for this item to be removed from their catalog, and recalled. They have not been back in touch with me.I found the manufacturer on-line, WABA Fun, and spoke with a [REDACTED] who was going to contact sales and their marketing director. They also asked me to return the item for further investigation since they could not detect any sharpness on these molds. (I have not) They have hot been back in touch with me. In contacting both Constructive Playthings and WABA Fun, I emailed my concerns, copies of my receipts, pictures of the child's hand with a bloody band aid, and a video of my husband simulating a finger in the mold by using a carrot - in this video the carrot was clearly being shredded with pieces falling to the table. I believe this item is poorly made with little to no Quality Control being done, allowing for sharp edges and inevitable injuries to children.Thank you for checking in to this. Perhaps these two companies will take your investigation more seriously than mine.[REDACTED] - Licensed Home Child Care Provider[REDACTED][REDACTED][REDACTED][REDACTED]",Butte,Montana,59701.0,Home/Apartment/Condominium,Injury - First Aid Received by Non-Medical Professional,Female,Unspecified,9.0,Yes,No,,,No,Yes,,"I contacted both the seller and the manufacturer by phone, email, and sent photos and video",,,
14,20150214-24DAB-2147435410,2/14/2015,2/24/2015,3/18/2015,Consumer,Crayola Bath Gel Doodlers CrayonsThe model number is 42002AGO,Toys & Children,Arts & Crafts,Crayons or Chalk (5010),5010,CRAYOLA LLC,Crayola,42002AGO,,,,,Target,,2/11/2015,Yes,"We purchased Crayola Doodlers Bath Gel Crayons at Target. While bathing my son, the gel accidentally got into his eye. It caused severe burning and irritation. We contacted poison control and they advised us to flush his eye with water for 15 minutes. We did that but it was still red and swollen. The following morning, his eye was still red and swollen. We took him to the doctor who said he got a bacterial infection from the gel.",Albany,New York,12210.0,Home/Apartment/Condominium,Injury - Seen by Medical Professional,Male,My Child,1.0,Yes,No,,,No,Yes,,Still have the packaging and remaining gel. I emailed the manufacturer through their website.,,,
15,20150204-60300-2147435758,2/4/2015,2/24/2015,3/19/2015,Medical Examiner and Coroner,Play Doh,Toys & Children,Arts & Crafts,Molding Compounds (1376),1376,HASBRO INC.,Play Doh,,,,,,,,,No,6 year old female ingested Play-Doh between 01/31/2015-02/01/2015. She would not wake up on the morning of 02/01/2015. Medics were called and she taken to the hospital.,Westerville,Ohio,43081.0,Home/Apartment/Condominium,Death,Female,Unspecified,6.0,No,No,,,No,No,No,," At Hasbro, the safety of our products has always been our top priority, and we were saddened to learn of this tragic incident.  The company has been in contact with all relevant authorities re: this incident, which is still under investigation. ",,
16,20190318-B5526-2147382134,3/18/2019,11/5/2019,10/25/2019,Consumer,"Green Playskool crayon, approximately 4 inches long",Toys & Children,Arts & Crafts,Crayons or Chalk (5010),5010,"Leap Year Publishing, LLC.",Playskool,,,,,,,,,No,"While my son was coloring, he told me that one crayon was not working.  Upon inspection, there is a metal bearing ball inside the crayon.  It is a green Playskool crayon",Abington,Pennsylvania,19001.0,Home/Apartment/Condominium,"Incident, No Injury",Male,Unspecified,,Yes,,,,,No,No,,,,
17,20181208-B158D-2147383889,12/8/2018,12/21/2018,2/15/2019,Consumer,"My son received a goody bag from school with products from the Oriental Trading Company. I opened the container of slime and he took it out. Soon after, I noticed a dark line in the white slime. It turned out to be a sharp, pointed piece of plastic. ",Toys & Children,Arts & Crafts,Molding Compounds (1376),1376,"Oriental Trading Company, Inc.",,BSJIXI0618,,,,,,,,No,"My son received a goody bag from school with products from the Oriental Trading Company. I opened the container of slime and he took it out. Soon after, I noticed a dark line in the white slime. It turned out to be a sharp, pointed piece of plastic. ",,,,Unspecified,"Incident, No Injury",Male,My Child,,,,,,,,,,This item appears to be Oriental Trading Company item 13665326. It is an item that is regularly tested at an accredited third party testing laboratory under Oriental Trading Company's product safety compliance program and complies with all applicable standards.,,
18,20170705-8B651-2147399211,7/5/2017,7/13/2017,8/3/2017,Consumer,FLARP- Noise Putty (Pink)Slime product,Toys & Children,Arts & Crafts,Molding Compounds (1376),1376,JA-RU INC,FLARP,FLARP- Pink,,,,,"Five Below, Saratoga Springs",,6/29/2017,No,"On Thursday, 6/29/17 Flarp- Noise Putty (Pink) was purchased at a Five Below Store in Saratoga Springs, NY.   My 6yr old daughter accidentally got some of it in her long hair and did not inform me.  Approximately 1hr later it had dried and created a large snarly mess.  I proceeded to rinse the product with cold water to start because it says DO NOT HEAT on the label and that did nothing but make it more sticky.  I then shampooed her hair and while rinsing, I became immensely concerned when her hair literally fell off into the tub.  THIS PRODUCT ATE THROUGH MY DAUGHTERS HAIR!!!!  I did not attempt to brush it at all during this process so there was no reason other the product for her hair to broken off like that!  This is extremely infuriating considering children are playing with this product- IT IS OBVIOUSLY TOXIC!",S Glens Falls,New York,12803.0,Home/Apartment/Condominium,"Incident, No Injury",Female,My Child,6.0,Yes,No,,,No,No,,Currently still have the product left over,Our product has all of the required safety warnings and has been tested and found to comply with all applicable requirements of ASTM F963.  FLARP also has a passing TRA report to show this item is a safe product.,,
19,20160527-7A5A0-2147418272,5/27/2016,6/6/2016,6/27/2016,Consumer,Crayola twistables ,Toys & Children,Arts & Crafts,Crayons or Chalk (5010),5010,CRAYOLA LLC,Crayola twistables,,,,,,Walmart Stores Inc.,Arkansas,,No,"My daughter was coloring with a crayola twistable. She was lying in the floor and somehow managed to puncture herself under the chin. There was a decent size laceration with a lot of blood. I took her immediately to the emergency room. They cleaned her up and they were able to close the puncture wound with glue and butterfly sutures. They also performed a X-ray to confirm there were not any fragments of the crayola in the wound. She was not running, she did not fall, there was no force to cause the type of wound she received. She is bandaged up and she is sleeping. She will probably be really sore tomorrow and they said it will probably scar. There was a lot of blood and she was terrified, we are just happy she is okay and it wasn't worse. ",Auxier ,Kentucky,41602.0,Other,Injury - Emergency Department Treatment Received,Female,My Child,4.0,Yes,No,,,No,No,Yes,They need to know this seriously harmed my child ,,,
20,20201122-AC38C-2147367963,11/22/2020,2/1/2021,2/16/2021,Consumer,16 oz Flarp! noise putty,Toys & Children,Arts & Crafts,Molding Compounds (1376),1376,JA-RU INC,Flarp,335,none,0 7565600335 4,,na,CVS or Walgreens,,10/1/2020,Yes,bought Mega Flarp! noise putty - after a few weeks MOLD grew on it! ,West Bloomfield,Michigan,48323.0,Home/Apartment/Condominium,"Incident, No Injury",Male,My Child,10.0,,,,,,,,,,,
21,20201023-75D96-2147369071,10/23/2020,12/2/2020,12/16/2020,Consumer,Crayola Model Magic Putty/ ClayModel 57-6001This is a neon green hand putty that you can mold into an object. when you leave the ham putty out it forms into a hard object that you can put for display.,Toys & Children,Arts & Crafts,Molding Compounds (1376),1376,CRAYOLA LLC,Crayola,57-6001,,071-662-0609-54,,,Michael's,,9/25/2020,Yes,My son purchased Crayola model magic with his own birthday money. I went to open the package for him today and was overcome by fumes from the clay and sent into an asthma attack. This product is very unsafe and should not be sold at all especially to children.  The putty gives off fumes as you're handling it and it does not lose its terrible odor.  ,Greensburg,Pennsylvania,15601.0,Other Public Property/Office,"Incident, No Injury",Male,Self,41.0,Yes,No,,,,Yes,,,,,
22,20210209-E43A3-3053295,2/9/2021,3/2/2021,3/16/2021,Consumer,"Anker Art Scenty's Slime Diner Lunch Special with 15 Food Scented Pre-made Slime Tubs. Model 450241/OBColorful box, approximately29cm x 32cm x 5 cm in dimension. Has food scented slime 1oz tubs. Only has a choking hazard warning.Labled for ages 6 and up. I believe actual food extracts are used for scent.Brand: Anker ArtDistributor: Anker Play Products. Miami Beach Florida, 33139Manufacturer Location: Ningbo, China",Toys & Children,Arts & Crafts,Molding Compounds (1376),1376,"ANKER PLAY PRODUCTS, LLC",Anker Art,450241/OB,,,6/1/2020,,Ollie's,Delaware,12/15/2020,Yes,"My six year old son played with an Anker Art product called Scenty's Slime Diner. This slime kit contained a chiliscented slime which my son played with. He used the bathroom after playing with it, and rubbed his eyes as wellafter washing his hands. He experience an extreme burning sensation in both his pubic region and his eyes, that lefthim crying and writhing in pain for approximately two hours. At first I thought he was overracting, so I touched theslime breifly and touched my eye to make sure. My eye also burned for approximately two hours, as if I had touchedit after cutting up habaneros. Tis product does not state that any food extracts are used, it also does not mentionany food related hazards. It is apparent that this company uses food extracts in their art products. Some of theother slime scents include nut products, such as peanut butter. While this does not affect my children, this isconcerning for others that may have deadly allergies.",Millsboro,Delaware,19966.0,Home/Apartment/Condominium,Injury - Level of care not known,Male,My Child,6.0,Yes,No,,No,No,No,No,,,,
