Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Sex,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers
20170104-C0052-1620280,1/4/2017 ,8/11/2017 ,8/25/2017 ,Consumer,"Riding toys","Toys & Children","Riding Toys","Powered Riding Toys (1330)",1330,"Dynacraft BSC, Inc.","Surge Dynacraft","8803-31","12v / 08032016",,,,"Walmart","New Mexico",11/28/2016 ,No,"Caller is reporting that the ride on toy gas pedal would not stop while the 4 year old child was on it, there is no off and on switch to use.  The riding toy slammed into a flower pot, fortunately the child did not receive any injuries.  12/27 The manufacturer was contacted and she was advised that a replacement part would be sent out because the part that operate the gas pedal got stuck.Caller feels that this toy is unsafe and should be reported.","Las Cruces","New Mexico",88001,"Home/Apartment/Condominium","Incident, No Injury","","Unspecified","4",Yes,No,,,No,Yes,,," Dynacraft BSC, Inc. has reviewed this report, which it appreciates receiving given its concern for the safety of its products, and provides the following in response. The consumer’s product is subject to recall 17-162. The consumer contacted Dynacraft and after receiving a replacement pedal reported that the product was working properly.",
20180929-83CD2-2147385293,9/29/2018 ,10/11/2018 ,11/1/2018 ,Consumer,"We are the Original inventor of the Ponycycle ride on toy-----world first simulated walking animal. Through 13 years of development, manufacturing improvement, riding test and safety test, Ponycycle has dedicated to create the best walking animal and spread exhilaration to every family. Our adorable pony is comfortable to ride, soft to touch and handy to maneuver. Its function well on all kinds of movement: cantering, accelerating, swerving and stopping in a safe and efficient condition. Encounter a pony now! Ponycycle will fulfill your kids’ fantasy and also become their best childhood memory.The item number is N3184SKU: 080101318402","Toys & Children","Riding Toys","Powered Riding Toys (1330)",1330,"Dalian Pony Toy Co.","PonyCycle","PonyCycle Medium Brown Horse",,"110101415105",,,"PonyCycle",,9/25/2018 ,No,"Three days ago I got two a PonyCycle Horse Ride on toy. The UPC is: 110101415105 Here's a link to what the toy is: https://www.target.com/p/pony-cycle-brown-white-horse-ride-on-toy/-/[REDACTED]or www.ponycycle.comThe first day, my 5 year old son was riding on a smooth flat sidewalk and fell off the pony. He instantly started bleeding from this nose and teeth. Now 2 days later, my nine year old had the pony tip while he was turning in our garage. He also instantly had his nose bleeding and teeth bleeding. Both of them also got bumps on their noses and foreheads. I reported the problem to PonyCycle and they just said that it was tested safe. My kids aren't accident prone and rarely get hurt. These PonyCycles are extremely dangerous. My kids weren't doing anything abnormal with the toy. They were just riding them around normally. The ponies don't even go very fast. The problem is that their wheel base is too narrow and they tip easy. These toys really need to be recalled. I have pictures of the second accident. Please call me [REDACTED]. I'd be happy to talk with someone. I just don't want any other kid to get hurt. I do toy reviews for a living and have never seen a toy so dangerous. I've never reported a toy either. This PonyCycle is just so dangerous, that I knew I needed to report it. ","Kihei","Hawaii",96753,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Male","My Child","9",Yes,No,,,No,Yes,,"The incident just happened today, so I have the PonyCycle stored in a high place where my kids can't touch the toy. I contacted PonyCycle but got a canned response saying their ponycycle is safety tested. ","",
20160608-234AE-1575274,6/8/2016 ,6/30/2016 ,7/15/2016 ,Consumer,"Riding train toy","Toys & Children","Riding Toys","Wheeled Riding Toys, Unpowered (1398)",1398,"Kiddieland Toys Limited","Kiddieland","052670/02231015",,,,,"Target","Virginia",5/26/2016 ,No,"Caller stated that her 2 year old child arm got stuck in the Riding toy.  The child put her hard up to her forearm in the smoke stack of the train.  The caller spouse used olive oil to remove the child's arm from the toy.  There were no injuries.The manufacturer was not contacted as yet.Caller feels that the riding toy train is a safety hazard and should be reported.","Inwood","Virginia",25428,"Home/Apartment/Condominium","Incident, No Injury","Female","Unspecified","2",Yes,No,,,No,No,Yes,," The product in question meets or exceeds every testing standard, as always.  However, the customer brings up a good point about kids being too curious and sticking their hands into openings such as the train smokestack: from which the popping balls emerge.  This is not covered under any existing regulation at the moment.  Kiddieland has promptly addressed the issue by adding a warning label on the smokestack that alerts adults to the possibility of a stuck arm so it can be avoided with proper adult supervision, as is the case with all toys.  The warning goes a little further in the event that a child's hand or arm gets stuck anyway and offers a simple method to dislodge same by pouring a small amount of warm water and mild soap, such as dish washing liquid, into the space.  Neither the child nor the toy is harmed and the hand/arm is liberated quickly and safely.",
20200319-F971E-2147374306,3/19/2020 ,3/26/2020 ,4/9/2020 ,Consumer,"KiddieLand riding construction truck in yellow 05943602010819","Toys & Children","Riding Toys","Wheeled Riding Toys, Unpowered (1398)",1398,"Kiddieland Toys Limited","KiddieLand",,,,,,"Walmart ","Pennsylvania",,No,"My baby was playing with the backhoe arm and had his finger pinched. He screamed for a couple minutes before I was able to calm him back down. After he pinched his finger I checked the toy out and realized that he could’ve lost his finger with how hard this toy will pinch and push down if your finger gets in the wrong spot on the toy. ",,,,"Home/Apartment/Condominium","Injury - No First Aid or Medical Attention Received","Male","My Child","-1",Yes,No,,,No,No,Yes,"I have tried to look up how to contact the company and cannot figure out how to do that. "," Every attempt to discuss this with the mother issuing the complaint has failed.  There was only an email address to follow up and after 3 days of waiting there has been no response, so this will attempt to address the few facts already known.  First, the item in question has been rigorously tested multiple times by the factory, Intertek and Walmart, where it is distributed.  It has passed every line item for children 12-36 months, which leads to the other known fact that the child using it was only 8 months old.  This may or may not have been a factor surrounding the issue but unless and until the mother is willing to engage in a conversation about circumstances, this is as far as a response can go at this point in time.  Kiddieland always regrets any incident where a child is involved and will continue to try communicating about this particular situation in the hope that more information can be gleaned.     ",
20121121-740DD-2147461727,11/21/2012 ,12/13/2012 ,1/8/2013 ,Consumer,"Hasbro Playskool Sit 'N Spin.  Children are supposed to sit on it and turn the wheel to spin around.  Model: Classic SIT'N SPIN Model Item Number: 34848. The only other marking on the toy is etched on the bottom with no identifer as to what it is: '11041' ","Toys & Children","Riding Toys","Nonwheeled Riding Toys, Unpowered (1327)",1327,"HASBRO INC.","Playskool","Sit 'N Spin (classic model)  34848","confiscated by police",,,,"Toys R Us","Georgia",1/2/2012 ,Yes,"My 27-month old child has a Hasbro Playskool Sit 'N Spin toy which is rated by Hasbro for 18 months+.  My child tried to step on the toy (bottom wheel on the floor that spins) and lost balance when the wheel spun.  My child fell backwards and to the side and broke the femur in the right leg in half because the spinning motion twisted the leg.  Now my child is in a full body cast from the chest down (including both legs and feet to stabilize the pelvis) for approximately 5-6 weeks.  Hospital admission (including EMT transfer via ambulance to a pediatric hospital) and anethesia were required to treat the injury.  Note that the toy was at ground level (not elevated on anything) and the fall was on carpeting.  I see many, many comments from product owners online (e.g. eopinions.com) where it is stated that this toy is dangerous, the age rating is too low and that their children have fallen off from stepping on it as my child did.  Children this young do not understand how to safely use the toy, and it should be rated much higher than 18 months (at least 3 years in my opinion).  I followed the recommended age set by the manufacturer not realizing how dangerous this toy is.  Had I known, I never would have purchased it.  The police investigated and confiscated the toy.  I no longer have it in my possession.  ","Kissimmee","Florida",34741,"Home/Apartment/Condominium","Injury - Hospital Admission","Male","My Child","2",No,No,,,No,Yes,,"I contacted Hasbro on 11/20 and reported the incident and injury to Customer Service.  I was told that they take this VERY seriously and that the information would be forwarded to Quality Assurance who would call me back by EOD.  Nobody called me back."," Product safety is a top priority at Hasbro; thank you for your feedback and contacting Hasbro directly. Should you have any further questions please contact our trained professionals at 800 255 5516 or going to http://hasbro.custhelp.com ",
20140404-242B4-2147445746,4/4/2014 ,4/14/2014 ,5/5/2014 ,Consumer,"Singing pink little riding pony [Rock n' Roll Pals (049684?), without wheels]","Toys & Children","Riding Toys","Nonwheeled Riding Toys, Unpowered (1327)",1327,"Kiddieland Toys Limited","Rock n' Roll Pals","Singing pink little riding pony without wheels","I do not know","049684",5/2/2013 ,"REG. PA-9776 (HK)","K-Mart",,12/25/2013 ,No,"To Whom It May Concern, Hello, my name is [REDACTED]; we have a set of 22-month twins that are identical girls.  They weigh 21 and 20.8 pounds respectively.  Yesterday, we witnessed that our daughter flipped over forward, while riding on our singing pink little riding pony [Rock n' Roll Pals (048181?), without wheels], manufactured by Kiddleland Toys Ltd.  When she flipped over the pony, she hit her head on the corner of a table that was three feet away, causing us to worry if there might be any permanent damage.  We have currently removed the toys.  The toy indicates that it is age-appropriate for 12-36 months, which in this case we were not negligent.  They are also very mild mannered little ladies.I presume that the Rockers do not have enough support forward or back ward, because I simply tried dropping the Rocker Pony down straight from under three feet on the carpet, and the result is that the arch of the rocker forces the rocker go forward because of the weight of the head of the pony and causes the flip.  In these incidents, the rider adds additional weight, making the pony top-heavy, thus causing the flip forward with the momentum and the lack of extended support.We recommend that a review and quality control check on this toy be done accordingly.  Furthermore, this toy ought to be recalled due to the design with the lack of support.  We are filing a report with the US Consumer Product Safety commission, and will be filing a complaint with the Better Business Bureau BBB, if this situation is not rectified.Thank you &Very Respectfully, [REDACTED]","Honolulu","Hawaii",96818,"Home/Apartment/Condominium","Injury - Seen by Medical Professional","Female","My Child","1",,,,,,Yes,,"Toy ought to be recalled due to the design with the lack of support."," Kiddieland refutes the alleged complaint on the basis of several facts.  First, the test performed by the complaintant, while well intended, is too elementary on its own merits to be valid in any way.  Simple dropping any toy to determine whether it is weight biased and then extrapolating that the childs weight magnifies the problem proves nothing, whereas extensive safety tests performed by Kiddieland in accord with all established requlations over a ten year period is actually meaningful.  Furthermore, no child should be using a rocking toy when sharp objects are in the vicinity, so the question of adult supervision, clearly marked on the package, comes into play.  Finally, the safety record of Kiddieland rockers, when used according to sensible guidelines, is completely untarnished.  Kiddieland hopes to be able to discuss all this with the complaintant in the near future.",
20110906-C2AF3-2147475577,9/6/2011 ,,9/28/2011 ,Consumer,"Radio flyer 3 in 1 walker-wagon, pink for girls","Toys & Children","Riding Toys","Riding Toys, Not Specified (5005)",5005,"Radio Flyer INC.","Radio Flyer","312B",,,,,"a gift",,5/1/2009 ,Yes,"My daughter and her friend have each flipped forward while separately riding this Radio Flyer ride-on toy.  If a child picks up some speed on the ride-on toy, it can flip forward, and the child can be hurt.","Chicago","Illinois",60618,"Home/Apartment/Condominium","Incident, No Injury","Female","My Child","2",Yes,No,,,No,No,No,"Yes, still have product but don't let children ride fast on it"," Radio Flyer takes product safety issues very seriously. We investigate each CPSC database incident report. We encourage our customers to provide additional information about incidents to our Customer Service, by calling 800-621-7613, or visiting our website at www.radioflyer.com.",
20161226-56C7D-2147408924,12/26/2016 ,2/8/2017 ,2/23/2017 ,Consumer,"https://www.walmart.com/ip/American-Plastic-Toys-ABC-123-Rider/126333345","Toys & Children","Riding Toys","Wheeled Riding Toys, Unpowered (1398)",1398,"AMERICAN PLASTIC TOYS, INC.","American Plastic Toys ","Abc & 123 Rider   30140",,,,,"Walmart",,11/24/2016 ,No,"My Daughter got this toy as a present for Christmas.. followed assembly instructions. Toy Fell apart. ( axle cap came off and wheel came off. ) played with axle cap to make sure that it was secure came back apart again. This product says on the box its for 1.5 year olds and up.. this is not safe by any means for a 1.5 year old to play with if the caps are going to come off so easy they need to recall this toy and comeup with a different design to hold the wheels on.","Eastover","South Carolina",29044,"Home/Apartment/Condominium","Incident, No Injury","Female","My Child","1",Yes,No,,,No,No,,," The item referenced in CPSC case number 20161226-56C7D-2147408924 is in reference to our product # 30140 ABC & 123 Ride-on. Independent laboratories have tested and passed the product according to the appropriate ASTM standards. We also conduct regular inspections and testing to confirm quality and safety. The description provided in the complaint by the submitter is that the axle cap came off and wheel came off and that it is not safe for a 1.5 half year old to play with if the caps are going to come off. When assembled properly, the axle cap is firmly attached and will not become liberated. The product packaging and the instructions do warn against small parts and notes adult assembly required. If the consumer did not assemble the product correctly or damaged the axle cap in doing she should have contacted American Plastic Toys immediately for a replacement axle cap at no cost.  American Plastic Toys was notified on February 8, 2017 of the incident from the CPSC which was filed by the person assembling the product. Identified as the mother of the user. The person has not contacted American Plastic toys and did not indicated that she is going to do so. At American Plastic Toys safety is our top priority and all of our products meet or exceed U.S. Government and ASTM Toy Safety Requirements. The report did not involve any injury or require and first aid or medical treatment. American Plastic Toys encourages customers to contact our Customer Service Department by calling 800-521-7080 or on our website www.americanplastictoys.comWe conclude that our product does not pose a hazard as described in the above mentioned complaint.    ",
20220110-F1FE7-3558906,1/10/2022 ,1/31/2022 ,2/14/2022 ,Consumer,"kids ride-on toy","Toys & Children","Riding Toys","Powered Riding Toys (1330)",1330,"Huffy Corporation","Huffy Torex (UTV  4 x 4)","17519?","173 70 24720-JF-2891417310",,9/18/2020 ,,"Walmart","Alabama",3/14/2021 ,No,"Charged battery and tried to plug orange connectors together to run car and it jolted and blew apart. There's pictures of battery and my hand after the incident. I purchased a new battery from Amazon. It worked for a week or two, now will go in reverse but not forward.Approximately:  9/2021 the toy’s battery sparked and blew an orange colored part off of it.  The 31 year old, female consumer burned her hand while trying to plug battery into car orange piece.  She treated her injury at home.The consumer searched the Internet and purchased a replacement battery from some website. (not sure which one).(10/2021):  The toys’ front or reverse button stopped working.  The consumer has been trying to contact the manufacturer, but has not been able to find their information.The following number ([REDACTED]) is on the receipt used to purchase the toy, but she does not know what the number represents.","New Hope","Alabama",35760,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Female","Self","31",Yes,No,,No,No,Yes,Yes,"Yes","",
20170425-CF019-2147404035,4/25/2017 ,8/7/2017 ,8/21/2017 ,Consumer,"Peg perego polaris sportsman 850. Ride on toy","Toys & Children","Riding Toys","Powered Riding Toys (1330)",1330,"PEG PEREGO,U.S.A.,INC.","Peg perego ","Polaris 850 silver","651021-MAUV",,,,"Amazon",,2/20/2015 ,Yes," The pedal begins to stick when children are riding this toy. On MANY occasions my child has had to manually lift up the pedal to get the toy to stop. We have replaced this part 2 times and still continue to have problems.","Smyrna","Tennessee",37167,"Home/Apartment/Condominium","Incident, No Injury","","Unspecified","",Yes,No,,,No,Yes,,"Peg perego has replaced the parts before. Now the need replaced again","",
20110427-4A2EE-1180236,4/27/2011 ,,5/25/2011 ,Consumer,"Toy Train Thomas Foot-to-Floor Ride-on","Toys & Children","Riding Toys","Riding Toys, Not Specified (5005)",5005,"Kiddieland Toys Limited","Kiddieland","045476","unknown","unknown",,,"Walmart","Connecticut",4/26/2011 ,No,"Consumer stated that the toy train has a funnel that the ball can be dispersed from, her 3.5 year old son got his arm stuck in the funnel and the motor was still running to cause flapping of small parts and was causing discomfort to his fingers.  It took her 5-10 minutes at least before she could release his arms from the product.  There were no serious injuries just soreness to the arm.  Her son was so shook up that he fell asleep (at only 5:30 for the night) after he calmed down.Consumer stated that she is concerned that the toy is geared for 12-36 months, however, her 3.5 yr old almost had a minor injury from this toy.Consumer feels that this toy is a safety hazard and should be reported.","Willimantic","Connecticut",06266,"Unspecified","Injury - Level of care not known","Male","My Child","3",Yes,No,,,No,No,,,"",
20120523-5A0C6-1249404,5/23/2012 ,7/27/2012 ,8/10/2012 ,Consumer,"Plastic RidingToy Sku# 00d39865","Toys & Children","Riding Toys","Wheeled Riding Toys, Unpowered (1398)",1398,"LITTLE TIKES COMPANY","Little Tikes Go & Grow Litle rollin Giraffe","unknown","Sku# 00d39865","unknown",,,"unknown",,10/1/2011 ,Yes,"The caller stated that his 2 year old granddaughter had been experiencing problems with the riding toy.  The child had fell over the handle bar forward to the floor on her face, while she was riding.  This has happened more than one occasion.  She had received minors bruises due to these incidents.  There was no need for medical attention.The caller feels that the toy has a defect of being unstable which causes these incidents.The manufacturer was not contacted as yet.The caller is concerned that toy is a safety hazard and should be reported.","New Berlin","Wisconsin",53151,"Home/Apartment/Condominium","Injury - Level of care not known","Female","Other Relative","2",Yes,No,,,No,No,Yes,," Consumer contacted Little Tikes and the child is fine.  We exchanged the product and the consumer appeared satisfied.  This product has been in production for 4 years and meets or exceeds industry safety standards.",
