Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Sex,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers
20250103-8D1F1-2147334167,1/3/2025 ,1/8/2025 ,1/24/2025 ,Consumer,"It is a Kid Connection Walking Unicorn. It is a white pony with pink hooves and pink horn and a purple collar with a blue and purple mane and tail. The unicorn is attached to a leash that is pink.","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"Walmart Stores Inc.","Kid Connection","WM1222STSZ150223","PA13892HK","03405480517",1/1/2021 ,,"walmart",,11/13/2024 ,No,"My daughter got a walking unicorn from Kid Connections for a Christmas present from Walmart. When my husband went to put the batteries in the toy, the toy, and the batteries got hot instantly, and the toy smelt like it was on fire. The toy could have gone up in flames if my husband wasn't smart and knew what to look for. It is an unsafe product.","Howard","Kansas",67349,"Home/Apartment/Condominium","No Incident, No Injury","Female","My Child","3",,,,,,,,,"",
20190212-2C98C-2147382744,2/12/2019 ,2/28/2019 ,3/22/2019 ,Consumer,"Track-a-Ball Rack SetQ Toys Australia$36.99	Suggested value $49.82Product Description:Little ones will love playing with this fun, multi-color rack featuring five matching balls.Includes rack and five balls19'' W x 24'' H x 6'' DRubber woodImportedCHOKING HAZARD: Small parts. Not for children under 3 years","Toys & Children","Toys","Toys, Not Elsewhere Classified (1381)",1381,"Quins Group Pty Ltd","Q Toys Austraila",,,,,,"Zulily",,1/22/2019 ,No,"I bought from Zulily a Q Toys Australia branded wooden toy (specifically, the Track a Ball).  The Q Toys website says they are compliant with U.S. safety standards.  When I received the toy, I was immediately concerned, as the toy 1) did not look like the picture on Zulily's website, 2) had a strong and terrible smell (of chemicals), and 3) was splintering in several places.  I called Zulily a told them these concerns.  They agreed to pay for shipping to return the item, but did not speak to any of the issues I mentioned.  ",,,,"Home/Apartment/Condominium","Incident, No Injury","Unknown","Unspecified","",Yes,,,,,Yes,,"I contacted Zulily as well as the manufacturer.  I thought the product was a counterfeit and expressed these concerns to both. The manufacturer said it was in fact their product, and they agreed it was poor quality.","",
20220627-6E814-2147355377,6/27/2022 ,10/3/2022 ,10/18/2022 ,Consumer,"spaceship toys as featured in the buzz lightyear movie  and each spaceship features a very small buzz lightyear figurine","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"MATTEL, INC.","mattel","xl01& buzz lightyear/xl02&buzz light year","HHJ94-4B10G1_1103800382-4LBP/   HHJ97-4B10G1_11028","194735069118/19",,,"KOHLS",,6/26/2022 ,No,"I grew up with toys that included missle   firing features.  These toys were recalled.  I was shopping yesterday at Kohls and came across the new buzz lightyear toys from mattel.  They feature small buzz figures that are smaller than the missels of the toys that were recalled in the 70s.  I don't understand how these new toys are any less dangerous that ours were in the 70s.  I thought that this needed to be brought to the council's attention prior to there is an actual injury.  pictures show a reference to the actual size of the figurine in the package","mechanicsburg","Pennsylvania",17050,"Other","No Incident, No Injury","","No Relationship","",,,,,,,,,"",
20180305-3BEFC-1740382,3/5/2018 ,4/23/2018 ,5/7/2018 ,Consumer,"baby toy book with soft cover, that plays music","Toys & Children","Toys","Toys, Not Elsewhere Classified (1381)",1381,"VTech Electronics NA, LLC","Peek and Play Baby Book","1893",,,,,,,9/2/2017 ,Yes,"The consumer was handling the toy book for her granddaughter and was pricked on her right middle finger.  There was no injury, but the she was extremely concerned because there was an approximately 1” long (or longer) sewing needle inside the fabric, which protruded from the toy. 3/2/2018:  The consumer called the manufacturer (Tel:  800-521-2010) and reported the incident to a rep.  the rep. apologized and said sometimes these things happen.  The rep. told the consumer that she could pick a replacement toy of her choice up to the value of this toy and they would send it to her free of charge.  The consumer declined the offer, because her purpose was to provide safety hazard information to the firm. The consumer’s granddaughter has been playing with this toy for the past 3 months and has not sustained any injuries.  The consumer discontinued the child’s use of the toy.The toy does not appear to be included in any recalls.","Portland","Oregon",97201,"Home/Apartment/Condominium","Incident, No Injury","Female","Self","",Yes,Yes,,No,No,Yes,,"The consumer has the product, it was damaged and she contacted the mfr.","",
20230205-C1465-2147350935,2/5/2023 ,8/2/2023 ,8/16/2023 ,Consumer,"Hopscotch Lane bath shape sorter","Toys & Children","Toys","Water Toys (1365)",1365,"Sunny Days Entertainment LLC","Hopscotch Lane","Bath Shape Sorter ","320748","1000920748",,,"Walmart 15 Tibbetts Dr Brunswick, ME  04011",,,No,"While shopping for baby toys I noticed that this toy has very small /narrow shape blocks that pose a chocking hazard to the age listed. I think the safety of this toy needs to be checked by someone independent of the manufacturer.",,,,"Other","No Incident, No Injury","","Unspecified","",,,,,,No,,,"Sunny Days Entertainment LLC: All Sunny Days Entertainment products are thoroughly tested by approved independent third party testing facilities. The Hopscotch Lane Bath Sorter has been tested and complies with current ASTM and CPSIA standards.  Additionally, the item has been tested and complies with Walmart US Testing protocol.  ",
20210105-714F2-2147366765,1/5/2021 ,1/27/2021 ,2/10/2021 ,Consumer,"HEDGBOBO Baby Bath Toy Monkey Starfish Flow Spout Make Sprinkle Spinning Gear, 1 Water Scoop with Bear face 1 Octopus Squirt 1 Blowfish Squirt for a 1 2 3 Year Old Kids - available on Amazon","Toys & Children","Toys","Water Toys (1365)",1365,"Newlia Promo Co., Ltd","Hedgbobo","B086DMJRMD",,,,,"Amazon",,12/1/2020 ,Yes,"This is a bath toy my kids enjoyed on the tub, while supervised by at least one parent. It auctions to the side of the tub. When the auction broke, my four year old daughter started playing with the toy. Her pinky finger got stuck inside a hole in the back of the toy and could not be extracted. Required a trip to the ER to have to plastic toy safely removed and save her finger. ","CHICAGO","Illinois",60610,"Home/Apartment/Condominium","Injury - Emergency Department Treatment Received","Female","My Child","4",Yes,No,,,,No,,,"",
20210531-D0B7D-2147363813,5/31/2021 ,6/3/2021 ,6/17/2021 ,Consumer,"Wacky Waving Inflatable Tube Guy https://www.amazon.com/dp/0762462876/ref=cm_sw_em_r_mt_dp_7NKR2Z9ZR8SXG7S5004J","Toys & Children","Toys","Inflatable Toys (1325)",1325,"Hachette Book Group, Inc.","Running Press",,,"9 780762 462872",,,"amazon.com",,5/17/2021 ,No,"The item is a desktop toy, Wacky Inflatable Tube Guy, sold by Running Press as a small book with battery operated toy. Upon inserting the new alkaline battery, the toy did not work, and upon examination we realized the battery had gotten extremely hot in about 20 seconds. If we had just set the non-working toy aside, it could have caused a fire.","Solon","Ohio",44139,"Home/Apartment/Condominium","Incident, No Injury","Male","My Spouse","60",Yes,No,,,,No,,,"Hachette Book Group, Inc.: From the Publisher:Our vendor partner, Hyacinth Corporation Ltd, conducts a rigorous quality control review to ensure the product is safe before shipment and considers it to be the highest-level safety control in the toy industry. This includes two factory inspections as well as an external safety test conducted by accredited laboratory, Modern Testing Services (Global) Ltd.Factory Quality Control:1. The first inspection is to make sure the motor component operates properly. Both the electric current and rotation speeds are checked using a metering device, confirming they meet Acceptable Quality Limit standards before moving to the assembly line. 2. Once the motors are installed inside the plastic casing; every single unit is checked using the meter again to make sure the motor is correctly wired to the other electronic components and to eliminate any risk of a short circuit. The reading must fall within a safe range of electric current, otherwise the unit is rejected.3. A Battery Surface Temperature Test is conducted to ensure the surface heat meets US regulation requirements. 4. Once the product is fully assembled, the electric current test is repeated one final time. Internal Quality Control – Secondary Inspections:After the factory performs each of the above steps, Hyacinth's in-house inspectors perform the same steps according to Acceptable Quality Limit standards.External Quality Control:External quality control is handled by the accredited laboratory, Modern Testing Services (Global) Ltd. which reviews every batch of product.  All batches have met US, Canada, EU, Australia, and New Zealand safety standards, including flammability testing that has consistently determined the absence of a fire risk.  ",
20220113-CE46C-2147358011,1/13/2022 ,1/18/2022 ,2/1/2022 ,Consumer,"Sharper Image Robo Rage remote control robot fighting set - robots are named Bish and Bosh","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"MERCHSOURCE LLC","Sharper Image","1014115",,"8 43479 14765",,,"Kohls Department Store Darboy, Appleton WI 54915","Wisconsin",11/5/2021 ,No,"My grandson received a battery operated toy from us for Christmas 2021. The toy control became hot and the toy stopped working shortly after brand new batteries were installed. When the toy control was opened one of two batteries was melted and blistering. The batteries were removed and replaced with two new batteries in the same position. Within minutes the same thing happened.","Sherwood ","Wisconsin",54169,"Home/Apartment/Condominium","Incident, No Injury","Unknown","Self","71",,,,,,,,,"MERCHSOURCE LLC: Merchsource takes the safety of its consumers and the integrity of its products seriously.   Based upon the information submitted and available to Merchsource at this time, there is insufficient information to conclude that the reported incident was the result of an issue with the design or manufacture of the product.    Merchsource continues to evaluate all available reports regarding product performance and will undertake appropriate action based upon the information available to it.    ",
20230525-D7999-2147347354,5/25/2023 ,5/31/2023 ,6/22/2023 ,Consumer,"It is a small crystal ball tow about the size of a volley ball. It is hollow and has lights and it has a stuff animal toy inside. It also comes with a magic wand.","Toys & Children","Toys","Toys, Not Elsewhere Classified (1381)",1381,"Moose Toys PTY LTD","Magic Mixies Pink Magical Crystal Ball","Magic Mixies Pink Magical Crystal Ball",,,,,,,,No,"My child was given a Magic Mixies Crystal Ball for her birthday. She had it by her bedside. My daughter developed a horrible cough right after she got the toy. After a week she started having trouble breathing. Her eyes were red and her cough had gotten worse. I moved the toy to put medications next to her bed and I saw black mold in side the toy. We never had the toy any where near water. We are worried that more of the toys were manufactured with mold inside them. I told my friend about this because her daughter had that toy too and she found mold inside it.","Marina del Rey","California",90292,"Home/Apartment/Condominium","Injury - Seen by Medical Professional","Female","My Child","10",,,,,,,,,"",
20191226-2BFB0-2147375805,12/26/2019 ,2/19/2020 ,2/13/2020 ,Consumer,"Snuggle Buddy Australia, Heat and Hug Llama. White, with colored decorations. Aprox 10'x12. New in box when purchased. ","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"Dongguan Rhine Toys & Handbags Manufacturing Co., Ltd.","Snuggle Buddy Australia, Heat and Hug Llama",,,,,,"Tj Maxx",,11/4/2019 ,Yes,"My 10 year-old daughter received a Snuggle Buddy llama yesterday for Christmas. It has an insert that is meant to be microwaved for 30 seconds and then replaced into the llama for a cosy sleep toy.In the middle of the night she decided to re-warm the toy herself. She put the entire toy into the microwave and set it for 1 minute. The ears caught fire almost immediately (she thinks within 20 seconds) and completely melted the top of the toy. Thankfully she was able to get the fire out with hurting herself. When she came and got me the entire kitchen was smoky and the toy destroyed.The ears were made of a gold-burlap looking material. There wasn't any warning that the toy was extremely flammable, and I had read the warming directions and she hadn't. Also- the buttons to remove/insert the heating pack are difficult to use, so it's not hard to imagine others might stick the whole toy in the microwave out of frustration.","West Hills","California",91307,"Home/Apartment/Condominium","Incident, No Injury","Female","My Child","10",Yes,No,,,No,No,Yes,"I will mail a letter to the PO box","",
20190327-02063-2147381958,3/27/2019 ,4/4/2019 ,4/18/2019 ,Consumer,"Kids 20 Packs Dinosaurs Toy Play Set for Toddlers, Boys Educational Toy Realistic Looking 6” to 10” Assorted Dino Figures with Dinosaur Eggs, Tyrannosaurus Rex, Triceratops for Party Favors and Gift","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"Toy Choi's","Toy Choi's","Amazon ASIN# B07H4LW5RS","B07H4LW5RS","X001XAT2UV",,,"Amazon",,3/18/2019 ,No,"I purchased a 20 pcs dinosaur toy set from Amazon’s lightning deal on 3/18/2019, and received it on 3/20. When opening the packaging box, a strong chemical odor assaulted my nostrils from the [REDACTED] glue and it made me dizzy. I had to sit down and shake my head to get the conscious back. I moved them to the outdoor and left them for the entire day trying to get rid of the odor, but the smell is still very strong. I took a close view and found there are dried [REDACTED] glue all over the surfaces which I believe the manufacture use it to glue the 2 parts together on each dinosaur figure. However, they didn’t clean up the glue and just left them on the surfaces around 5-10% of surface areas. I contacted the seller and they responded me the testing report by ASTM F963 saying that their toy is non-toxic. I checked the report and seems they only tested the plastic material and the ink coating. I contacted the seller again and they responded that the toy I received should be a defected item, so they asked me to return the product and get the refund. I haven’t returned the toy because I feel it is wrong. My boy is just lucky that I checked the toy before handing to him. How about other kids? This is a $12 lightning deal and should be a high quantity sold to many families already. Its review rating is even 5 stars with 104 customer reviews. I am a product designer and have background of toy manufacturing so I am worried that this toy should be unsafe and harming other kids.  ","Irvine","California",92602,"Home/Apartment/Condominium","Incident, No Injury","Male","Self","38",Yes,No,,,No,Yes,,"Details are in my description ","",
20180708-715A4-2147386928,7/8/2018 ,7/26/2018 ,8/9/2018 ,Consumer,"Manhatten Toy soft book Find a Bear","Toys & Children","Toys","Toys, Not Elsewhere Classified (1381)",1381,"Manhattan Toy","Manhatten Toy",,,,,,"Buy buy baby",,7/1/2017 ,No,"My 10 month old baby was able to pull apart a small circular metal grommet on a page of the Manhattan Toy Find the Bear book during normal use. This could be a choking hazard or worse (edges of separated grommet are sharp).",,,,"Home/Apartment/Condominium","Incident, No Injury","Unknown","Unspecified","-1",Yes,Yes,,,No,No,Yes,," This product has been in our line for 9 years and this is the first report we have ever received regarding any kind of issue with it.  We are in contact with the consumer who made the report.  We are in the process of retrieving the damaged pieces and investigating the incident.",
20170826-4278D-2147397862,8/26/2017 ,1/19/2018 ,2/5/2018 ,Consumer,"Wreck it Ralph toy.  Bottom left foot reads:  Disney THINKWAY TOYS NADE IN CHINA.  T9 1802. ","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"Thinkway Toys","Disney ",,,,,,"Thrift store - Mission Possible",,8/26/2017 ,No,"I was pushing the back right pocket of the you, which moves the arm and makes him talk. The top of the lining that outlines the hole the pocket fits into sliced my finger underneath my fingernail almost from one side to another. ","Vestavia Hills","Alabama",35216,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Female","Self","34",Yes,,,,,No,,"The incident just happened.  I haven't had time to get rid of it yet- just put it out of my son's reach and report the incident. ","",
20180104-82175-2147394048,1/4/2018 ,4/5/2018 ,4/26/2018 ,Consumer,"Winkel Colorburst Activity Toy by Manhattan Toy Company","Toys & Children","Toys","Toys, Not Elsewhere Classified (1381)",1381,"Manhattan Toy","Manhattan Toy Company",,,,,,,,,No,"Winkel toy was being used by an infant as a grabbing toy and gum chewing toy (no teeth yet).  Product has been used by two older siblings prior each for about a 6 month time span, and stored for about a year in between each of the children in a room temperature storage tub.  Upon the third child using it, after only a couple of times being played with I noticed one of the tubes had split in half when child was playing with it.","Franklin","Wisconsin",53132,"Home/Apartment/Condominium","Incident, No Injury","Male","My Child","-1",Yes,No,,,No,No,No,," The consumer has not contacted us about this issue.  In order to investigate, at the very least we need the item number and lot code (printed on the item - 6 digits followed by two letters); in addition photos of the reported issue would be helpful.  Ideally, the item would be returned to us so that we can properly investigate.  At this point with the limited information, there is no action we can take.",
20171113-0995C-1712673,11/13/2017 ,3/19/2018 ,4/3/2018 ,Consumer,"plastic toy fire truck ages 1-5 years","Toys & Children","Toys","Toy Vehicles (Excluding Riding Toys) (5021)",5021,"Viking Toys","Viking","1231",,,,,"Tiddlywinks Toys",,11/5/2016 ,Yes,"(11/03/2017) In the back of the toy fire truck, there are two holes to insert little toy people but the consumer did not buy the little people. The consumer's grandchild was playing with the toy and put the finger of her left hand into the hole and could not get her finger out. Also, the consumer was not able to get the child's finger out. The consumer had to put oil around the child's finger and immerse her hand and the toy truck in a bag of ice water. This reduced the swelling to enable her to get the child's finger out of the hole.There were no injuries or medical attention required.","Mission Viejo","California",92692,"Home/Apartment/Condominium","Incident, No Injury","Female","Other Relative","3",Yes,No,,,No,Yes,,"Sent email on 11/3/2017-no response.","",
20200403-37D49-2147373082,4/3/2020 ,4/10/2020 ,4/24/2020 ,Consumer,"Manhattan Toy Recalls Musical Lili Llama","Toys & Children","Toys","Toy Musical Instruments (1344)",1344,"Manhattan Toy","Manhattan Toy ","Musical Lili Llama",,,,,"Amazon ",,11/11/2019 ,No,"I bought the Manhattan Toy  Musical Lili LlamaAnd when my baby played with the spinning flowers on the sides of the toy the flower fell off And the screw came out. I sew it before she put the scew in her mouth ","Tel Aviv",,,"Home/Apartment/Condominium","Incident, No Injury","Female","My Child","1",Yes,No,,,No,No,No,," Consumer should contact Manhattan Toy as the product has been recalled.",
20210419-5FE47-2147364620,4/19/2021 ,4/22/2021 ,5/6/2021 ,Consumer,"Manhattan Toy Baby Stella Take Along Baby Doll Crib. Model 	150690A link is: https://www.amazon.com/Manhattan-Toy-Stella-Along-Accessory/dp/B00E0JNMHU/ref=asc_df_B00E0JNMHU/?tag=hyprod-20&linkCode=df0&hvadid=241921977797&hvpos=&hvnetw=g&hvrand=10627033059514068562&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9008136&hvtargid=pla-499792604637&psc=1","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"Manhattan Toy","Manhattan Toy","	150690",,,,,"Amazon",,,No,"The product was the Manhattan Toy Baby Stella Take Along Baby Doll Crib. My 1-year-old daughter climbed into the crib in such a way that she became stuck, with her face down. Her arms and knees were in the crib. Her neck was positioned over a bar, and she was struggling to breath as she could not lift her head any further, and her head was against the bar. I was able to quickly pull her out and she was okay, but if I was not right there, I think she could have suffocated.","Falls Church","Virginia",22043,"Home/Apartment/Condominium","Injury - No First Aid or Medical Attention Received","Female","My Child","1",Yes,No,,,,Yes,,," This product is intended to be a toy crib for a doll.  It is not intended to hold a child and the assembly instructions include the following warning in multiple languages:  This item is a toy and is not suitable for carrying babies, children and pets.",
