Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"Riding Toy Recalled by Radio Flyer Due to Fall Hazard",8/16/2011 ,"The riding toy is red molded plastic with black wheels and measures 19 inches long, 11 inches wide and 13.5 inches tall. The riding toy's model number 711 can be found molded on the underside of the toy. Units with a yellow UPC sticker underneath the product with model #711B are not recalled.",11305,https://www.cpsc.gov/Recalls/2011/Riding-Toy-Recalled-by-Radio-Flyer-Due-to-Fall-Hazard
"Probe VI Battery-Powered Riding Toy Repair by Hedstrom",12/2/1987 ,"Probe VI Battery-Powered Riding Toy Repair by Hedstrom NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued December 2, 1987, Revised October 22, 2004 Release # 87-078 Note: Firm out of business. Consumers should discard or destroy the products to prevent injuries. Hedstrom Offers Fuse Protector Kit For Probe VI Battery-Powered Riding Toy WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission, Hedstrom Corporation, Bedford, Pennsylvania, voluntarily repaired the wiring harness in approximately 30,000 Hedstrom Probe VI battery-powered riding toys manufactured prior to June 1985 without fuses. The Commission and Hedstrom are aware of eight reported incidents in which these vehicles have caught fire. One of these incidents resulted in a serious fire in a mobile home. Fire can occur either while the toy is being stored or while it is being ridden by a child. The Probe VI is a 6-wheeled, 2-speed toy all terrain vehicle with two motors powered by two 6-volt gel-type lead acid batteries. A separate charger is supplied with each vehicle. The manufacturer recommends this toy for children from 3 to 7 years of age. Probe VI toys without fuses were manufactured from 1983 to June 1985 and distributed nationally. The affected units can be identified by the model identification label located on the front underside of the plastic body (see attached diagram). Hedstrom began using wiring harnesses with fuses at the batteries in June 1985. Units with fuses are not affected. Models affected are: 67-3890, 67-3891, 67-3892, 67-38921, 67-3893 and 67-38931 with dates of manufacture prior to June 1985, as shown on the model identification label. Consumers should stop using the vehicles immediately and discard or destroy the product. The firm is out of business and the repair program is no longer available.",87078,https://www.cpsc.gov/Recalls/1987/Hedstrom-Offers-Fuse-Protector-Kit-For-Probe-VI-Battery-Powered-Riding-Toy
"Plush Rocker Toys Recalled By Tek Nek Toys Due to Fall Hazard",3/27/2008 ,"This recall involves Rock 'N Ride plush rocker toys sold in eight models: brown pony, pink pony, pink unicorn, deluxe pony, deluxe bull, lil' penguin, lil' propeller plane and Clifford big red rocker. The toys have molded plastic rocker bases and were sold for children at least 18 months old and up to 65 lbs. A button on the toy's ear, hat or dash activates songs and phrases when pressed. Rockers included in this recall have a date code from July 26, 2007 through December 29, 2007. The date codes are printed on a sticker inside the battery compartment.",08233,https://www.cpsc.gov/Recalls/2008/Plush-Rocker-Toys-Recalled-By-Tek-Nek-Toys-Due-to-Fall-Hazard
"Wonder Spring Ride-On Horses Recalled By CBS",10/15/1987 ,"Wonder Spring Ride-On Horses Recalled By CBS NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Firm out of business. Do not use these products. Please discard or destroy these products. FOR IMMEDIATE RELEASE Originally issued October 15, 1987; Revised September 5, 2001 Release # 87061 CBS Wonder Spring Ride-On Horses Recalled WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission, CBS Inc., New York, New York, announced a voluntary recall and replacement of the plastic bodies of its Clippety Clop Comanche and Colt ride-on toy Wonder horses because the plastic body may break during use. CBS has received 105 complaints that the body of the toy has broken without warning while being ridden, causing the rider to fall suddenly. Forty of these incidents resulted in injuries such as cuts, scrapes and bruises. The Wonder horse is a painted plastic riding toy, sometimes known as a hobby horse. The body of the horse is suspended by four springs from a tubular blue or blown metal frame. Children sit on these toys and rock or bounce while holding onto dowels attached to the horse's head. Over 114,000 of these ride-on toys, produced and distributed to retailers between March 1984 and May 1986, have been sold nationally for approximately $60 each. Only those units produced prior to June 1986 by the Wonder Unit of CBS Toys are affected by this recall. Any Wonder horse with a silver label on the horse's belly, or with a number higher than 86207 stamped on its belly, is not affected by this recall. These toys were produced beginning in June 1986 from a modified mold. Consumers should immediately stop using this product and retailers should immediately remove the product from sale. The firm is out of business and a replacement is no longer available. Please discard or destroy the recalled product. Consumers may also call the Commission's toll-free hotline number at 800-638-CPSC for assistance in identifying products subject to this recall. A teletypewriter number for the hearing impaired is (301) 595-7054.",87061,https://www.cpsc.gov/Recalls/1987/CBS-Wonder-Spring-Ride-On-Horses-Recalled
"My Pet Bear Ride-On Toy - Safety Warning",6/26/1996 ,"My Pet Bear Ride-On Toy - Safety Warning NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT: Nychell White Originally issued June 26, 1996, Revised October 22, 2004 (301) 504-7063 Release # 96-151 Note: Firm out of business. CPSC, Hedstrom Issue Safety Warning for My Pet Bear Ride-On Toy WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Hedstrom Corporation of Bedford, Pa., warned owners of approximately 9,400 Hedstrom My Pet Bear ride-on toys to remove the foam covering from the two horizontal, metal support tubes in order to eliminate any risk of children choking on the foam. Hedstrom has received four reports of children biting off pieces of the protective foam. No injuries have been reported. My Pet Bear, model number 2-551, is a bouncing/rocking toy recommended for children ages nine months to 36 months. The ride, measuring 21 inches high, 36 inches long, and 22 inches wide, resembles a bear with a seat attached to its back. Four heavy springs attach the bear to a metal frame with two horizontal bars covered with light tan foam padding. Retail stores sold the My Pet Bear ride-on toy nationwide from January 1995 through May 1996 for about $45. The firm is out of business and can no longer be contacted.",96151,https://www.cpsc.gov/Recalls/1996/CPSC-Hedstrom-Issue-Safety-Warning-for-My-Pet-Bear-Ride-On-Toy
"Children's Riding Toy Recalled by Step2 Due to Fall Hazard",11/27/2012 ,"The recalled product is an X-Rider Car. It is a red, plastic toy scooter with a yellow handlebar and seat, and two blue stickers that simulate headlights. It is 14 inches high, 14 inches wide and 19 inches long. The middle of the handle bar contains the Step2 logo. Step2's contact information is located on the rider's left side of the car. Children use their feet to propel the toy.",13049,https://www.cpsc.gov/Recalls/2013/Childrens-Riding-Toy-Recalled-by-Step2-Due-to-Fall-Hazard
"Children's Riding Vehicles Recalled by Tek Nek Toys",8/31/2000 ,"Children's Riding Vehicles Recalled by Tek Nek Toys NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued August 31, 2000, Revised July 17, 2003 Release # 00-177 Tek Nek Phone Number: (888) 900-0155 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic or Mark Ross, (301) 504-7908 Note: Telephone number change. CPSC, Tek Nek Toys Announce Recall of Children's Riding Vehicles WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Tek Nek Toys, of Mokena, Ill., is recalling about 294,000 battery-powered children's riding vehicles to replace the battery chargers. The vehicles' battery charger or wires can overheat, presenting fire and injury hazards to children. CPSC and Tek Nek have received 17 reports of battery chargers and wires overheating, while vehicles were being charged. Two consumers burned their hands while unplugging or charging the vehicles. The Tek Nek vehicles being recalled are powered by one 6-volt battery and were manufactured before April 2000. The vehicles are made of plastic and were sold under the following model names: Prowler, Dodge Ram, Corvette, SPX Motorcycle and Honda. The model name appears on each vehicle. Some models have working lights and horn, engine and music sounds. A label on the vehicle reads MADE IN CHINA. Tek Nek vehicles are intended for children 1-1/2 to 4 years old, and the vehicles' speed ranges from 1 to 2 mph, depending on the model. Toy stores and discount department stores sold the vehicles nationwide from July 1998 through April 2000 for about $89. Consumers should stop using the vehicles immediately and contact Tek Nek at (888) 900-0155 between 8:30 a.m. and 5 p.m. CT Monday through Friday to receive a free, new charger. Consumers should not charge the vehicles or let children use the vehicles until they have received the new charger.",00177,https://www.cpsc.gov/Recalls/2000/CPSC-Tek-Nek-Toys-Announce-Recall-of-Childrens-Riding-Vehicles
"Step2® Recalls to Repair Riding Toys Due to Risk of Injury",5/12/2010 ,"The Step2® Push Around Buggy™ and Whisper Ride Buggy™ are ride-on toys. The buggy comes in various colors; such as, orange, red, blue, pink and green. The buggies have a red Step2 logo on the handle of the buggy. Buggies that have a handle attached by a bolt with a plastic white or black head and nut are not included in this recall.",10229,https://www.cpsc.gov/Recalls/2010/Step2-Recalls-to-Repair-Riding-Toys-Due-to-Risk-of-Injury
"Steering Wheel on Toy Car Recalled by Radio Flyer Inc.",7/25/2002 ,"Steering Wheel on Toy Car Recalled by Radio Flyer Inc. NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 25, 2002 Release #02-214 Radio Flyer Recall Hotline: (800) 621-7613/(800) 708-9246 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 CPSC, Radio Flyer Inc. Announce Recall to Replace Steering Wheel on Toy Car WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Radio Flyer Inc., of Chicago, Ill., is voluntarily recalling to replace the steering wheel on about 59,000 Model 8 Roadsters manufactured before January 2002. A child can pull the horn from the steering wheel, and a small part inside poses a choking hazard to young children. Radio Flyer has received 19 reports of horns detaching from the steering wheel. No injuries have been reported. This recall is being conducted to prevent the possibility of injuries. The Model 8 Roadster is about 26- inches long with a red steel body and a red rubber horn on a black steering wheel. The words Radio Flyer and the number 8 appear on both sides of the riding toy. Roadsters included in this recall have a date of manufacture of 12/2001 or earlier and have a horn symbol embossed on the red rubber horn. A label with the date of manufacture is located on the bottom of the Roadster. The label has the letters MD followed by a date code that represents the month and year of manufacture (for example, MD 12/2001 is for a manufacture date of December 2001). Toy stores, discount stores, catalogues and web retailers sold the Model 8 Roadsters nationwide between January 2001 and July 2002 for about $70. Consumers should take these Roadsters from young children immediately and contact Redwagons to order a replacement steering wheel. Consumers can contact Redwagons at (800) 708-9246 between 8:30 a.m. and 5 p.m. CT Monday through Friday or visit Radio Flyer's web site at www.radioflyer.com and complete an order form. For more information, consumers can contact Radio Flyer at (800) 621-7613 between 8 a.m. and 5 p.m. CT Monday through Friday. Model 8 Roadsters manufactured after January 2002 are not involved in this recall. Model 8 Roadsters with a star embossed on the horn, even if manufactured in 2001, have been re-designed and are not included in this recall.",02214,https://www.cpsc.gov/Recalls/2002/CPSC-Radio-Flyer-Inc-Announce-Recall-to-Replace-Steering-Wheel-on-Toy-Car
"Cinderella Battery-Powered Toy Cars Recalled by Dumar International USA Due to Fire and Burn Hazards",2/19/2008 ,"The electric ride-on toy resembles the Pontiac Solstice. It is light blue and has Cinderella graphics on the front and sides. The wheels, steering wheel and two seats are pink. The white dashboard may contain an optional radio. Pontiac Solstice is printed on the back of the car. Walt Disney's Cinderella Special Edition is printed on the license plate. It is designed for children 4 to 7 years old.",08195,https://www.cpsc.gov/Recalls/2008/Cinderella-Battery-Powered-Toy-Cars-Recalled-by-Dumar-International-USA-Due-to-Fire-and-Burn-Hazards
"Kiddieland Recalls Disney-branded Fairies Plastic Trikes Due to Laceration Hazard",11/1/2011 ,"his recall involves the Disney-branded Fairies Plastic Racing Trike. The trike is green and purple with a white seat and yellow wheels. On top of the handlebar, there is a Tinkerbell figure and three other rotating fairy figures. Disney Fairies is printed on the label in front of the trike just below the handlebar.",12029,https://www.cpsc.gov/Recalls/2012/Kiddieland-Recalls-Disney-branded-Fairies-Plastic-Trikes-Due-to-Laceration-Hazard
"Baja Motorsports Recalls Mini Bikes and Go-Carts Due to Fire and Burn Hazards",7/15/2010 ,"This recall involved Baja Motorsports mini bikes with model numbers beginning with HT65, MB165, WR65, MB196, DB30, WR90 and DR90 and go-carts with model numbers BB65, SD65, DN65 and TR65. The model number is located on the mini bikes' fenders and/or decorative fuel tank and on the go-carts' roll cage. They both have black plastic gas caps.",10304,https://www.cpsc.gov/Recalls/2010/Baja-Motorsports-Recalls-Mini-Bikes-and-Go-Carts-Due-to-Fire-and-Burn-Hazards
"Fisher-Price Recalls Children's Trikes Due to Risk of Serious Injury",9/30/2010 ,"This recall involves the Fisher-Price Trikes and Tough Trikes toddler tricycles with model numbers listed in the chart below and that have either a disc-shaped or D-shaped pretend key. The model numbers are located under the seat in the storage compartment. The trikes are intended for children 2 to 5 years of age. The pretend keys are located about 3 inches in front of the seat and protrude at least 5/8 inches above the trike's body. The trikes manufactured after June 16, 2010 are not included in this recall. These trikes have a modified key in a flattened D shape (see picture) and a manufacturer run number higher than 1670Q2. The run number indicates the trike was manufactured on the 167th day of 2010 or on June 16, 2010. The run number is found under the seat below the model number.",10359,https://www.cpsc.gov/Recalls/2010/Fisher-Price-Recalls-Childrens-Trikes-Due-to-Risk-of-Serious-Injury
"Disney Princess Plastic Trikes Recalled by Kiddieland Due to Laceration Hazard",4/21/2011 ,"This recall involves the Disney Princess Plastic Racing Trikes. The trikes are pink and fuchsia with a purple seat and wheels. On top of the handlebar, there is a rotating castle display surrounded by three princess figures. Disney Princess is printed on the label in front of the trike just below the handlebar.",11205,https://www.cpsc.gov/Recalls/2011/Disney-Princess-Plastic-Trikes-Recalled-by-Kiddieland-Due-to-Laceration-Hazard
"Children's Scooters Recalled by Kiddieland Due to Laceration Hazard",4/21/2011 ,"This recall involves three models of Kiddieland Lights and Sounds three-wheeled scooters including a red Spiderman, a blue Thomas & Friends™ and a pink girl's scooter. The scooters have buttons on the handle that play music and sounds. Kiddieland is molded on the back of the steering mechanism. Spiderman or Thomas & Friends™ are found on the steering mechanism and platform. The girl's model has butterflies on the platform.",11206,https://www.cpsc.gov/Recalls/2011/Childrens-Scooters-Recalled-by-Kiddieland-Due-to-Laceration-Hazard
"CPSC, Dorel Juvenile Group USA Announce Recall to Repair Battery-Powered Ride-On Vehicles",10/27/2005 ,"The recalled battery-powered ride-on vehicles include the Pink Corvette®, Torch Red Corvette®, Yellow Race Car Corvette®, Red Electroplate Corvette®, Fire Engine, and Batmobile® with the model numbers listed in the chart below. They were sold under the brands Safety 1st and Kid Trax by Safety 1st. The ride-on vehicles were manufactured between January 2004 and August 2005. The manufacture date is located on the underside of the unit and is molded into the plastic body as shown below. The circle on left displays the month of manufacture, the circle on the right displays the year of manufacture. The model numbers are located on the underside of the vehicles near the date code. Ride-On Vehicle Name Model Safety 1st Pink Corvette® 50503/50503A Safety 1st Torch Red Corvette® 50504/50504A Safety 1st Yellow Race Car Corvette® 50505/50505A Safety 1st Red Electroplate Corvette® 50521/50521A Kid Trax Fire Engine 50506/50506A Safety 1 st Batmobile® 50527",06018,https://www.cpsc.gov/Recalls/2006/CPSC-Dorel-Juvenile-Group-USA-Announce-Recall-to-Repair-Battery-Powered-Ride-On-Vehicles
