Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"General Toys Recalls Wind-Up Toys",6/4/1990 ,"CONTACT: June 4, 1990 (301) 504-7908 Release # 90-104 General Toys Recalls Wind-Up Toys WASHINGTON, DC -- General Toys of Los Angeles, CA is voluntarily recalling several plastic wind-up toys: the Happy Flapping Car, Happy Tricycle Police and Thief, Cycling Bear, Naughty Bear, and the Ice Cream Van. These toys were sold nationwide prior to March 1990. The toys may pose a fatal choking hazard to young children because of small parts and a puncture wound hazard due to sharp points. This recall is being conducted in cooperation with the U.S. Consumer Product Safety Commission (CPSC). - The Happy Flapping Car: Items #8668 and #8228 consist of a colorfully painted plastic car with a large comical cat or bear figure riding on it. Both are wearing a colored shirt and tie and a blue or white cap. The hood and trunk lids and side doors of the car open and close. The headlights are made to look like eyes, and a mouth with either white teeth and red lips or a smile with painted cheeks and a red nose pasted to the body under the front hood. The car is equipped with a bell whose striking device is a spring with a small ball on the end which comes out of the trunk area. - The Happy Tricycle Police and Thief: Item #636 consists of a painted three-wheeled motorcycle with a metal bell whose striking device is a spring with a small ball on the end which comes out of the back. Either a police officer figure or thief figure are riding the cycle. The figures have heads that resemble a dog- like animal. The police figure has a painted-on blue uniform with white gloves and the thief figure has a painted-on black outfit with black gloves. Both figures are carrying guns raised in the air with the right hand. - Cycling Bear: Item #6968 consists of a red tricycle with black tires and orange hub caps. A large blue bear sitting on the tricycle has a white snout, black eyes and nose and is wearing pink trunks. Inside a yellow basket mounted on the rear of the tricycle is a small blue bear who moves up and down as the vehicle moves forward. The tricycle is equipped with a metal bell whose striking device is a spring with a small ball on the end located in the rear of the vehicle. - Naughty Bear: Item #6976 consists of a red dinosaur-like figure with stick-on eyes, yellow arms, nose, legs and nob on the head. This figure is being ridden by a two-tone blue bear figure with a white snout, black eyes and black nose. The toy is equipped with a metal bell located in the rear above the tail. Embossed on the bottom of this toy is PAT.NO.1039684 MADE IN CHINA. - Ice Cream Van: Item #6973 consists of a pink-colored vehicle with a bear's head coming out of the top, red boots sticking out of the sides, a swirl cone on the hood, and a plastic hamburger on a bun riding on the back of the vehicle. Embossed on the bottom of this toy is PAT.NO.1031288 MADE IN CHINA. Neither the CPSC nor the company is aware of any injuries involving these toys. This voluntary recall is being conducted to prevent the possibility of injury. Consumers are urged to take these toys away from young children immediately and return them to the store where purchased for a refund, or mail them to General Toys, 516 E. 4th Street, Los Angeles, CA 90013 for a refund plus postage. For more information about this recall consumers may call General Toys at (213) 687-4929",90104,https://www.cpsc.gov/Recalls/1990/General-Toys-Recalls-Wind-Up-Toys
"Jide Trading Recalls Toy Military Figure Due to Violation of Lead Paint Standard",1/6/2010 ,"The mini military toy set is packaged on a blister card and includes a male military figure about four inches in height with various accessories.",10098,https://www.cpsc.gov/Recalls/2010/Jide-Trading-Recalls-Toy-Military-Figure-Due-to-Violation-of-Lead-Paint-Standard
"OKK Trading Recalls Toy Robots Due to Violation of Lead Paint Standard",4/9/2008 ,"The recalled robot toys were sold as a four-piece set with various colored robots each carrying a gun in one hand and a shield in the other. Interchange Robot is printed on the outside packaging of the product.",08246,https://www.cpsc.gov/Recalls/2008/OKK-Trading-Recalls-Toy-Robots-Due-to-Violation-of-Lead-Paint-Standard
"Toys R Us Recalls Elite Operations Toys Due to Violation of Lead Paint Standard",10/31/2007 ,"The recall involves four military-style Elite Operations toys, including Super Rigs (#1004), Command Patrol Center (#1020), Barracuda Helicopter (#1023), and 3-Pack 8-inch Figures (#1024). The product number is located on the toy's packaging.",08057,https://www.cpsc.gov/Recalls/2008/Toys-R-Us-Recalls-Elite-Operations-Toys-Due-to-Violation-of-Lead-Paint-Standard
"Minga Fair Trade Imports Recalls Wooden Flipping Acrobat Toys Due to Violation of Lead Paint Standard",3/20/2014 ,"The recalled flipping acrobat toys are made of painted wood and are 8.5 inches tall. The toys consist of two rectangular wooden sticks connected by a wood crosspiece near one end and a coyote, super hero, woodpecker or yellow bird wooden cartoon character suspended by nylon string at the other end.",14136,https://www.cpsc.gov/Recalls/2014/Minga-Fair-Trade-Imports-Recalls-Wooden-Flipping-Acrobat-Toys
"Flying Dolls Recalled by Tara Toy",9/2/1998 ,"Flying Dolls Recalled by Tara Toy NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE September 2, 1998 Release # 98-161 Company Phone Number: (888) 669-7087 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Tara Toy Corp. Announce Recall of Flying Dolls WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Tara Toy Corp. of Hauppauge, N.Y., is voluntarily recalling about 670,000 Flying Warrior dolls. During use, the wings of these flying dolls can break off, causing serious injuries to consumers. CPSC and Tara Toy Corp. have received four reports of the doll's wing breaking off during use. Two children suffered serious eye injuries, including a shattered iris and cataract development that required an artificial lens, and resulted in partial loss of sight. A cut under the eye and a broken front tooth also have resulted. The Flying Warrior dolls, measuring about 7 inches tall, are made of colored and metallic plastic. There are four warriors: Rotor, Blades, Gyro and Spin. The warriors have plastic metallic bodies with green, blue, red, and yellow uniform accents. Their arms are attached to yellow or red wings with accent colors. The warriors are placed on launchers, which have a pull cord to release the doll into the air. The launchers also have a foam missile that can be released into the air. The words, Made in China are embossed onto the back of the warrior's leg. Tara Toy Corp...Made in China is embossed on the launcher. The dolls are packaged in colorful cardboard window boxes. Flying Warriors...Tara is printed on the front of the box. Toy stores nationwide sold the dolls from April 1995 through December 1997 for about $7. Consumers should stop using the dolls immediately and return them to the store where purchased for a full refund. For more information about this recall, consumers should call Tara Toy Corp. toll-free at (888) 669-7087 between 9 a.m. and 5 p.m. EDT Monday through Friday.",98161,https://www.cpsc.gov/Recalls/1998/CPSC-Tara-Toy-Corp-Announce-Recall-of-Flying-Dolls
"Master Toys & Novelties Inc. Recalls Little Rider Toys Due to Violation of Lead Paint Standard",5/20/2008 ,"This recall includes a battery operated cowboy riding a horse toy. The model number 8610B is located on the product packaging. The horse and rider together measure about 8.5 inches in height by 7.5 inches in length. The rider is wearing blue pants and a red shirt and the horse is brown. Only Little Rider Toys with UPC code 603678086101 printed on the product packaging are included in the recall.",08272,https://www.cpsc.gov/Recalls/2008/Master-Toys--Novelties-Inc-Recalls-Little-Rider-Toys-Due-to-Violation-of-Lead-Paint-Standard
"RC2 Recalls Knights of the Sword Toys Due to Violation of Lead Paint Standard",9/26/2007 ,"The three recalled silver knight toys are mounted on red horses sold individually in see-through blister cards. Britain's and Knights of the Sword are printed on the top of the card in the packaging. The recalled toys include a mounted silver knight on a red horse with an axe; a mounted silver knight on a red horse with two hands on a raised weapon; and a mounted silver knight on a red horse with a lance.",07310,https://www.cpsc.gov/Recalls/2007/RC2-Recalls-Knights-of-the-Sword-Toys-Due-to-Violation-of-Lead-Paint-Standard
"Toy Figures Recalled by Henry Gordy International Due to Violation of Lead Paint Standard",10/31/2007 ,"The posable spaceman figures are about 4½ inches tall and come with two accessories. They were sold in various colors including yellow, grey, silver, blue, green, gold, black, and red.",08060,https://www.cpsc.gov/Recalls/2008/Toy-Figures-Recalled-by-Henry-Gordy-International-Due-to-Violation-of-Lead-Paint-Standard
"Disney Donald Fun Farms & Disney World Airport Toys Recalled by Arcotoys",8/28/1989 ,"Disney Donald Fun Farms & Disney World Airport Toys Recalled by Arcotoys NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE August 28, 1989 Release # 89-082 Arcotoys Offers Parts Exchange For Disney Donald Fun Farms And Disney World Airport Toys WASHINGTON, D.C. -- Arcotoys Inc., Westbury, New York, has announced a voluntary recall of certain toy vehicles and the character Goofy contained in the company's Disney Donald's Fun Farm, Item No., 6112, and Disney World Airport, Item No. 6113. The sets were sold nationwide from February 1, 1988 through February 8, 1989 for approximately $12.99 each. Tests conducted by the U.S. Consumer Product Safety Commission (CPSC) revealed that the wheels attached to the vehicles' axles and Goofy's ears are small parts which can separate from the toys and present a potential choking hazard. Neither CPSC nor the company has received any reports or complaints of small parts separation or injury associated with these products. Consumers should remove only the following items and return them to Arcotoys Inc., 800 Shemes Drive, Westbury, NY 11590 for an exchange with comparable vehicles and characters: (1) Disney Donald's Fun Farm #6112: -remove the four-wheel tractor (2) Disney World Airport #6113: -remove the four-wheel blue, yellow and red vehicles which have blue or yellow wheels; and -remove Goofy who has long ears, gold hat and shoes, orange shirt, green vest, brown pants, and white hands. The Fun Farm toy was imported from Hong Kong, and identified by U.S. Customs at the Ports of Buffalo and Seattle during joint surveillance with the U.S. Consumer Product Safety Commission. For further information consumers may call Arcotoys at 1-800-442-2664.",89082,https://www.cpsc.gov/Recalls/1989/Arcotoys-Offers-Parts-Exchange-For-Disney-Donald-Fun-Farms-And-Disney-World-Airport-Toys
"OKK Trading Recalls Toy Army Figures Due to Violation of Lead Paint Standard",12/3/2008 ,"The recall involves 7½-inch tall plastic toy Army figures. The figures are dressed in Army fatigues and have guns.",09060,https://www.cpsc.gov/Recalls/2009/OKK-Trading-Recalls-Toy-Army-Figures-Due-to-Violation-of-Lead-Paint-Standard
"Toy Wrestler Figures Recalled by A.A. of America Due to Violation of Lead Paint Standard",1/15/2008 ,"The recalled toy is a package of four action figures. Each figure is about 5 3/4 inches high. The UPC number 604111230003 is printed on the product's packaging.",08164,https://www.cpsc.gov/Recalls/2008/Toy-Wrestler-Figures-Recalled-by-AA-of-America-Due-to-Violation-of-Lead-Paint-Standard
"Push Toys Recalled by Santa's Toy Corp. Due to Violation of Lead Paint Standard",4/16/2008 ,"The recall involves a push toy of a plastic horse with rider and a 20-inch-long pole/handle. The horse and pole/handle together measure about 26 inches. The rider is wearing red pants and a green shirt. The horse comes in various colors.",08249,https://www.cpsc.gov/Recalls/2008/Push-Toys-Recalled-by-Santas-Toy-Corp-Due-to-Violation-of-Lead-Paint-Standard-
"Liquidation Outlet, Inc. Recalls Action Figure Toys Due to Violation of Lead Paint Standard; Sold Exclusively at Dollar Stores",8/27/2009 ,"The Force Soldier playsets come in a plastic bag with SKU number 70134 printed on the header card. The soldiers (two per bag) are 5 in height and come with an airplane, machine guns and a tropical tree. The Pirate Expeditions come in blister packs in two styles with the SKU number 70136 printed on the header cards. Pirate Expedition figures are 6.5 in height and have assorted accessories including a parrot or a treasure chest.",09332,https://www.cpsc.gov/Recalls/2009/Liquidation-Outlet-Inc-Recalls-Action-Figure-Toys-Due-to-Violation-of-Lead-Paint-Standard-Sold-Exclusively-at-Dollar-Stores
"Toys Included with Kids Meals Recalled by Fazoli's",8/29/2000 ,"Toys Included with Kids Meals Recalled by Fazoli's NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE August 29, 2000 Release # 00-171 Fazoli's Recall Hotline: (877) 401-7408 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 Fazoli's Media Contact: Charlie Lousignont, (859) 268-1668 CPSC, Fazoli's Announce Recall of Toys Included with Kids Meals WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Fazoli's Management Inc., is voluntarily recalling about 310,000 Pasta Pals toys included with Fazoli's Kids Meals. The toy is a plastic, barrel-shaped container with small, plastic tomato and ravioli figures inside. The bottom of the container can fit over a child's nose and mouth, which could pose a suffocation hazard to children under 3 years of age. Fazoli's has received one report of a child putting the container over his mouth. No injuries have been reported. The Pasta Pals toy's blue container measures about 2.5 inches in diameter and 2 inches deep. Inside are three red tomato figures and three yellow ravioli figures. Children can empty the figures out of the container and link them to form a chain. FAZOLI'S ITALIAN FOOD...FAST is imprinted onto the top of the barrel. (c)2000Fazoli's Management, Inc. and Made in China are imprinted into the bottom of the barrel. Fazoli's restaurants nationwide included the Pasta Pals toys with Fazoli's Kids Meals from January 2000 through August 2000. Consumers should immediately take the barrel-shaped container away from young children. Discard the container or return it to any Fazoli's restaurant for a free Italian Lemon Ice. For more information, consumers can call Fazoli's toll-free at (877) 401-7408 anytime or visit the firm's web site at http://www.fazolis.com/recall.html. Consumers can also view a video clip about this recall (transcript). This is in streaming video format.",00171,https://www.cpsc.gov/Recalls/2000/CPSC-Fazolis-Announce-Recall-of-Toys-Included-with-Kids-Meals
"Horse Toy Figures Recalled by Blip Toys Due to Violation of Lead Paint Standard",1/26/2010 ,"This recall involves the Nature Wonders HD pinto horse toy figures with model number 92093. The plastic horse is white with brown spots and measures about 4 inches tall. The model number and Nature Wonders HD are printed on the retail tag wrapped around the horse's leg.",10120,https://www.cpsc.gov/Recalls/2010/Horse-Toy-Figures-Recalled-by-Blip-Toys-Due-to-Violation-of-Lead-Paint-Standard
"MEGA Brands Recalls MagnaMan Magnetic Action Figures; Ingested Magnets Pose Aspiration and Intestinal Hazards",3/17/2008 ,"The recalled MagnaMan magnetic toys are figures that have body parts that attach with magnets. They come in either a Futuristic Warrior or Ancient Warrior theme. Each figure comes with three accessories. Name Color Model # Name Model # Alien Green 28170 Robot Assortment 28198 Robotor Red 28171 Vac Metal 28327 Flame Orange 28172 4-Pack 28175 Gigantor Blue 28173 3-Pack 28393 Toyoto the Samurai Purple 28164 2-Pack 28392 Sir Lancelot the Knight Gray 28165 Vac Metal Assortment 28327 Eric the Viking Blue 28166 Assortment 28254 or 28199 Brutus the Gladiator Yellow 28167 The model number is printed on the front of the product's packaging.",08222,https://www.cpsc.gov/Recalls/2008/MEGA-Brands-Recalls-MagnaMan-Magnetic-Action-Figures-Ingested-Magnets-Pose-Aspiration-and-Intestinal-Hazards
