Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"Crib Toys Recalled by Johnson & Johnson",6/2/1986 ,"Crib Toys Recalled by Johnson & Johnson NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE June 2, 1986 Release # 86-36 Issues Complaint Seeking Recall Of Johnson & Johnson Crib Toys Washington, D.C. -- The U.S. Consumer Product Safety Commission today announced that its staff has issued a Complaint against Johnson & Johnson Baby Products Co., Inc. seeking a recall of over 1.6 million crib toys because of alleged strangulation hazards to infants. The Commission authorized issuance of the Complaint by a 3-l vote with Acting Chairman Graham and Commissioners Scanlon and.,Armstrong voting for the Complaint and Commissioner Dawson voting against it. Commissioner Statler recused himself from participating in this matter. The Complaint alleges two young children have strangled on the toys. A 10 month old boy died in Temple Hills, Maryland, in October, 1984, when he became entangled in the strings tying a Soft Triplet toy across his crib. A seven month old girl died in Coronado, California in December, 1985, when she was caught by the neck on top of a Triplet stretched across her crib. The Soft Triplet, Piglet Crib Gym, and Triplets Marching Band toys can be hung across cribs and playpens and used as crib gyms. Consumers use their own strings or cords to tie the Soft Triplets and Marching Band toys. Once children can raise their heads over the strings or over the toy, they can get caught and strangle. Over 1.6 million Soft Triplets were sold by mail order from 1979 to March of 1986 through magazines such as Parents, American Baby, and Baby Talk. About 62,000 Piglets and 3,000 Marching Band toys were sold through retail outlets nationwide, the Piglets from 1982 to 1984 and the Marching Band from 1985 to March to 1986. The toys consist of three soft doll-like figures held together with elastic and with plastic rings at each end and are advertised for use from birth to 24 months. The staff believes these toys are dangerous and should be removed from cribs and playpens immediately. While Johnson & Johnson is conducting a warning campaign against hanging the toys in cribs or playpens, the staff believes the toys should be recalled and removed from children's environments completely to prevent deaths and injuries.",86036,https://www.cpsc.gov/Recalls/1986/Issues-Complaint-Seeking-Recall-Of-Johnson--Johnson-Crib-Toys
"High Chair Gym Toys Recalled by The First Years",2/24/1998 ,"High Chair Gym Toys Recalled by The First Years NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE February 19, 1998 Release # 98-071 Company Phone Number: (800) 533-6708 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, The First Years Announce Recall to Repair High Chair Gym Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), The First Years of Avon, Mass., is recalling about 108,000 First Years High Chair Gym toys for repair. The clacker balls hanging from the center of the toy present a choking hazard to young children. CPSC and The First Years have received 2 reports of children getting one of the clacker balls stuck in the throat and blocking the airway. Nearby adults were able to pull the balls free and prevent the children from choking. The First Years is offering a free repair kit, consisting of easily installed permanent covers for the ball-shaped ends of the clacker toy. The covers will prevent the toy from entering a child's throat. The First Years High Chair Gym is an activity toy consisting of a metal wire frame about 7 inches high and 10.5 inches wide. It attaches to a high chair tray by two large red suction cups. Several brightly colored plastic toys hang from the wire frame. Two 1-inch diameter plastic clacker balls, one black and one white, are suspended from the center of the frame by rigid plastic arms about 3.5 inches long. A yellow plastic spinning toy on one end of the frame has the first years molded in one end with a sun on the opposite end. Discount and toy stores sold the First Years High Chair Gym toy nationwide from January 1995 through November 1997 for about $10. Consumers should take the toy away from children immediately and call The First Years at (800) 533-6708 anytime for the free repair kit and installation instructions or write to The First Years at One Kiddie Drive, Avon, MA 02322-1171.",98071,https://www.cpsc.gov/Recalls/1998/CPSC-The-First-Years-Announce-Recall-to-Repair-High-Chair-Gym-Toys
"Infant's exercising Toy Recalled",11/29/1979 ,"November 29, 1979 Release # 79-068 Infant's exercising Toy Recalled WASHINGTON, D. C. (November 29)-- Approximately 1,000 toys which may pose a hazard to infants are being recalled by the toy's retailer, the F.A.O. Schwarz Company, of New York City. The recall is being conducted in cooperation with the U.S. Consumer Product Safety Commission (CPSC). The toy, know as an infant crib exerciser, consists of a red elastic cord strung with colored wooden beads and rings. The 17-inch elastic cord poses a potential strangulation hazard to infants who could become entangled in the cord. The toy was imported from J. Schowanek, a manufacturer in West Germany, and was sold in F.A.O. Schwarz stores for $7.95 between July, 1976 and January, 1979. The foreign manufacturer stated that it has stopped producing this toy. Consumers who purchased the crib exerciser from F.A.O. Schearz can receive a full refund by returning the toy to any F.A.O. Schwarz store with proof-of-purchase. F.A.O. Schwarz told CPSC that other firms have imported and sold the toy but that Schearz does not know the names of these companies. CPSC urges consumers to contact its toll-free Hotline at (800) 638-2772 if they know of other importers or retailers of the hazardous exercises",79068,https://www.cpsc.gov/Recalls/1979/Infants-exercising-Toy-Recalled
"L'il Tots Crib Toy Recalled",6/19/1989 ,"L'il Tots Crib Toy Recalled NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE June 19, 1989 Release # 89-045 L'il Tots Crib Toy Recalled WASHINGTON, D.C. -- McCrory Corporation, York, is voluntarily recalling approximately 6,000 L'il Tots Baby's First Gift Sets because one of the toys in the set, the Hanging Melody Bells, may present a potential strangulation hazard to infants. The Baby's First Gift Sets were distributed on the East and West coasts and throughout the South in 1986 for about $11.99. The Hanging Melody Bells toy consists of a white plastic strap approximately 28 inches long with five colored plastic bells suspended from it. The ends of the strap allow the toy to be attached to a crib or playpen rail. While no strangulations or injuries have been reported to McCrory, it is recalling this toy because consumers may leave the toy in the crib longer than is considered safe. In particular, the package is labeled as appropriate for children ages three to 18 months, but does not caution consumers to remove the bells from the crib when the infant begins to push up on hands and knees or reaches five months of age. Also, the package does not contain information about the risk if the toy is not removed. According to the U.S. Consumer Product Safety Commission, five-month-old infants can pull themselves up to a hanging crib toy and may become entangled or fall forward over it, possibly strangulation. Consumers should take the Hanging Melody Bells away from children and return them to the nearest McCrory store for a refund of the purchase price. For more information, or to locate the nearest store, consumers may call McCrory toll-free at 1-800-284-3704, ext. 7514.",89045,https://www.cpsc.gov/Recalls/1989/Lil-Tots-Crib-Toy-Recalled
"Crib Exercisers Recalled by Play Spaces",5/14/1980 ,"Crib Exercisers Recalled by Play Spaces NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE May 14, 1980 Release # 80-018 Hazardous Crib Exercisers Recalled WASHINGTON, D.C. (May 14) -- Approximately 600 infant toys known as crib exercisers or baby chains are being recalled because they may pose a strangulation hazard to infants. The recall is being conducted voluntarily by the toy's importer, Play Spaces International, of Waltham, Massachusetts, in cooperation with the U.S. Consumer Product Safety Commission. The toy consists of an elastic cord strung with 11 colored wooden rings and balls and is intended to be suspended over the infant after being strung across from one crib railing to the other. CPSC staff believes, however, that parents mistakenly might position the toy close enough to enable the infant to become entangled in the elastic and thereby strangle. Parents also might place the toy in the crib with their child, according to CPSC staff. No injuries or deaths involving this toy have been reported to the firm or to CPSC. The exercisers have been sold in retail stores nationwide for approximately $7.50 each. The toys are sold in plastic packages which are labeled Schowanek and Made in West Germany. The package may be stamped with model number 10890. Consumers should return the toys to the place of purchase for a full cash refund.",80018,https://www.cpsc.gov/Recalls/1980/Hazardous-Crib-Exercisers-Recalled
"SnackTime Stroller Toy Bar Recalled by Kids II",7/19/1996 ,"SnackTime Stroller Toy Bar Recalled by Kids II NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Phone number change. FOR IMMEDIATE RELEASE CONTACT: Originally issued July 19, 1996; Revised July 9, 2001 (301) 504-7908 Release # 96-169 CPSC and Kids II Announce Recall of SnackTime Stroller Toy Bar WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Kids II of Alpharetta, Ga., is voluntarily recalling about 99,000 SnackTime Stroller Toy Bars, model number 669. A rattle attached to the bar can break open, releasing small beads. Children could inhale the beads into their lungs, causing serious injury. Kids II and CPSC are aware of one incident in which a child swallowed a piece of the toy, but was not injured. Kids II reported the hazard to CPSC. The toy, which fits over the front bar of a stroller, measures approximately 14 inches long and three inches wide. The bar is decorated with four plastic figures: a flower, a caterpillar, a bear, and a frog. Caregivers can place food and bottles in two of the four figures on the bar: a green and pink cup holder that resembles a flower, and a green frog's head that opens into a removable, spill-resistant bowl. Two other figures on the bar function as games for children: a purple and pink caterpillar with large plastic rings attached by white strings, which functions as a stacking teether; and a yellow bear holding a rattle and jingle balloons. The bear also plays music when consumers press a heart-shaped button on the bear's stomach. The stroller toy bar was packaged in a cardboard box with a see-through window labeled in part, SnackTime Stroller Toy Bar, Model Number 669 ... Combines Snacktime and Playtime for babies on the go! ... Easily attaches to stroller crossbars ... KIDS II ... For Ages Up To 3 Years ...  Various retail stores and discount centers sold the stroller toy bars nationwide from July 1995 to June 1996 for about $13 to $15. SnackTime Stroller Toy Bars available at stores after August 1, 1996, with model number 683 and containing a date code, are not subject to this recall. Consumers should stop using the toy bar immediately and return it to Kids II at 1015 Windward Ridge Parkway, Alpharetta, GA 30202. Kids II will send consumers a replacement stroller toy bar. For more information, consumers should call Kids II at (770) 751-0442.",96169,https://www.cpsc.gov/Recalls/1996/CPSC-and-Kids-II-Announce-Recall-of-SnackTime-Stroller-Toy-Bar
"Musical Crib Mobile Recalled by Woodcrafter Kits",6/4/1987 ,"Musical Crib Mobile Recalled by Woodcrafter Kits NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE June 4, 1987 Release # 87-033 MUSICAL CRIB MOBILE RECALLED WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission, Woodcrafter Kits, Inc., Yarmouth, Maine, today announced a voluntary recall of Model LP-205 Musical Mobiles due to excessive lead in the paint on this toy. The red paint on the clear plastic rings of the toy contains approximately 8% lead. This paint flakes off easily, posing a lead poisoning hazard to children. Current CPSC regulations permit no more than 0.06% lead in paint. Neither CPSC nor Woodcrafter know of any lead poisoning incidents associated with this toy. The firm received a single complaint regarding flaking paint, and its investigation revealed that the paint contained excessive lead. This recall involves only the model LP-205 Musical Mobile Toy, which is designed to be attached to a crib rod and which features two smiling satellites slowly orbiting over the child as music plays. Other toys in the Little Playmates series and Musical Mobiles with rings in colors other than a combination of clear and red are not involved. A total of 364 units were manufactured and distributed nationwide. All but 107 toys have been located by Woodcrafter. The toys sold at retail for $20.00. Consumers owning the recalled units should immediately take them from their children's reach and return them to the store where purchased for a complete refund or exchange. They may also return the toy to Woodcrafter Kits, Inc., 42A North Elm Street, Yarmouth, Maine 04096 for a refund of $20.00, plus postage. For further information, consumers may call CPSC's toll-free hotline number 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",87033,https://www.cpsc.gov/Recalls/1987/MUSICAL-CRIB-MOBILE-RECALLED
"Crib Rail Toys Recalled by Summer Infant Products",12/14/1998 ,"Crib Rail Toys Recalled by Summer Infant Products NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE December 14, 1998 Release # 99-037 Company Phone Number: (800) 426-8627 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Summer Infant Products Inc. Announce Recall of Crib Rail Toys WASHINGTON, D.C. In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Summer Infant Products Inc., of Cumberland, R.I., is recalling about 5,000 Garden Play Yard Pals crib and play yard rail toys. The plastic flower toy stem on this toy can break when bent, creating a sharp edge hazard for young children, and possibly causing cuts or puncture injuries. Summer Infant Products, Inc. has received three reports of flower stem breaking. There have been no reported injuries. Garden Play Yard Pals attaches to cribs and play yard rails. The toy includes three figures on a plastic base: a gopher in a cup, a butterfly with a spinning ball rattle, and a flowered mirror with red and purple clackers around its stem. Summer is written in white letters on the front of the base. The toy was packaged in a box labeled with UPC number 0 12914 05802 2. Retail and specialty stores, including Babies R Us, Ross Stores, TJ Maxx, and Value City, sold the toy from February 1998 through November 1998 for approximately $12. Consumers should stop using the Garden Play Yard Pals immediately. For more information and to get a replacement product or a refund, call Summer Infant Products at (800) 426-8627 between 8:30 a.m. and 4:30 p.m. EST Monday through Friday, or write the company at Summer Infant Products, 33 Meeting Street, Cumberland, RI 02864.",99037,https://www.cpsc.gov/Recalls/1999/CPSC-Summer-Infant-Products-Inc-Announce-Recall-of-Crib-Rail-Toys
"Baby Toy Warning",10/17/1989 ,"Baby Toy Warning NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT: OCTOBER 17, 1989 (301) 504-7908 Release # 90-001 Baby Toy Warning WASHINGTON, D.C. -- The U.S. Consumer Product Safety Commission, as a precaution, is issuing a warning on the Shelcore 8 in 1 Play Center with four corner holes manufactured prior to 1988. Play Centers manufactured after July, 1988 do not contain four corner holes and are not subject to this notice. Consumers are warned not to attach the Play Center by strings to a crib or playpen. If strings are not tied tightly or become loosened with use, the string between the toy and the crib may present a potential strangulation hazard if a child places his neck over the excess string. The Company never received a consumer complaint or report of injury associated with this product. The Play Center, model No. 61012, measures approximately 10 inches by 10 inches by one inch and contains four corner holes and eight multi-colored, eight-sided individual toys which can be pulled out and played with separately. The toy was designed for children between the ages of nine to 36 months. The toys were sold nationwide for about $8.50 each. To date, approximately 400,000 units have been sold. Attachment to a mesh-sided playpen is more dangerous than to a wooden crib or playpen since the flexible mesh creates a greater potential for entrapment. In July, 1988, Shelcore, Inc. redesigned the product without corner holes so it cannot be attached to anything. Play centers which do not contain four corner holes are not subject to this warning. Consumers who have attached the Play Center to a crib or playpen by strings should immediately cut and throw away the strings. The toy can still be used safely on the floor of a crib or playpen.",90001,https://www.cpsc.gov/Recalls/1990/Baby-Toy-Warning
"Crib Toy Safety Alert issued by Fisher-Price",10/10/1984 ,"Crib Toy Safety Alert issued by Fisher-Price NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Phone number change. FOR IMMEDIATE RELEASE Originally issued October 10, 1984; Revised October 29, 2002 Release # 84-058 CPSC And Fisher-Price Issue Crib Toy Safety Alert WASHINGTON, D.C. -- Fisher-Price, in cooperation with the U.S. Consumer Product Safety Commission, today voluntarily issued a product safety alert concerning the company's #155 Play Gym -- an activity bar toy for cribs. In late March the Company received a report that a one-year old child died when a hooded sweater became entangled on a #155 Play Gym. A previous death was reported in May 1980 due to a child's clothing catching on a Play Gym. In 1981, Fisher-Price voluntarily began labeling this crib toy to warn parents to remove the Play Gym from their child's crib when he is able to push up on hands and knees or reached 5 months of age. A child who can push up on hands and knees while wearing loose clothing or any stringlike material around the neck may become entangled on the Play Gym or other similar toys that attach across a crib. There may be unlabeled Play Gyms still in use. Therefore, the Commission and Fisher-Price are issuing this alert and urging parents to remove these toys from cribs and playpens as soon as their child begins to push up on hands and knees. The Commission and Fisher-Price also advise parents against putting children in cribs while the infants are wearing hooded clothing or any loose-fitting garments that could become entangled about a child's neck. Consumers outside of New York State who have questions may call Fisher-Price directly on a toll-free line: 1-800-233-4004. Consumers may also contact the Commission's toll-free hotline for further information at 1-800-638-CPSC. The teletypewriter number for the hearing-impaired is (301) 595-7054.",84058,https://www.cpsc.gov/Recalls/1984/CPSC-And-Fisher-Price-Issue-Crib-Toy-Safety-Alert
"Infant Toys Recalled by Fisher-Price",3/2/1998 ,"Infant Toys Recalled by Fisher-Price NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Phone number change. FOR IMMEDIATE RELEASE Originally issued March 2, 1998, Revised October 29, 2002 Release # 98-074 Company Phone Number: (800) 233-4004 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 Fisher-Price Contact: Laurie Strong, (716) 687-3395 CPSC, Fisher-Price Announce Recall of Infant Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Fisher-Price Inc., of East Aurora, N.Y., is voluntarily recalling about 21,000 cookie-shaped refrigerator magnet toys and 49,000 crib mobiles. The magnet can come apart and release small plastic pieces, presenting a choking hazard to young children. Part of the mobile can detach and fall into the crib, presenting a risk of injury to young children. Fisher-Price has received 59 reports of cookie magnets coming apart. One report involved a child ingesting plastic pieces and nine reports involved children putting plastic pieces in their mouths, which were removed by adults. Fisher-Price has received 78 reports of mobile parts detaching. Forty-one reports involved the mobile's rotating ring and mirror detaching and falling into cribs, resulting in 15 injuries, such as bumps and bruises. The refrigerator magnet toy looks like a partially eaten chocolate cookie with colorful candy pieces on top. The bottom of the cookie is white. Only cookie-shaped magnets with date codes from 224 through 228, sold after September 1, 1997, are involved in this recall. The date code is imprinted on the back of the magnet and is the first three digits of an alpha-numeric code. The cookie-shaped magnet is sold as part of a three-piece Refrigerator Activity Magnet Set, Fisher-Price No. 71126. The other two magnets look like a carrot and a piece of cheese. Only the cookie magnet is being recalled. The crib mobile toy is a round, rotating mobile with a white plastic ring that is suspended from a plastic arm attached to a crib. The mobile, which plays music, has a mirrored center and has colorful butterflies and beads that move on the ring as the mobile rotates. The mobile also can be removed from the arm for use as a floor toy. The mobile is sold as the Magic Motion Mobile, Fisher-Price No. 71153. Major toy and mass merchandise stores nationwide sold the recalled cookie magnet with the Refrigerator Activity Magnet Set beginning in September 1997 for about $6 and sold the Magic Motion Mobile beginning in June 1997 for about $24. Consumers should take these toys away from children immediately and call Fisher-Price toll-free at 800-233-4004 between 8 a.m. and 6 p.m. EST Monday through Friday. Consumers will receive a free replacement cookie magnet or replacement parts for the mobile,as applicable.",98074,https://www.cpsc.gov/Recalls/1998/CPSC-Fisher-Price-Announce-Recall-of-Infant-Toys
"CPSC, Fisher-Price Announce Recall of Crib Mobile Toys",6/19/2003 ,"June 19, 2003Release # 03-146 Company Phone Number: (800) 357-9460 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: (301) 504-7908 CPSC, Fisher-Price Announce Recall of Crib Mobile Toys WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission announces the following recall in voluntary cooperation with the firm below. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of product: Crib Mobile Toys Units: 233,000Manufacturer: Fisher-Price, of East Aurora, N.Y.Hazard: If batteries used in the mobile leak, the caustic liquid can seep out of the battery compartment, posing a risk of chemical burns to babies.Incidents/Injuries: Fisher-Price has received 30 reports of batteries leaking from the toy's battery compartment, including six reports of minor burn injuries to babies.Description:These are Sparkling Symphony™ Mobile crib toys that attach to the crib side rail and play music and lights that are activated by remote control. Four star and moon characters are suspended from the mobile, which turns. The recalled toys have model number 71985 found on both the lower arm of the mobile and the back of the remote control. The Fisher-Price logo appears at the top of the upper arm, over the silver decoration. The recalled mobiles were manufactured from October 1999 through November 2000. A date code is located on the upper arm of the mobile and on the back of the remote control. Consumers should contact Fisher Price with their date code to determine if their mobile is part of the recall. Sold at: Discount department stores and toy stores nationwide sold these mobiles between December 1999 and December 2001 for about $25.Manufactured in: ChinaRemedy: Firm providing free repair kits containing a seal for the battery compartment, which will prevent battery leakage. Consumer Contact: Fisher-Price toll-free at (800) 357-9460 anytime or visit www.service.mattel.com to determine if product is among the recalled models and to order the free repair kit if needed. Media Contact: Laurie Oravec at (716) 687-339",03146,https://www.cpsc.gov/Recalls/2003/CPSC-Fisher-Price-Announce-Recall-of-Crib-Mobile-Toys-
"Crib Soft Playgrounds Recalled by Shelcore",10/27/1987 ,"Crib Soft Playgrounds Recalled by Shelcore NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE October 27, 1987 Release # 87-065 Voluntary Recall of Crib Soft Playgrounds Announced WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission, Shelcore, Inc., South Plainfield, New Jersey is voluntarily offering consumers a free replacement for their Crib Soft Playground, an activity center for use in cribs and playpens, which presents a potential strangulation hazard. The Commission and the firm are aware of the recent fatal strangulation of a 14 month old Minnesota boy who inserted his head between a loosely tied toy and the mesh on a playpen. The toy is meant to be attached to the sides of a solid structure crib or playpen by string at each of its four corners. The instructions do not advise consumers about proper string tightness or against use in a mesh-sided crib or mesh-sided playpen. When strings are not tied tightly or become loosened with use, the string between the toy and the crib may present a potential strangulation hazard if a child were to become entrapped between the toy and the crib or playpen side. The recalled activity centers measure about 11-l/2 by 14 inches. One version of the product labeled SHELCORE CRIB SOFT Playground was sold by a number of retailers since 1982. The other version was labeled Winnie-the-Pooh Crib Soft Playground and was sold by Sears, Roebuck and Co., during 1982 and 1983. Some of the activity centers were sold as part of a three-piece crib toy set (see attached sketch). Approximately 110,000 of these Crib Soft Playgrounds were imported from Taiwan and sold by retailers nationwide and in Canada. The product retails for about $9.50. Consumers should stop using the activity centers immediately and remove them from cribs and playpens. Shelcore, Inc., has redesigned the activity center using a velcro straps to secure the product close to the wooden crib or wooden playpen side and to prevent attachment to a mesh-sided crib or mesh-sided playpen. To obtain the new activity center free of charge, consumers should mail their old activity center, along with their name, address and telephone number to Shelcore, Inc., 3474 S. Clinton Ave., S. Plainfield, N.J. 07080. Postage costs will be reimbursed by the firm. To report an unsafe consumer product or receive safety information, consumers may call the CPSC toll-free hotline number at 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",87065,https://www.cpsc.gov/Recalls/1988/Voluntary-Recall-of-Crib-Soft-Playgrounds-Announced-
"Stahlwood Crib Mobiles Recalled",3/12/1990 ,"March 12, 1990 Release # 90-041 WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Stahlwood Toy Manufacturing Co. Inc., of Youngsville, North Carolina, is voluntarily recalling its Musical Mother Goose Mobile No. 658 and Musical Carousel Crib Mobile No. 555. Since 1988, approximately 39,640 Model No. 658 and 3,729 Model No. 555 crib mobiles were imported and sold nationwide. The musical portion of the mobiles may contain small parts that could present a choking hazard to small children. The Musical Mother Goose Mobile, No. 658, consists of a two-piece white plastic curved support that attaches to a crib or playpen railing with a long thumb screw. The music box with a rotating hook is attached to the other end of the support. A white plastic canopy with five struts is attached to the rotating hook of the music box. Suspended from the struts are Humpty Dumpty, The Cow that Jumped Over the Moon, The Cat and the Fiddle, The Old Woman Who Lived in a Shoe, and The Hickory Dickory Dock Clock. The Musical Carousel Crib Mobile, No. 555, similarly contains a child figure on a horse, fish, pig, hippo, and giraffe which are suspended from the ends of the five struts. A clown figure is suspended from the center hub. CPSC Chairman Jacqueline Jones-Smith said, The wind-up knob on both music boxes may come off and could present a choking hazard to young children. Sharp pieces of plastic from the music box housing may also come off and could present a choking, puncture, or laceration hazard. CPSC was informed by the firm of a possible small part violation with the Musical Mother Goose Mobile. Further investigation by CPSC revealed the small part violation involving the Musical Carousel Crib Mobile. Neither CPSC nor Stahlwood is aware of any injuries associated with either of these crib mobiles. This recall is being undertaken as a precaution. Jones-Smith said, Consumers should immediately take the toys away from young children... Consumers should immediately dispose of this product. The firm is out of business, and no longer able to provide refund or exchange",90041,https://www.cpsc.gov/Recalls/1990/Stahlwood-Crib-Mobiles-Recalled
"The Little Tikes Company Recalls Little Tikes Crib Center Due To Lead Paint Hazard",6/16/1992 ,"June 16, 1992 Release # 92-094 The Little Tikes Company Recalls Little Tikes Crib Center Due To Lead Paint Hazard PRODUCT: 16,300 crib toys made by the Little Tikes Company known as Little Tikes Crib Centers, model number 1525. PROBLEM: Lead in the red stripes on the candy cane roller exceeds federal government standards presenting a safety hazard for young children. WHAT TO DO: Return to the store where purchased for a product exchange or full refund. For more information, consumers may call the Little Tikes Company at 1-800-321-0183 or 330-656-3906. WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Little Tikes Company of Hudson, OH, is voluntarily recalling 16,300 Little Tikes Crib Centers, model number 1525. Testing the crib center in accordance with regulations under the Consumer Product Safety Act revealed a level of lead in the red stripes on the candy cane roller which exceeds government standards and presents a safety hazard for young children. Neither CPSC nor the company is aware of any injuries involving these products. This voluntary recall is being conducted to prevent the possibility of injury. The Little Tikes Crib Center is an infant crib toy that measures 18-1/2 inches long, 3-3/4 inches wide and 14-1/2 inches high. It is intended to be mounted on an inside crib rail. The crib center has nine large bright features including the red and white cylindrical candy cane roller. The roller is 4-1/4 inches long and three inches in diameter. The label on the carton in which the crib center was sold reads in part:  . . . CRIB CENTER, LITTLE TIKES, MADE IN USA. The model number, 1525, is molded on the back of the product, next to Little Tikes' toll- free 800 telephone number. A new purple and white-striped candy cane roller that meets all safety standards has been substituted for the unsafe roller. The revised crib center with purple stripes has a fluorescent orange dot on the package and is not being recalled. The revised product has been sold in retail stores since mid-February 1992. The Little Tikes Crib Center was sold nationwide at a variety of retail stores from November 1991 through January 1992. The Crib Center sold for an estimated price of $20.00 each. Consumers are urged to dismantle the recalled Little Tikes Crib Centers from crib rails immediately and return them to the store where purchased for a product exchange or full refund. For more information, consumers may contact the Little Tikes Company at 1-800-321-0183 or 330-656-3906. The potentially hazardous toys were reported by the Little Tikes Company under section 15 of the Consumer Product Safety Act. CPSC is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction. Lead in the red stripes on the candy cane roller exceeds government standards",92094,https://www.cpsc.gov/Recalls/1992/The-Little-Tikes-Company-Recalls-Little-Tikes-Crib-Center-Due-To-Lead-Paint-Hazard
"John Lennon Crib Mobiles by the Betesh Group Recalled",10/27/2000 ,"John Lennon Crib Mobiles by the Betesh Group Recalled NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: telephone number change FOR IMMEDIATE RELEASE Originally issued October 27, 2000, Revised February 13, 2002 Release # 01-021 Betish Group: (212) 686-4666 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, The Betesh Group Announce Recall of John Lennon Crib Mobiles WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), The Betesh Group, of New York, N.Y., is voluntarily recalling about 47,000 John Lennon crib mobiles. The screws that connect the mobile's arm assembly and crib clamp can become loose if overtightened. The arms can detach and fall into the crib, injuring the baby inside. CPSC and The Betesh Group has received seven reports of bumps and scratches to babies after the mobiles attached to their cribs fell on them. John Lennon Musical Mobiles hang from white wooden dowels that attach to cribs with white clamps. John Lennon TM and MADE IN CHINA is written on the wind-up music box that turns the mobile. The music box plays the song, Imagine. The mobile has colorful wooden cut-outs of a rhinoceros, two elephants, a giraffe and a bird hanging from yellow ribbons. Below each animal is a round disk with a drawing of the animal it hangs from on the bottom. Department and specialty stores sold these mobiles from June 1999 through August 2000 for about $39. Consumers should stop using these mobiles immediately, and call The Betesh Group to receive a free replacement plastic mobile with stuffed animals. For more information, call The Betesh Group at (212) 686-4666 anytime, or write to: The Betesh Group, One East 33rd Street, New York, NY 10016.",01021,https://www.cpsc.gov/Recalls/2001/CPSC-The-Betesh-Group-Announce-Recall-of-John-Lennon-Crib-Mobiles
