Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"Remote-Controlled Helicopter Toys Recalled by Innovage Due to Fire and Burn Hazards",7/24/2008 ,"The Sky Scrambler and The Sharper Image toy helicopters have yellow, red or blue decals. BH26047 is printed on the Sky Scrambler's tail. The Sharper Image is printed on the tail of The Sharper Image helicopters.",08341,https://www.cpsc.gov/Recalls/2008/Remote-Controlled-Helicopter-Toys-Recalled-by-Innovage-Due-to-Fire-and-Burn-Hazards
"Flying Helicopter Toy Recalled by Woolworth",6/2/1986 ,"Flying Helicopter Toy Recalled by Woolworth NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR RELEASE June 2, 1986 Release # 86-35 Flying Helicopter Toy Being Recalled Washington, D.C. -- In cooperation with the U.S. Consumer Product Safety Commission, the U.S. Woolworth Division of F.W. Woolworth Co., New York, N.Y., is recalling its Flying Helicopter Toy Summco No. 127624. Approximately 42,000 Summco Flying Helicopters were sold between October 1984 and January 1986 nationwide. The toy is being recalled due to a possible eye injury and facial laceration hazard. Woolworth voluntarily stopped sales of the toy in January 1986. The  Summco  No. 127624 Flying Helicopter, which retailed for approximately $3.00, is a six-inch plastic flying helicopter with a hand launching device. The helicopter is mostly white with red blades; its launching handle is green. Summco is printed on the bottom right front of the package. Consumers are urged not to use the helicopter and to return it for a $3.00 refund to their nearest Woolworth store.",86035,https://www.cpsc.gov/Recalls/1986/Flying-Helicopter-Toy-Being-Recalled
"Remote Control Helix Micro Helicopter Toys Recalled for Burn Hazard",11/9/2006 ,"The recalled remote control toy helicopters are lightweight, made of plastic, and measure 7 inches from end to end. Designs are printed on the helicopter's body. The helicopter comes with a control unit and a charger and rechargeable batteries are pre-installed in the fuselage. This recall involves toys one of the following date codes: 06XXXXHM2, 06XXXXHM8, 06XXXXHM186. The date codes are located on a sticker on the bottom of the helicopter's body and on the inside of the controller's battery compartment. Toys currently on retail shelves or having a date code ending in 386 are not included in this recall.",07031,https://www.cpsc.gov/Recalls/2007/Remote-Control-Helix-Micro-Helicopter-Toys-Recalled-for-Burn-Hazard-
"Helicopters Recalled by Blue Box",1/26/1984 ,"Helicopters Recalled by Blue Box NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE January 26, 1984 Release # 84-006 Blue Box Copter Toy Helicopter Being Recalled Washington, DC--In cooperation with the U. S. Consumer Product Safety Commission, Blue Box Toys, U.S.A., New York, N.Y., announced a voluntary recall of approximately 50,000 Blue Box brand Combat Copter toy helicopters which may present a laceration hazard to the operator. The toy helicopters, which retail for approximately $11.00, were sold nationwide from January, 1982, to January, 1983, and bear model numbers 6249 and 6249A. There have been at least 30 incidents where the helicopter has flown into persons' faces, 18 of which resulted in laceration injuries to the face. The Combat Copter is a plastic toy helicopter with a plastic rotating propeller and a launching pad with a crank and a trigger release. To operate the copter, the individual connects the copter to the launching pad in a snap locking notch. When the crank is turned, the propeller on the copter begins to rotate. Once sufficient propeller speed has been obtained, the trigger release is pulled to launch the helicopter forward into the air. In some instances, instead of flying forward, the copter flew backward into the operator's face causing injury. In other instances, the helicopter released from the launching pad prior to the operator pulling the trigger release and flew into the operator's face. In February, 1983, Blue Box Toys recalled the Combat Copter from its 23 consignees, however the recall was not extended to consumers. Consumers who have purchased the Blue Box Combat Copter should discontinue using it and return it to the place of purchase for a refund. Retailers who receive returns from consumers should contact Blue Box Toys, c/o Lewis Associates, Corp., 200 Fifth Ave., Room 905, New York, New York, 10010, to arrange for destruction and credit for the product. Additional information may be obtained by calling the Consumer Product Safety Commission's toll-free Hotline at: 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",84006,https://www.cpsc.gov/Recalls/1984/Blue-Box-Copter-Toy-Helicopter-Being-Recalled
"RadioShack Recalls Knight Hawk Toy Helicopters Due to Fire Hazard",1/26/2010 ,"This recall involves Danbar Toys Knight Hawk 3D remote control helicopters. The helicopter can be identified by model number 006047 marked on the back of the controller and the Knight Hawk 3D logo on the front of the controller. The product was sold at RadioShack as catalog number 600-0566 (60-566) for ages 8 and up.",10121,https://www.cpsc.gov/Recalls/2010/RadioShack-Recalls-Knight-Hawk-Toy-Helicopters-Due-to-Fire-Hazard
"Inventory Liquidators Corp. Recalls Action Copter Happy Bird And Action Land-Cruiser Wanderer",3/19/1991 ,"March 19, 1991 Release # 91-046 Inventory Liquidators Corp. Recalls Action Copter Happy Bird And Action Land-Cruiser Wanderer WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Inventory Liquidators Corp., Itasca, IL is voluntarily recalling approximately 1,150 pieces of the Action Copter HAPPY BIRD (model number 7811B) and 1,150 pieces of the Action Land-Cruiser WANDERER (model number 7815B) because of small parts that could pose fatal choking and aspiration hazards to young children. When the CPSC tested the toys in accordance with regulations under the Federal Hazardous Substances Act, small parts such as wheels and rotor blades detached from the Action Copter HAPPY BIRD and small parts such as the bumper, antenna, windshield and wheels detached from the Action Land-Cruiser WANDERER. The Action Copter HAPPY BIRD is a plastic wind-up toy helicopter approximately five inches long. The helicopter is brightly colored in red with white rotor blades, five HAPPY BIRD insignias, a pilot wearing a red cap, three wheels (two back wheels and one front wheel), and one blue turn key at the base of the helicopter. The turn key activates the wheels, rotates the blades and jiggles the pilot up and down. The toy is packaged in a cardboard blister pack labeled in part No. 7811B, Made in China. The Action Land-Cruiser WANDERER is a plastic wind-up toy vehicle approximately four and one-half inches long. The vehicle is brightly colored in red with a rotating radar antenna, three WANDERER decals, a driver wearing a red cap, four black wheels and one blue turn key at the base of the vehicle. The turn key activates the wheels, rotates the radar antenna and jiggles the driver up and down. The toy is packaged in a cardboard blister pack labeled in part No. 7815B, Made in China. The toys, imported by Inventory Liquidators Corp., were sold in retail stores in Illinois, Indiana, New York, Tennessee, Texas and Wisconsin from May 1990 to September 1990 for approximately $1.50 each. The potentially hazardous toys were identified at the Port of Chicago during a joint CPSC/U.S. Customs surveillance program. Neither the CPSC nor the company is aware of any injuries involving these products. This voluntary recall is being conducted to prevent the possibility of injury. Consumers are urged to take these toys away from young children immediately and return them to the store where purchased for a refund of the purchase price. Consumers with questions about this recall may contact Inventory Liquidators Corp. at 1-708-250-7575 or write the firm at 1100 Maplewood Drive, Itasca, IL 60143. The CPSC's mission is to protect the public from unreasonable risks of injury and death associated with consumer products. The CPSC is the Federal agency responsible for consumer product safety. Some 15,000 different types of consumer products fall within the Commission's jurisdiction and each year these products are involved in an estimated 30 million injuries and 22,000 deaths",91046,https://www.cpsc.gov/Recalls/1991/Inventory-Liquidators-Corp-Recalls-Action-Copter-Happy-Bird-And-Action-Land-Cruiser-Wanderer
"McCrory Corporation Recalls Funny Zig-Zag Copter And Wind-Up Circus Wagon",6/20/1991 ,"June 20, 1991 Release # 91-086 McCrory Corporation Recalls Funny Zig-Zag Copter And Wind-Up Circus Wagon WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), McCrory Corporation, York, PA is voluntarily recalling approximately 3,800 Funny Zig-Zag Copter toys, item number THK3309 (model number 832X12A) and 1,500 Wind-Up Circus Wagon toys, item number THK4766 (model number 9026W). When CPSC tested the toys in accordance with regulations under the Federal Hazardous Substances Act, small parts separated posing a potential choking hazard for young children. The Funny Zig-Zag Copter is a toy helicopter that has a propeller, a rotor, two wheels and is activated by a wind-up key located on the left side. The helicopter comes in an array of colors (yellow, blue, red) with a sticker of a clown in the cockpit. On both sides of the helicopter is a sticker that reads Funny Circus. The wheels from the helicopter separated during CPSC testing creating a small parts hazard with this toy. The Wind-Up Circus Wagon consists of a four-wheeled carriage towed by a pony with decals on both sides that have a picture of a clown and the word CIRCUS, a kitten with moveable arms playing a saxophone that makes a toot-toot sound, a little bear playing cymbals in beat with the saxophone, a monkey riding a giraffe, and a wind-up turn-key that activates the wagon when the switch located on the back of the wagon is turned on. The label located underneath the toy's box reads in part Made in China Expressly for YDC, York, PA 17402. The saxophone, cymbals, arms, and hats separated during CPSC testing, creating a small parts hazard with this toy. The Wind-Up Circus Wagon imported by McCrory Corporation, was sold nationwide by Bargain Time, Britts, Elmore, McCrory, H.L. Green, Kress, McClellan, T. G. and Y., Silver, Kittinger, Newberry, G. C. Murphy stores and some independent variety stores from January 1, 1988 through December 21, 1990 and sold for $4.99 each. The Zig-Zag Copter, imported by McCrory Corporation, was sold nationwide by Bargain Times, Britts, Elmore, McCrory, H.L. Green, Kress, McClellan, T. G. and Y., Silver, Kittinger, Newberry, G. C. Murphy stores and some independent variety stores from January 1, 1983 through December 21, 1990 and sold for $1.99 each.Consumers are urged to take the toys away from young children immediately and return them to the store where purchased for a full refund. For more information about this recall, consumers may contact McCrory Corporation toll free at 1-800-284-3704. Neither the CPSC nor McCrory Corporation is aware of any injuries involving these products. This voluntary recall is being conducted to prevent the possibility of injury. The potentially hazardous toys were identified at the Port of Los Angeles during a joint CPSC/U.S. Customs surveillance program.The CPSC's mission is to protect the public from unreasonable risks of injury and death associated with consumer products. The CPSC is the Federal agency responsible for consumer product safety. Some 15,000 different types of consumer products fall within the Commission's jurisdiction and each year these products are involved in an estimated 29 million injuries and 22,000 deaths",91086,https://www.cpsc.gov/Recalls/1991/McCrory-Corporation-Recalls-Funny-Zig-Zag-Copter-And-Wind-Up-Circus-Wagon
"Lord Howards Inc. Recalls Toy Helicopters",7/30/1992 ,"July 30, 1992 Release # 92-114 Lord Howards Inc. Recalls Toy Helicopters PRODUCT: Lord Howards' Super Jet, model 32930 toy helicopter. PROBLEM: The helicopter's propeller tips rotate at a high velocity and may cause injury if the propeller tip were to strike the eye. WHAT TO DO: Consumers who own these toy helicopters should remove them from children's use and return the helicopters to Lord Howards. For more information, consumers should call (614) 745-2986. WASHINGTON, DC - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Lord Howards Inc. of Newark, OH is voluntarily recalling some of its Super Jet, model 32930 toy helicopters. The helicopter's propeller tips rotate at a high velocity and may cause injury if the propeller tip were to strike the eye. Only the model which does not have a protective ring connecting the rotor tips is being recalled. Lord Howards Inc. distributed approximately 5,000 of these toy helicopters nationwide from August 1990 to July 1991. Since that time, the firm has distributed the Super Jet with a ring around the rotor blades. The plastic helicopter that is being recalled has a single propeller with three blades, each 2-11/16 inches long. The helicopter is 2-1/2 inches long and 1/2 inch wide at its landing gear skids. There is a separate hand-held launching pad that is powered by four AA batteries. The helicopters being recalled do not have a protective ring around the perimeter of the three propeller blades. Lord Howards Inc. is aware of one incident in which a six-year- old boy was struck in the eye by the propeller of one of these helicopters. The child suffered no permanent injury. Consumers who own these toy helicopters should remove them from children's use and return the helicopters to Lord Howards for a replacement at no charge to the consumer. For more information consumers may contact Lord Howards Inc. by writing: Box 4276, Newark, Ohio 43055. Consumers may also call the company at (614) 745-2986. The U.S. Consumer Product Safety Commission is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to help reduce the estimated 28.5 million injuries and 21,600 deaths that are associated each year with the 15,000 different types of consumer products under the CPSC's jurisdiction",92114,https://www.cpsc.gov/Recalls/1992/Lord-Howards-Inc-Recalls-Toy-Helicopters
"Remote-Controlled Helicopter Toys Recalled By Soft Air USA Due to Fire and Burn Hazards",2/12/2008 ,"This recall involves the remote-controlled helicopter toy Fun2Fly Microcopter with item number 91001. The helicopter comes with a transmitter that controls and recharges the helicopter. The helicopter is made of foam and plastic and measures about 6 ½ inches by 2 ½ inches. The transmitter measures about 4 ½ inches by 5 inches. Fun2Fly and Microcopter are printed on the packaging. The item number is printed above the UPC label.",08190,https://www.cpsc.gov/Recalls/2008/Remote-Controlled-Helicopter-Toys-Recalled-By-Soft-Air-USA-Due-to-Fire-and-Burn-Hazards
"UJ Trading Recalls Knight Hawk Toy Helicopters Due to Fire Hazard",5/11/2011 ,"This recall involves Danbar Toys Knight Hawk remote control helicopters. The helicopter can be identified by model number 006047 marked on the back of the controller and the Knight Hawk logo on the front of the controller. The body of the helicopter also contains the markings: AH-64 and helicopter.",11221,https://www.cpsc.gov/Recalls/2011/UJ-Trading-Recalls-Knight-Hawk-Toy-Helicopters
"Remote-Controlled Helicopter Toys Recalled by Protocol Due to Fire and Burn Hazards",9/10/2008 ,"This recall involves the Protocol remote-controlled mini helicopter toys with model number starting with 1442. The helicopter is made of foam and plastic and measures about 7 inches long. Protocol is printed on the tail and on the side of the helicopter. 1442-X can be found on the packaging. The remote-control component measures 5 1/2 inches by 4 3/4 inches.",08395,https://www.cpsc.gov/Recalls/2008/Remote-Controlled-Helicopter-Toys-Recalled-by-Protocol-Due-to-Fire-and-Burn-Hazards
"Excite USA Recalls Toy Helicopters Due to Laceration Hazard; Sold Exclusively at Rite Aid Stores",6/10/2011 ,"The recalled toy Military Copters are operated by manual rotary starters and sold as a unit with two sizes, 7 and 11 inches in length, of tan and black helicopters. The product comes in a blister pack with Military Copter with 2 Launchers marked on the package and Military Copter marked on both sides of the manual starter. The model number, #9009935 and UPC 680108044474 number are printed on the back of the package near the bar code.",11243,https://www.cpsc.gov/Recalls/2011/Excite-USA-Recalls-Toy-Helicopters-Due-to-Laceration-Hazard-Sold-Exclusively-at-Rite-Aid-Stores
"Remote-Controlled Helicopters Recalled by Imagine Nation Books Due to Fire and Burn Hazards",5/12/2010 ,"This recall involves the Fly Dragonfly (also called Queen Bee) remote-controlled helicopters. The helicopters are black and yellow plastic, measure about 19 inches long by 6 ½ inches high. The helicopters have a rounded front yellow cockpit with bee decals and a narrow black plastic tail assembly. They were sold with a remote-control unit and a separate charger. Fly Dragonfly and SKU #51727 are printed on the packaging.",10228,https://www.cpsc.gov/Recalls/2010/Remote-Controlled-Helicopters-Recalled-by-Imagine-Nation-Books-Due-to-Fire-and-Burn-Hazards
"Remote-Controlled Helicopters Recalled by Midwest Trading Group Due to Fire and Burn Hazards",4/2/2013 ,"This recall involves the Radio Controlled Banshee Helicopter with lights, series 3CH-777. The series number is printed on the product packaging. The plastic helicopters were sold in black and red or black and yellow color combinations and measure about 19 inches long and 6 inches high. The helicopters have a rounded front yellow cockpit with bee decals and a narrow black plastic tail assembly. They were sold with a remote-control unit and a separate charger. Fly Dragonfly and SKU #51727 are printed on the product packaging. Date of Production: June 2011, Manufacturer Ultimate Products (HK) Ltd., and Distributor MTG Inc. is printed on a white label on the back of the helicopter remote control.",13159,https://www.cpsc.gov/Recalls/2013/Remote-Controlled-Helicopters-Recalled-by-Midwest-Trading-Group
"Horizon Hobby Recalls Remote Controlled Model Helicopters Due to Injury Hazard",1/28/2014 ,"The recall involves Blade 500 X BNF and Blade 500 3D BNF and RTF Remote Controlled Model Helicopters with model numbers BLH 1800, BLH 1800M1, BLH 1850, and BLH 4080. The helicopters are about 33.5 inches long and 11.8 inches tall and weigh about 4 lbs. The canopy of the 500 X has the 500 X logo on each side. The canopy of the 500 3D has the 500 3D logo on each side. The tail rotor grip for each model is a black plastic holder that holds the tail rotor blades of the helicopter in place. The grips are approximately 1 ¼ inches tall and ½ inch wide.",14091,https://www.cpsc.gov/Recalls/2014/Horizon-Hobby-Recalls-Remote-Controlled-Model-Helicopters
