Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"Electronic Toy Guitars Recalled, Small Parts Pose Choking Hazard",6/29/2006 ,"The recalled plastic toy guitar has a white face and red back with a green shoulder strap. There are multi-colored animal-face buttons on the front of the guitar including a chicken, a duck, a dog, a pig and a lamb. A label on the front of the guitar reads, GUITAR SERIES JC856. MADE IN CHINA is embossed on the front of the battery cover on the back of the guitar. Packaging on the box reads in part, Jie Cheng and NOT SUITABLE FOR CHILDREN UNDER 3 YEARS.",06199,https://www.cpsc.gov/Recalls/2006/Electronic-Toy-Guitars-Recalled-Small-Parts-Pose-Choking-Hazard
"West Music Recalls Egg-Shaker Toy Instruments Due to Choking and Aspiration Hazards",3/26/2013 ,"These recalled egg-shaker toy instruments are plastic, egg-shaped instruments sold in five colors: yellow, green, blue, red and purple. The toy instruments are about the size of small eggs and have a Basic Beat label printed on the front of the product. The product is marked for children ages 3 years and older but West Music is concerned with the possibility of the egg being used by or near a younger child. The toy instruments have Lot Number 0E0212 located on the bottom of the roundest part of the egg.",13150,https://www.cpsc.gov/Recalls/2013/West-Music-Recalls-Egg-Shaker-Toy-Instruments
"Musical Wooden Table Toys Recalled by Battat Due to Choking Hazard",9/29/2011 ,"This recall involves Battat's Musical Wooden Table toys. The table has a green painted surface and colorful instruments affixed to the top. The table stands about 7 1/2-inches tall and has three supporting legs. Instruments on the table include a xylophone, cymbal, drum and two drumsticks.",11342,https://www.cpsc.gov/Recalls/2011/Musical-Wooden-Table-Toys-Recalled-by-Battat-Due-to-Choking-Hazard
"Toy Xylophones Recalled by King Import Warehouse Due to Violation of Lead Paint Standard",11/4/2008 ,"This recall involves a miniature toy xylophone with item number KW20119. The toy xylophone measures about 12 inches long by 5 inches wide. It has a lavender frame, a lavender mallet, and four bars which are orange, yellow, green, and white. The item number can be found on the packaging.",09037,https://www.cpsc.gov/Recalls/2009/Toy-Xylophones-Recalled-by-King-Import-Warehouse-Due-to-Violation-of-Lead-Paint-Standard
"CPSC And Hebron Imports Announce Pom Pom Drum Toy Recall",3/22/1995 ,"March 22, 1995 Release # 95-095 WASHINGTON, D.C. - CPSC, Hebron Imports Inc. of Chicago, Ill., is voluntarily recalling approximately 925 Pom Pom Drum toys (#808) imported from China. Small plastic balls in the drum separate and release small parts that present a choking hazard to young children.The Pom Pom Drum is clear plastic with a white bottom. Two white metal bands with purple, yellow, pink, green, and orange shapes encircle the top and bottom of the drum. The drum contains ten plastic balls in red, yellow, green, blue, and pink. The drum set comes with a green and orange plastic stand and two green plastic drumsticks. The toy is packaged in a cardboard box that is labeled in part, POM POM DRUM MADE IN CHINA NO. 808.Pom Pom Drums were sold between January 1993 and December 1994 for $3.99 each at Econo, Blue Island, Elgin D/C Land, Famous Outlet, Discountland, and LoBuc Discount in Illinois and Super Outlet in Wisconsin.Consumers who have the Pom Pom Drum toys are urged to take them away from children immediately and return the toy to store where it was purchased for a full refund. Consumers who have questions about this recall may contact Hebron Imports Inc. at (773) 202-0100.Neither CPSC nor Hebron Imports Inc. is aware of any injuries involving these toy drums. This voluntary recall is being conducted to prevent the possibility of injury",95095,https://www.cpsc.gov/Recalls/1995/CPSC-And-Hebron-Imports-Announce-Pom-Pom-Drum-Toy-Recall
"San Pacific International, Inc. Recalls Bamm-Bamm's Drum & Flute Toy",6/8/1993 ,"JUNE 8, 1993 Release # 93-078 PRODUCT: Approximately 24,600 Bamm-Bamm's Drum and Flute toys sold from May 1988 through October 1991 at the following amusement parks: Kings Dominion, Doswell, VA; Carowinds, Charlotte, NC; Kings Island, Cincinnati, OH; and Great America, Santa Clara, CA. PROBLEM: The bell attached to the top of the drum and a ball attached to the side of the drum came off during U.S. Consumer Product Safety Commission testing and present a choking hazard to young children. WHAT TO DO: Mail one side of the plastic drum to: Laura Miranda, San Pacific International, Inc., 542 Brannan St., San Francisco, CA 94107. Consumers will receive a full refund, including reimbursement for postage. The remaining portion of the toy should be discarded. For more information about this recall consumers may contact Laura Miranda at 1-800-223-4438. WASHINGTON, DC -- CPSC, San Pacific International, Inc. of San Francisco, CA is voluntarily recalling 24,576 Bamm-Bamm's Drum/Flute toys that were sold from May 1988 through October 1991. When CPSC tested the product, a bell attached to the top of the drum and a ball attached to the side of the drum came off, presenting a potential choking hazard for young children. This voluntary recall is being conducted to prevent the possibility of injury. Neither CPSC nor San Pacific International is aware of any injuries involving this product. The potentially hazardous drum/flute toy was identified by CPSC and the State Consumer Group in Richmond, VA. The product consists of a whistle at one end and a see- through hand-held drum at the other end. Three circular holes are in the handle of the toy. The complete toy measures 7 1/2 inches long. The whistle portion resembles a flute; a small puff of air at or near the mouthpiece of the flute causes a whistle sound. Each side of the drum has a see-through sticker that shows Bamm-Bamm, the Stone Age animated character of a little boy as seen on the Flintstones cartoon show. Bamm-Bamm is wearing a leopard loincloth and cap, and is carrying a green club. The drum has two plastic balls 1/2 inch in diameter hanging on the end of a string secured to the drum. The drum with balls was sold in different colors. Two metal silver bells 1/3 inch in diameter each are attached to the top of the drum. When the drum/flute toy is twisted back and forth or shaken, the balls hit the sides of the drum to make a noise and the bells ring. The cardboard heading on the cellophane package in which the toy was sold reads: BAMM-BAMM'S DRUM and FLUTE, 1988 HB PROD. INC. The label embossed on the see- through sticker of the drum reads: BAMM-BAMM'S DRUM and FLUTE, 1988 HB PROD. INC., KINGS DOMINION. The drum/flute toys, imported by San Pacific International from Taiwan, were sold for $3.98 each at retail stores in the amusement parks of Kings Dominion, Doswell, VA; Carowinds, Charlotte, NC; Kings Island, Cincinnati, OH; and Great America, Santa Clara, CA. Consumers are urged to take the drum/flute toys away from young children immediately and mail one side of the plastic drums to: Laura Miranda, San Pacific International, Inc., 542 Brannan Street, San Francisco, CA 94107. Consumers will receive a full refund, including reimbursement for postage. The remaining portion of the toy should be discarded. For more information about this recall, consumers may contact Laura Miranda at 1-800-223-4438. CPSC is announcing this recall as part of its mission to protect the public from unresonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.6 million injuries and 21,700 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",93078,https://www.cpsc.gov/Recalls/1993/San-Pacific-International-Inc-Recalls-Bamm-Bamms-Drum--Flute-Toy
"CPSC, BRIO® Corp. Announce Recall of Toy Drums",11/6/2003 ,"The recalled Plan Toys Solid Drum is natural wood with blue and red triangles painted on the side. The drum measures 6-1/4 inches in diameter and 3 inches high and has curved holes carved into the top. On the bottom of the drum are three rubber feet attached with screws. The recalled lot numbers are 46271068, 1546214 and 4345141 and are printed on the inside flap of the packaging. A stamp on the bottom of the drum displays the Plan Toys logo.",04028,https://www.cpsc.gov/Recalls/2004/CPSC-BRIO-Corp-Announce-Recall-of-Toy-Drums-
"Woodstock Percussion Inc. Recalls Toy Drums Due to Violation of Lead Paint Standard",12/23/2008 ,"The recalled steel drum is made of steel and comes with two wooden drum sticks and a wooden stand. The sides of the drums are painted red. The drum pan is painted black with silver markings to show the location of notes. Each rim is stamped with a #5 or #6. Not all drums stamped with a #5 are affected by this recall.",09076,https://www.cpsc.gov/Recalls/2009/Woodstock-Percussion-Inc-Recalls-Toy-Drums-Due-to-Violation-of-Lead-Paint-Standard
"Cool Flute and Binoculars Recalled by Kellogg",12/28/1988 ,"Cool Flute and Binoculars Recalled by Kellogg NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE December 28, 1988 Release # 88-118 Kellogg Company Voluntarily Recalls Two Toy Premiums BATTLE CREEK, MICH. -- In cooperation with the Consumer Product Safety Commission (CPSC), Kellogg Company announced today that it is voluntarily recalling two promotional toys, Cool Flute and Binoculars, packaged in some of its products because they fail to comply with CPSC's small parts regulations. Approximately 30 million of these items were distributed nationally beginning in the spring of 1988. Kellogg Company and the CPSC share a concern that when subjected to use and abuse testing these premiums may break into small parts and pose a potential choking hazard to children under three years of age. The Cool Flute is a plastic musical toy with two plastic tubes connected to a mouthpiece. Only the Cool Flute found in Corn POPS cereal is affected by this recall. Cool Flute toys found in other products are not subject to this action. While Kellogg has received no complaints of injuries related to children playing with a Cool Flute, one choking incident, which did not result in serious injury, was reported to the CPSC. The Binoculars consist of two plastic lenses with a cardboard holder. Binoculars are distributed in marked boxes of FRUITY MARSHMALLOW KRISPIES, COCOA KRISPIES, and RICE KRISPIES, and the family size 12 count POP TARTS toaster pastries. No complaints of injuries involving playing with the Binoculars have been reported. Kellogg Company and the CPSC also want to inform consumers who have a Cool Flute (from Corn POPS only) or Binoculars in their homes to take them away from children under three years of age and discard them, or return the toy to Kellogg Company for reimbursement. If reimbursement is desired, consumers may send either toy to Kellogg Company, P.O. Box 3599, Battle Creek, MI 49016. Consumers with any questions may call Kellogg Company Consumer Affairs department collect at (616) 961-2277 or 616 961-2278. For media inquiries, call George Franklin at (616) 961-3799.",88118,https://www.cpsc.gov/Recalls/1988/Kellogg-Company-Voluntarily-Recalls-Two-Toy-Premiums
"Toy Drums Recalled by Eden LLC",3/1/2001 ,"Eden LLC, of New York, N.Y., voluntarily recalled about 5,800 toy drums.",01096a,https://www.cpsc.gov/Recalls/2001/Toy-Drums-Recalled-by-Eden-LLC
"Cost Plus Inc. Recalls Wooden Animal Drum Due to Violation of Lead Paint Standard",6/30/2011 ,"The recalled toy is a wooden hexagon drum with pictures of animals on the six sides. SKU No. 424857 is printed on a sticker on the bottom of the drum.",11263,https://www.cpsc.gov/Recalls/2011/Cost-Plus-Inc-Recalls-Wooden-Animal-Drum-Due-to-Violation-of-Lead-Paint-Standard
"Toy Xylophones Recalled by The Land of Nod Due to Choking Hazard",1/14/2009 ,"The recalled product is a rolling xylophone made of metal, wood and plastic. It has four wheels and a string to pull the toy. The xylophone has eight metal bars, each of which is attached with two pegs. The name 'Janod' is printed on each side between the wheels, and on the back wheels.",09095,https://www.cpsc.gov/Recalls/2009/Toy-Xylophones-Recalled-by-The-Land-of-Nod-Due-to-Choking-Hazard
"CPSC, Kids Station Inc. Announce Recall of Children's Musical Drum Set Sold Exclusively at Toys R Us",1/19/2005 ,"The recalled music set includes a yellow and green drum with a clear plastic lid and a red one-piece carrying strap that doubles as a storage and carrying case for additional instruments. The drum measures 12 inches in diameter and about 7.5 inches in height. The instruments stored in the drum include: purple drumsticks, yellow and red dumb-bell-shaped maracas, purple wrist bells, an orange recorder, a yellow harmonica, a red-rimmed tambourine and a yellow whistle. Only this musical set is part of this recall. A similar drum set sold at Toys R Us with a two-piece strap and different musical toys is manufactured by a different company and is not being recalled.",05088,https://www.cpsc.gov/Recalls/2005/CPSC-Kids-Station-Inc-Announce-Recall-of-Childrens-Musical-Drum-Set-Sold-Exclusively-at-Toys-R-Us-
"Xylophone Mallets Recalled by Playwell",10/15/1998 ,"Xylophone Mallets Recalled by Playwell NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Firm out of business. Do not use this product. Please discard or destroy the product. FOR IMMEDIATE RELEASE Originally issued October 15, 1998, Revised March 26, 2004 Release # 99-009 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Playwell Toy Announce Recall of Xylophone Mallets WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Playwell Toy Inc. of Lake Forest, Calif., recalled the mallets in approximately 200,000 individually sold xylophones, 150,000 Little Ones® Infant three-piece musical gift sets, and 1,800 Little Ones® Infant five-piece musical gift sets. The rounded ends of the xylophone mallets are smaller in diameter than the 1.75-inch standard for small balls. The mallets can get stuck in the throats of young children, blocking their airways, and possibly causing death. CPSC and Playwell Toy were aware of one serious injury to a 6-month-old baby girl who suffered severe brain damage when the mallet became lodged in her throat. The xylophones are mostly white with a red button and yellow handle. The metal bars on the xylophones are red, yellow, green and blue, and the mallets are red. The individually sold xylophones have stickers on them reading, PLAYWELL. . . SOUND TOY SERIES. Their packaging reads, Music World Xylophone . . . Playwell . . . Item No: 044073. The three-piece Little OnesTM Infant musical gift sets consists of a toy xylophone and mallet, an accordion and a tambourine. The five-piece set consists of a xylophone, tambourine, harmonica and two maracas. All the instruments are multi-colored plastic. The sets are packaged in a box that reads, in part, Little OnesTM Infant . . . Ages 6 Months and over . . . Hours of musical fun! Each musical instrument has MADE IN CHINA printed on it. Target and other retail stores sold the individual xylophones from February 1996 to April 1998 for about $7. Kmart stores nationwide sold the three-piece musical set exclusively from May 1996 to April 1998 for about $10. Right Start Stores nationwide sold the five-piece musical gift set from November 1997 to August 1998 for about $24. Consumers should take these mallets away from children under 3 years old immediately, and dispose of the mallets. As the firm is out of business, a remedy is no longer available. Please discard or destroy the mallets.",99009,https://www.cpsc.gov/Recalls/1999/CPSC-Playwell-Toy-Announce-Recall-of-Xylophone-Mallets
"Toy Maracas Recalled by Tupperware U.S. Due to Choking and Suffocation Hazards",4/16/2009 ,"This recall involves blue and red toy maracas with yellow handles. The maracas were used by Tupperware representatives during sales presentations. Cut-outs in the shape of stars, squares and other geometric figures are located inside the maraca.",09195,https://www.cpsc.gov/Recalls/2009/Toy-Maracas-Recalled-by-Tupperware-US-Due-to-Choking-and-Suffocation-Hazards
"Step2® Recalls Basic Rhythms Drum™ Toys Due to Choking Hazard",4/27/2010 ,"This recall involves Step2® Basic Rhythm Drums™ intended for preschool age children. The toy drum is sold with two drumsticks that can be stored in clips on the side of the drum. A red Step2® logo in printed on the side of the drum.",10206,https://www.cpsc.gov/Recalls/2010/Step2-Recalls-Basic-Rhythms-Drum-Toys-Due-to-Choking-Hazard
"West Music Recalls Egg-Shaker Toy Instruments Due to Choking and Aspiration Hazards",2/7/2008 ,"This recall involves clear, plastic egg-shaped instruments with various color beads inside. The beads inside the shaker instrument come in five colors: red, white, green, dark blue and aqua. Basic Beat and Jumbo Egg Crystal is printed on a label attached to the plastic bag packaging. Model numbers BB5102 and 202212 are printed on the side of the label.",08188,https://www.cpsc.gov/Recalls/2008/West-Music-Recalls-Egg-Shaker-Toy-Instruments-Due-to-Choking-and-Aspiration-Hazards
