Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"Blue Box Toys Inc. Recalls Activity Water Ball",3/18/1992 ,"March 18, 1992 Release # 92-064 Blue Box Toys Inc. Recalls Activity Water Ball PRODUCT: The Activity Water Ball (#33012) by Blue Box Toys. It is a bright yellow plastic ball about 6 1/2 in diameter with a large tube down the middle. The tube has a magnifying glass and handle on one end and a flip-up screen on the other. Four brightly colored activities are built into the sides of the ball. PROBLEM: The ball may break during use producing small parts that could be a fatal choking hazard to young children. WHAT TO DO: Consumers should take the Activity Water Balls away from young children immediately and return them to the store where purchased for a refund of the purchase price. If you have questions call Blue Box Toys, Inc. at 1-800-255-8388. WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Blue Box Toys Inc. of New York, NY is voluntarily recalling approximately 15,000 Activity Water Ball toys (#33012). The product may break during use producing small parts that could be a fatal choking hazard to young children.The bright yellow plastic water ball is about 6-1/2 inches in diameter and has a large tube down the middle with a magnifying glass and handle on one end and a flip-up screen on the other end. Embossed on the screen are the words, Blue-Box Toys, Made in Singapore. Four activities are built into the sides of the ball. One is a red paddle wheel with a decal showing two dolphins. The second is a pink circle with a blue button in the middle that can shoot water when pressed. The third is a pink retractable fish on an eleven-inch string. The last activity looks like an acquarium with five little fish and a pin wheel that can be activated by an air pressure button.The package reads in part, Blue-Box Toys, Ages 1 Month to 24 Months, Activity Water Ball.The water balls were sold nationwide from February 1991 to December 1991. Each ball sold for approximately $10.00.Neither CPSC nor the company is aware of any injuries involving this product. This voluntary recall is being conducted to prevent the possibility of injury.The potentially hazardous toys were discovered by CPSC staff during routine surveillance. Consumers are urged to take the Activity Water Balls away from young children immediately and return them to the store where purchased for a refund of the purchase price. Consumers with questions about this recall may contact Blue Box Toys at (212) 255-8388.The U.S. Consumer Product Safety Commission is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",92064,https://www.cpsc.gov/Recalls/1992/Blue-Box-Toys-Inc-Recalls-Activity-Water-Ball
"Doodlebutt Recalls Jelly BeadZ Jumbo BeadZ and Magic Growing Fruity Fun Toys Due to Serious Ingestion Hazard",12/12/2013 ,"This recall involves Doodlebutt Jelly BeadZ Jumbo BeadZ and Magic Growing Fruity Fun water-absorbing polymer toys. The toys can absorb from 300 to 500 times their weight in water and can grow up to eight times their original size. Jumbo BeadZ toys are marble-sized water-absorbing balls. They were sold in a package consisting of three separate 2.5-inch x 2-inch clear, resealable bags inside a 3.5-inch x 4-inch clear, resealable bag. Each smaller bag had eight to 12 water balls of slightly different sizes. The balls came in clear, blue, red, orange, yellow, green and purple colors. The front of the larger bag had a multi-colored label with the words Jelly BeadZ, Easy to follow directions and had instructions for use. Magic Growing Fruity Fun toys are water-absorbing polymers in the shapes of apples, bananas, butterflies, cherries, grapes, pineapples, roses and strawberries. They were sold in 3.5-inch x 4-inch, clear, resealable bag with seven assorted shapes in it. They came in blue, green, orange, pink, red and yellow. The label on the front of the bag has the words For 'Kidz' of All Ages, Jelly BeadZ, Bouncy and Beautiful, Colorfast, Non Toxic, Safe for the Environment, and other words that describe uses for the product. The back of the package has two smaller labels. One label contains instructions for use and the other has a barcode with XU00EC1JRN beneath it.",14056,https://www.cpsc.gov/Recalls/2014/Doodlebutt-Recalls-Jelly-BeadZ-Jumbo-BeadZ-and-Magic-Growing-Fruity-Fun-Toys
"Cheerios With Powerball Premium Sales Recalled by General Mills",9/24/1987 ,"Cheerios With Powerball Premium Sales Recalled by General Mills NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE September 24, 1987 Release # 87-056 General Mills Stops Sales Of Cheerios With Powerball Premium WASHINGTON, DC -- In conjunction with the U.S. Consumer Product Safety Commission, General Mills is warning parents who purchased 15 and 20 ounce size boxes of Cheerios containing a free Powerball' premium, to keep the premium away from children approximately three years of age or under, or to discard it. General Mills has also voluntarily halted shipments and is taking immediate steps to remove packages containing the Powerball from wholesale and retail channels. General Mills said the ball was reportedly involved in the accidental choking death of a one-year-old child. Four other incidents involving balls in the mouths of young children that did not result in injury were also reported to the firm. Approximately ten million boxes of cereal with the Powerball have been sold since May 1987. Another estimated five million boxes are currently either on retail shelves or in the control of General Mills or its distributors. General Mills reports that the ball, which is similar in size and other characteristics to balls sold in retail outlets for many years, is non-toxic and comes sealed in a heavy plastic wrapper. The ball meets all Consumer Product Safety Commission regulations and was designed by the Company to exceed the minimum size requirements in the Commission regulations for toys intended for children under three years of age. The ball was thoroughly tested by independent laboratories prior to acceptance by General Mills as a premium, according to the firm. The company and Commission caution parents that children of approximately three years of age or under may tend to place small objects like the Powerball into their mouths. They urge parents to keep all such items away from small children. General Mills is initiating a consumer education campaign through advertisements and cereal box inserts to educate consumers about this risk. Cheerios cereal continues to be available in packages not containing the Powerball. Consumers with questions may contact General Mills at l-800-328-1144 from 7:00 a.m to 7:00 p.m. central daylight time on weekdays. The Consumer Product Safety Commission reminds consumers that any death or injury associated with any consumer product can be reported by calling the Commission's toll-free hotline at l-800-638-CPSC. The Commission's teletypewriter number for the hearing impaired is (301) 595-7054. For further information, the media may call R.C. Shulstad of General Mills at 612-540-3745.",87056,https://www.cpsc.gov/Recalls/1987/General-Mills-Stops-Sales-Of-Cheerios-With-Powerball-Premium-
"CPSC, HearthSong Announce Recall of Children's Toy Balls",8/6/2004 ,"The recalled toy is a blue wooden ball with six holes located equally around the ball. Each hole contains a small wooden head with a smiling face in various colors.",04571,https://www.cpsc.gov/Recalls/2004/CPSC-HearthSong-Announce-Recall-of-Childrens-Toy-Balls
"Toy Train With Small Parts Recalled by Electra Plastics",11/18/1986 ,"Toy Train With Small Parts Recalled by Electra Plastics NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR RELEASE November 18, 1986 Release # 86-72 Electra Plastics Recalls Toy Train With Small Parts WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission, Electra-Plastics, Inc., of Newark, New Jersey is recalling the Romper Room Animal Train No. H732R, because the three small balls in the train are small parts and present a choking hazard to children. Neither Electra-Plastics nor CPSC knows of any injuries involving this toy. Officials in the state of Kentucky's Cabinet for Human Resources brought this small parts hazard to the attention of the CPSC. The plastic train is approximately 11 l/4 inches long with an orange engine, a green car with two tigers facing each other and a purple car with two elephants facing each other. The engine and cars each have two pairs of black wheels. A string is attached to the engine for pulling the train. Blue and white balls approximately 1 l/8 inches in diameter are in the middle of the engine and each of the two cars where they can be easily detached. The balls, which are small parts, present a choking hazard to children. Consumers should take the trains away from children immediately and discard them or return them to the retail stores where purchased for a refund. Approximately 5,600 trains were sold since June 1985 primarily - by Pathmark stores and Rite-Aid stores in states east of the Mississippi River. The toy was sold for approximately $2.40. Anyone wishing additional information may contact Electra Plastics at 201-589-2525.",86072,https://www.cpsc.gov/Recalls/1986/Electra-Plastics-Recalls-Toy-Train-With-Small-Parts
"Regent Products Corp. Recalls Stuffed Ball Toys Due to Lead Hazard",3/28/2007 ,"The Fun Ball is an orange stuffed ball toy that measures 4 inches in diameter and is designed to look like a basketball. The ball is printed with colored numbers, letters and Reg. #PA-10623(HK).",07141,https://www.cpsc.gov/Recalls/2007/Regent-Products-Corp-Recalls-Stuffed-Ball-Toys-Due-to-Lead-Hazard
"Surprise Party Time Ball Toy Contains Look-Alike--Drug Capsules",5/31/1994 ,"MAY 31, 1994 Release # 94-084 PRODUCT: Approximately 12,000 Surprise Party Time Balls imported from Taiwan by Toysmith. The balls contain seven to ten trinket toys. Some of the balls also include a sealed clear plastic packet containing several blue and white or green capsules. Each ball is three-inches in diameter. Each ball is wrapped in multi-colored crepe paper. Some of the trinket toys inside the balls may include nylon cord friendship bracelets and rings, paper packets of dinosaurs and monsters, several round reflectors, animal shapes, chess pieces, and plastic cartoon faces. The balls were sold in boxes labeled in part: SURPRISE PARTY TIME BALL *** SMALL PARTS INSIDE THE BALL NOT RECOMMENDED FOR CHILDREN UNDER 5 YEARS *** MADE IN TAIWAN. A sticker on the ball reads MADE IN TAIWAN. The balls were sold nationwide from January 1991 through May 1994.PROBLEM: The capsules inside the balls can easily pull apart or crumble when pressed, exposing a white hard granular substance. The Monroe County, New York, Public Safety Laboratory, at the request of the Monroe County Health Department, established that the contents of the capsules were not drugs and there is no indication that the material is hazardous. While the capsules are not believed to be hazardous, the appearance of look-alike-drugs in a child's toy is inappropriate.WHAT TO DO: Return the balls to the store where purchased for a refund. Consumers who have questions about this recall may contact Toysmith at (206) 395-3644.WASHINGTON, DC -- CPSC, Toysmith, Kent, Washington, is voluntarily recalling 12,000 Surprise Party Time Balls because some of the toys contain look-alike-drug capsules. All of the balls contain 7 to 10 trinket toys. Some of the balls include a sealed clear plastic packet containing several blue and white, or green gelatin capsules similar to pharmaceutical products. The capsules can easily pull apart or crumble when pressed and contain a white hard granular substance. Extensive tests conducted by the Monroe County, New York, Public Safety Laboratory, at the request of the Monroe County Health Department, established that the contents of the capsules were not drugs and there is no indication that the material is hazardous. While the capsules are not believed to be hazardous, the appearance of look-alike-drugs in a child's toy is inappropriate. The issue of the capsules in the balls was brought to CPSC's attention by Judy Braiman, President, Empire State Consumer Association, Rochester, New York. Each ball is approximately three-inches in diameter and consists of a clear or possibly black plastic ball that separates in half. The ball is wrapped in multi-colored crepe paper with a plastic shrink wrap cover. A sticker label on the ball reads MADE IN TAIWAN. Some of the trinket toys inside the balls may include a nylon cord friendship bracelet and ring, a paper packet of dinosaurs and monsters, several round reflectors, animal shapes, chess pieces, and plastic cartoon faces. The balls are sold in boxes labeled in part: SURPRISE PARTY TIME BALL * * * SMALL PARTS INSIDE THE BALL NOT RECOMMENDED FOR CHILDREN UNDER 5 YEARS * * * MADE IN TAIWAN.The balls were sold nationwide from January 1991 through May 1994. The balls sold for $1.75. They were imported from Taiwan by Toysmith, located at 6250 South 196th Street, Kent, Washington.Consumers should return the Surprise Party Time Balls to the store where purchased for a refund. Consumers who have questions about this recall may contact Toysmith at (206)395-3644.<br />Neither CPSC nor Toysmith is aware of any injuries involving the balls. This voluntary recall is being conducted to alert consumers to the look-alike-drug capsules inside some of the balls. CPSC is the Federal agency responsible for consumer product safety. Some 15,000 different types of consumer products fall within CPSC's jurisdiction",94084,https://www.cpsc.gov/Recalls/1994/Surprise-Party-Time-Ball-Toy-Contains-Look-Alike--Drug-Capsules
"Sportime Recalls Sports Balls Due to Violation of Lead Paint Standard",4/30/2010 ,"The recall involves the following SchoolSmart TechnoSkin Coated Foam Balls and TechStitched Soccer Balls. The TechnoSkin Foam Balls measure between 2 ¾ and 8 ¼ inches in diameter. The Sportime TechStitched Soccer Ball is a standard size soccer ball.",10734,https://www.cpsc.gov/Recalls/2010/Sportime-Recalls-Sports-Balls-Due-to-Violation-of-Lead-Paint-Standard
"CPSC, Burger King Corporation Announce Voluntary Recall of Pokemon Ball",12/27/1999 ,"December 27, 1999Release # 00-046 Company Phone Number: 305-378-3535 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Ken Giles, (301) 504-7052 Burger King Contact: Kim Miller or Charles Nicolas, (305) 378-7277 CPSC, Burger King Corporation Announce Voluntary Recall of Pokemon Ball WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC) Burger King Corporation is voluntarily recalling more than 25 million Pokemon balls included with Burger King kids meals. The balls may pose a suffocation hazard to children under three years of age. Pokemon balls are the ball-shaped plastic containers that hold Pokemon toys in Burger King kids meals. Either half of the Pokemon ball can become stuck on a child's face, covering the nose and mouth and may cause suffocation of a child under three years of age. A 13-month-old girl reportedly suffocated when one-half of a Pokemon ball covered her nose and mouth. An 18-month-old girl reportedly also had a ball-half stuck over her face, causing her distress. However, the girl's father (on the second attempt) pulled the ball-half from her face.The Pokemon balls are plastic ball-shaped containers between 2 ¾ and 3 in diameter. They pull apart to reveal one of 57 different Pokemon toys inside. The balls were distributed in a variety of colors including red and white, and hot pink. Packaging described them as safety tested and recommended for all ages of children",00046,https://www.cpsc.gov/Recalls/2000/CPSC-Burger-King-Corporation-Announce-Voluntary-Recall-of-Pokemon-Ball-
"CPSC, American Greetings Corp. Announce Recall of Crazy Bounce Balls",11/26/2003 ,"This is a 1-1/2-inch multi-colored cluster of green, light green and brick red rubber balls. There are four balls in each package. The packaging has a light green cardboard backer. Model number CBB 1306 and UPC 61526 01101 are written on the back of the packaging.",04039,https://www.cpsc.gov/Recalls/2004/CPSC-American-Greetings-Corp-Announce-Recall-of-Crazy-Bounce-Balls-
"CPSC, Hasbro Inc. Announce Recall of NERF® Big Play Football™",1/30/2004 ,"The NERF® Big Play Football™ is a red and silver NERF football with a silver flip-open top that reveals an erasable writing pad to plan football plays on, in the center of the ball. The NERF name, an NFL logo and a large black X are on the silver region of the football. Mike Vick's signature in red also is written on the football, and his photo is on the packaging.",04074,https://www.cpsc.gov/Recalls/2004/CPSC-Hasbro-Inc-Announce-Recall-of-NERF-Big-Play-Football-
"American Greetings Corp. Recalls Sport Balls Due to Violation of Lead Paint Standard",7/9/2009 ,"This recall involves DesignWare Sport Balls party favors. The package contains four mini sport balls: a basketball, a football, a baseball and a soccer ball. The model number is SPBL 1821 and is printed on the packaging.",09267,https://www.cpsc.gov/Recalls/2009/American-Greetings-Corp-Recalls-Sport-Balls-Due-to-Violation-of-Lead-Paint-Standard
"Halloween Bounce Balls Recalled by Novi Kid",10/29/1997 ,"Halloween Bounce Balls Recalled by Novi Kid NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE October 29, 1997 Release # 98-018 Company Phone Number: (619) 282-6692 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Novi Kids Announce Recall of Halloween Bounce Balls WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Novi Kids Inc. of San Diego, Calif., is voluntarily recalling about 40,000 packages of Halloween Bounce Balls sold exclusively at Target stores. The balls present a serious choking hazard to young children, which can result in death. A sticker on the package suggests the balls are GREAT for FAVORS and TRICK or TREATS! If used as Halloween treats, the balls could be given to children under 3 years old. Small balls marketed to young children are banned by the Federal Hazardous Substances Act. CPSC and Novi Kids Inc. are not aware of any deaths or injuries involving this toy. This recall is being conducted to prevent the possibility of injury. The Bounce Balls are collections of eight multicolored rubber balls that measure 1 inch in diameter. They are packaged in a clear plastic tray with a cardboard backing. The package backing also is multicolored, and contains various Halloween images, including jack-o'-lanterns and ghosts. Target stores nationwide sold the packages of balls beginning October 4, 1997, for about $2. Consumers should take these balls away from young children immediately, and return them to the Target store where purchased for a refund. For more information, consumers should call Novi Kids Inc. collect at (619) 282-6692 between 9 a.m. and 4 p.m. PST Monday through Friday, or write to the company at 10222 San Diego Mission Road, San Diego, CA 92108.",98018,https://www.cpsc.gov/Recalls/1998/CPSC-Novi-Kids-Announce-Recall-of-Halloween-Bounce-Balls
"Wendy's Felix the Cat Roller Fun Balls Recall",3/10/1997 ,"Wendy's Felix the Cat Roller Fun Balls Recall NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT CPSC: Nychelle White March 10, 1997 (301) 504-7063 Release # 97-082 CONTACT Wendy's: Denny Lynch (614) 764-3413 CPSC and Determined Productions Inc. Announce Recall of Wendy's Felix the Cat Roller Fun Balls WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC),Determined Productions Inc. of San Francisco, Calif., is voluntarily recalling about 800,000 Felix the Cat roller fun balls distributed with kids' meals at Wendy's restaurants. The glued seam holding both halves of the ball may separate releasing small plastic fish from inside the ball. The small fish present a potential choking hazard to young children. Wendy's has received two reports of the glued halves of the ball separating and one child starting to choke on the small fish inside. No injuries have been reported. The Felix the Cat roller fun ball is a clear plastic ball containing a plastic figure of Felix the Cat and four small, plastic fish. The fish are colored red, yellow, purple, and green. The plastic ball is 2 1/2 inches in diameter and the fish measure 5/8 inch long by 1/4 inch wide. The balls were packaged in a plastic bag labeled in part, FELIX THE CAT...ROLLER FUN BALL...WENDY'S KIDS' MEAL. The balls were distributed with kids' meals at Wendy's restaurants nationwide from February 10 through March 4, 1997. Consumers should immediately take these balls away from young children and return them to their local Wendy's restaurant for a free replacement toy. For more information, consumers should call Wendy's International Inc. at (800) 443-7266. No other Felix the Cat toys distributed with Wendy's kids' meals are included in this recall.",97082,https://www.cpsc.gov/Recalls/1997/CPSC-and-Determined-Productions-Inc-Announce-Recall-of-Wendys-Felix-the-Cat-Roller-Fun-Balls
