Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.,
"CPSC, BRIO® Corporation and Small World Toys Announce Recall of Snail Pull Toy",7/25/2002,"Snail Pull Toy Recalled by BRIO® Corporation and Small World Toys NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 25, 2002 Release # 02-211 BRIO Recall Hotline: (888) 274-6869 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 BRIO Media Contact: Robin Lehnert, (888) 274-6869 Ext. 3506 CPSC, BRIO® Corporation and Small World Toys Announce Recall of Snail Pull Toy WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), BRIO® Corp., of Germantown, Wis., a subsidiary of BRIO AB of Sweden, and Small World Toys of Culver City, Calif., are voluntarily recalling about 3,000 Plan Toys pull-along snails. The eyes on the pull toy can detach, posing a choking hazard to young children. CPSC, BRIO® and Small World Toys are not aware of any incidents or injuries involving the pull toy. This recall is being conducted to prevent the possibility of injury. The recalled Plan Toys pull-along snail is a bright green, yellow and red wooden pull toy. The snail measures 10-inches long and 4-inches high and is pulled by a nylon string attached to the underside of the toy. On the snail head are two yellow protruding pegs that extend about 1- inch from the body. The pegs are painted black and white to depict eyeballs. A stamp on the bottom of the head displays the Plan Toys logo and the words Made in Thailand. Specialty toy stores, Internet retailers and mail order catalogs sold the recalled pull-along snails nationwide from June 2001 through June 2002 for about $15. Consumers should take these pull toys away from children immediately and call BRIO® for a refund. For more information, consumers can contact BRIO® at (888) 274-6869 between 8:30 a.m. and 5 p.m. CT Monday through Friday. Consumers should return the recalled pull toys to BRIO Corp., SAFETY RECALL - Snail, N120 W18485 Freistadt Road, Germantown, Wis. 53022.",2211,https://www.cpsc.gov/Recalls/2002/CPSC-BRIO-Corporation-and-Small-World-Toys-Announce-Recall-of-Snail-Pull-Toy-
Playmobil Toys Recalled by McDonald's,11/3/1982,"Playmobil Toys Recalled by McDonald's NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 3, 1982 Release # 82-046 McDonald's Voluntarily Stops Playmobil Promotion And Recalls WASHINGTON, D.C. -- The Consumer Product Safety Commission announced today that McDonald's Corporation of Oakbrook, Illinois, has voluntarily stopped further Playmobil toy promotion and distribution as of November 1st. McDonald's made this decision immediately after learning that recent tests showed the Playmobil toys failed to comply with CPSC's regulation designed to prevent choking hazards to children under three. The Playmobil toys, which are manufactured by the Schaper Manufacturing Company of Minneapolis, Minnesota, have not been involved in any known choking incidents. Five toys were to be distributed nationwide through approximately 5,800 McDonald's restaurants. The five toys included a Sheriff, Indian, Sheriff's Horse, Umbrella Girl and Farmer. Approximately 10 million of the Sheriff and Indian Playmobil toys in this promotion were actually distributed from October 22nd through November 1st. The plastic toy figures have movable parts and are accompanied by various plastic accessories. Consumers with children under three who received these Playmobil toys should discontinue their use and return the toys to a McDonald's restaurant in exchange for a box of McDonald's cookies, a cone or a refund.",82046,https://www.cpsc.gov/Recalls/1982/McDonalds-Voluntarily-Stops-Playmobil-Promotion-And-Recalls
Caterpillar Toys Recalled by Child GuidanceTM,7/21/2000,"Caterpillar Toys Recalled by Child Guidance TM NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 21, 2000 Release # 00-147 Caterpillar Toy Recall Hotline: (877) 586-1006 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 CPSC, Child Guidance TM Announce Recall to Replace Caterpillar Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Child Guidance TM, of New York, N.Y., a division of JAKKS Pacific Inc., is voluntarily recalling almost 1 million Wiggle Waggle Caterpillar TM toys. Young children can choke on the small balls attached to these toys. CPSC has received one report of a 5-month-old girl in El Paso, Texas, choking to death after one of the small balls attached to these toys lodged in her throat. CPSC also received reports of two children starting to choke on a ball from this toy. The Wiggle Waggle Caterpillar TM is a pull toy that plays four songs and various sounds. It has five ball shapes raised from its body on the end of tightly wound coil wire springs. The two smaller ball shapes on the caterpillar's head resemble antennas. The toy is about 10 inches long, and is green with yellow oval wheels that cause it to wobble when it moves. The segments of the caterpillar's body have lights that flash to the music and sounds. Child Guidance TM and MADE IN CHINA are imprinted on the bottom of the toy. Ages 12 months & up is written on the packaging. Toy and discount department stores nationwide sold the caterpillar toys from May 1998 through June 2000 for about $13. Parents and caregivers should take these toys away from young children immediately. Consumers should send the toy back to the firm to receive another toy of similar value. The firm will pay postage costs. For more information, call Child Guidance TM at (877) 586-1006 between 9 a.m. and 5 p.m. PT Monday through Friday or visit their web site at www.jakkspacific.com/recall.html. Consumers can also view a video clip about this recall (transcript). This is in streaming video format.",147,https://www.cpsc.gov/Recalls/2000/CPSC-Child-Guidance-Announce-Recall-to-Replace-Caterpillar-Toys
Gund Inc. Recalls Woodles™ Activity Toys for Choking Hazard,11/9/2006,"The product is a baby activity toy available in various animal shapes. It consists of a soft, stuffed body with a rattle component inside the body and two smooth wooden rings attached to loops at the end of each arm. The product is available in four different styles: Rumba Lion Activity Toy with style number 58553, Gazoo Giraffe Activity Toy with style number 58554; Wango Horse Activity Toy with style number 58555, and Tippy Cow Activity Toy with style number 58556. Woodles™ and the style number are located on the sewn-in label.",7030,https://www.cpsc.gov/Recalls/2007/Gund-Inc-Recalls-Woodles-Activity-Toys-for-Choking-Hazard
Stuffed Animal Recalled by Great American Toy Co.,10/20/1998,"Great American Toy Co. Inc., of Port Washington, N.Y., is recalling about 18,700 stuffed crabs. This recall involves only stuffed crabs that have antennaes with wires and that have the letters BSW on the Great American Toy Co. label attached to the toy. The stuffed crabs are either blue and green or red and orange. They come in a variety of sizes. Traveling fairs and carnivals gave the crab toys away as prizes from March 1998 to July 1998. The toy has a retail value of about $1 to $27, depending on the size of the stuffed crab.",99010a,https://www.cpsc.gov/Recalls/1999/Stuffed-Animal-Recalled-by-Great-American-Toy-Co
"CPSC, Dollar Tree Stores Inc. Announce Recall of Toy Sponges",10/10/2002,"There are three types of sponge animals involved in this recall: whales, turtles and fish. The sponge animals are made of soft terry cloth and have suction cups for attaching to tiled or smooth surfaces. The toys have a sewn-in label that reads in part, DOLLAR TREE DISTRIBUTION, INC., MADE IN CHINA and RN# 87254.",3010,https://www.cpsc.gov/Recalls/2003/CPSC-Dollar-Tree-Stores-Inc-Announce-Recall-of-Toy-Sponges-
Children's Stuffed Toys Recalled By Daiso Due to Choking Hazard,7/25/2008,The recalled toys are crème colored stuffed dogs with black eyes and nose. Some of the toys have brown spots on the back. A tag attached to the toy is written in Japanese language with UPC codes: 4947678264166 and 4947678246063.,8597,https://www.cpsc.gov/Recalls/2008/Childrens-Stuffed-Toys-Recalled-By-Daiso-Due-to-Choking-Hazard
"CPSC, Division Sales Announce Wooden Caterpillar Recall",3/19/1996,"March 19, 1996 Release # 96-082 WASHINGTON, D.C. - CPSC, Division Sales Inc. of Itasca, Ill., is recalling 6,000 toy wooden caterpillars. The toy caterpillar's eyes can break off, presenting a choking hazard to young children.CPSC and Division Sales Inc. are not aware of any injuries involving these toy caterpillars. This recall is being conducted to prevent the possibility of injury. The painted wooden caterpillars, measuring approximately 10 inches long, 4 inches tall, and 3 inches wide, have yellow bodies and green, red, and blue wheels. The toy has a 10-inch long pull string attached to the caterpillar's head. Although the toy itself is unlabeled, it comes packaged in a blue colored cardboard box labeled WOOD CATERPILLAR ... ITEM NO. 801 MADE IN CHINA FOR JUSTEN PRODUCTS.Various retail stores and discount centers sold the toy caterpillars nationwide from July 1994 to February 1996 for approximately $5 to $10 each.Consumers should take the toy caterpillars away from young children immediately and return the toys to the store where purchased for a full refund. For more information, consumers should call Division Sales Inc. at (800) 621-8134. The potentially hazardous toys were identified by the State of Kentucky's Department of Health Services, Product Safety Programs at a retail store in Eddyville, Kentucky",96082,https://www.cpsc.gov/Recalls/1996/CPSC-Division-Sales-Announce-Wooden-Caterpillar-Recall
"CPSC, Kids II Announce Recall of Butterfly Baby Toys",9/6/2001,"Originally issued September 6, 2001, Revised August 21, 2002 Release # 01-227 Kids II: (770) 751-0442 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Kids II Announce Recall of Butterfly Baby Toys WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Kids II, of Alpharetta, Ga., is voluntarily recalling about 21,000 Carter's butterfly baby toys. The antennae on these butterfly toys contain wire that can pass through the fabric, causing cuts and scratches to babies.Kids II has received 27 reports of wires passing through the fabric on the antennae of these toys, resulting in four babies getting cuts to the hand or face, and five babies receiving scratches. The recall involves Carter's Activity Butterflies with 3-inch long bendable antennae. The body of the stuffed butterfly toy is green and purple and the wings are multi-colored. The toy makes various fun sounds when squeezed. The stuffed stars on the ends of the antennae contain a squeaker and a rattle. The lower wings make a crinkle sound and one of the upper wings contains a mirror. The toy has model number 50052 written on a small tag behind one of its wings. A date code on the opposite side of this tag ends with, 00433, 00856, 01003, or 01148. Mass merchandise and juvenile specialty stores nationwide sold these butterfly toys from February 2001 through August 2001 for between $15 and $20.Consumers should take these toys away from babies immediately, and return the toy to the store where purchased or contact Kids II for a free replacement butterfly toy. For more information, consumers should call Kids II at (770) 751-0442 between 7:30 a.m. and 4: 30 p.m. ET Monday through Friday.Butterfly toys with short antennae, about 1¾-inches long, do not contain wire, and are not part of the recall",1227,https://www.cpsc.gov/Recalls/2001/CPSC-Kids-II-Announce-Recall-of-Butterfly-Baby-Toys
Squeeze Toys Recalled by Electra-Plastics,11/10/1982,"Squeeze Toys Recalled by Electra-Plastics NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 10, 1982 Release # 82-047 Happy-Mates Squeeze Toy Recall WASHINGTON, D.C. -- In cooperation with the Consumer Product Safety Commission, Electra-Plastics, Inc. of Port Newark, New Jersey, today announced a voluntary recall of four Happy-Mates squeeze toys because they are small enough to lodge in the throat of a child and obstruct the airway thus causing choking and/or suffocation. Although these particular toys have not been involved in any choking incident known to CPSC, similar shaped toys have been involved in choking deaths. Between 8 pnd 9 thousand of these toys have been distributed primarily in the northeastern states during the last 2 years. All four squeeze toys have bulbous or flared ends measuring 3/4 to 1 l/4 in diameter and handles that are 2 3/4 long. Overall length of the toys is.5. The toys are: orange lion's head with bow tie on orange handle yellow cat's head with bow tie on yellow handle green frog's head with bow tie on white handle pink pig's head with bow tie 'on pink handle The toys are made of soft easily compressed plastic material and are packaged and sold under the brand name Happy Mates. They are stamped Taiwan on the squeaky portion. The packaging bears the number H702. Consumers should remove these products from use immediately and return to the retailer where purchased for full refund. Or consumers may return the toys to Electra-Plastics, Inc., Bldg. 305, Navy and Neptune Streets, Port Newark, N.J. 07114 for a full refund. The telephone number is 201-589-2525. Retailers should remove the toys from sale immediately and return to Electra-Plastics, Inc. for a full refund.",82047,https://www.cpsc.gov/Recalls/1982/Happy-Mates-Squeeze-Toy-Recall
Precious Moments Tender Tails Toys Recalled by Enesco,9/2/1999,"Precious Moments Tender Tails Toys Recalled by Enesco NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE September 2, 1999 Release # 99-168 Company Phone Number: (800) NEAR YOU (632-7968) CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 Enesco Contact: Janice Johnson, (630) 875-5585 CPSC, Enesco Corp. Announce Recall of Pom-poms on Precious Moments® Tender Tails® Stuffed Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Enesco Corp., of Itasca, Ill., is recalling the pom- poms from about 472,000 Precious Moments® Tender Tails® stuffed toys. The pom-poms on these toys can detach, posing a choking hazard to young children. CPSC and Enesco are aware of three reports of pom-poms detaching from these stuffed toys. No injuries were reported. These stuffed toys include the Lady Bug (476080), Bee (464295), Butterfly (482234) and Reindeer (381969). The pom-poms are the antennae on the heads of the lady bug, bee and butterfly toys. The pom-poms are holiday ornaments on the antlers of the reindeer. The item number can be found on the purple adoption registration attached to the stuffed toys. The Tender Tails(r) toys are about 6 inches long. An attached label reads, in part, TENDER TAILS®, by ENESCO and MADE IN CHINA. Gift, card and collectible stores sold these stuffed toys nationwide from May 1998 through August 1999 for about $7. Consumers should immediately cut off the pom-poms from these stuffed toys. Consumers should return the pom-poms along with their name, address and phone number to Enesco to receive a free Tender Tails® Hippo toy. The Hippo toy will be retired at the end of the year and given out while supplies last. Another Tender Tails® toy will be given to consumers in exchange for returned pom-poms when the supply of Hippo toys runs out. For more information, call Enesco at (800) NEAR YOU (632-7968) between 7 a.m. and 7 p.m. CDT Monday through Friday, or write to Enesco, P.O. Box 499, Itasca, IL 60143-0499, visit their web site at www.enesco.com or email them at ttpompoms@enesco.com.",99168,https://www.cpsc.gov/Recalls/1999/CPSC-Enesco-Corp-Announce-Recall-of-Pom-poms-on-Precious-Moments-Tender-Tails-Stuffed-Toys
McDonald's Scooter Bug Happy Meal Toy Recall,3/5/2001,"McDonald's Scooter Bug Happy Meal Toy Recall NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE March 5, 2001 Release # 01-099 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 McDonald's Media Contact: William Whitman, (630) 623-6745 CPSC, McDonald's Announce Recall of Scooter Bug Happy Meal Toys WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), McDonald's Corp., Oakbrook, Ill., is voluntarily recalling about 234,000 Scooter Bug toys. The toys were distributed with McDonald's Happy Meals for children under 3 years of age. The bug's antenna can break off, posing a choking hazard to young children. McDonald's has received two reports of children choking and one report of a child gagging on the broken off antenna. The Scooter Bug toy is about 3 inches long and 2 1/2 inch wide. When rolled across the floor, the bug's legs move back and forth. The bug has a yellow face with red antennas, orange feet and a purple body with green spots. The words Fisher Price are on the top of the toy. The words MFG.FOR MCD CORP.CHINA are on the rear of the toy. McDonald's restaurants in the U.S. and Canada distributed the toys with Happy Meals from November 2000 through February 2001. Parents should take the toy away from children immediately and return the toy to any McDonald's restaurant for a replacement toy. For more information, consumers should visit McDonald's web site at www.mcdonalds.com. Questions about this recall should be directed to CPSC's hotline at (800) 638-2772.",1099,https://www.cpsc.gov/Recalls/2001/CPSC-McDonalds-Announce-Recall-of-Scooter-Bug-Happy-Meal-Toys
