Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"Imaginarium Activity Centers Sold at Toys R Us Recalled Due to Choking Hazard",4/3/2008 ,"This recall involves the Imaginarium Multi-Sided and Jungle activity centers. The multi-sided activity center has moveable block letters, clock face, sliding shapes and gears. The jungle activity centers have peg jumping monkeys, sliding fish, abacus beads, bead mazes and other animal-themed activities. Imaginarium and the name of the activity center are printed on the packaging. Item numbers 69042 (multi-sided) and 69083 (jungle) are printed on the back of the box, near the bar code.",08242,https://www.cpsc.gov/Recalls/2008/Imaginarium-Activity-Centers-Sold-at-Toys-R-Us-Recalled-Due-to-Choking-Hazard
"Fisher-Price Intelli-Table Toy Recall",3/29/2001 ,"Fisher-Price Intelli-Table Toy Recall NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued March 29, 2001, Revised November 19, 2002 Release # 01-115 Fisher-Price Recall Hotline (800) 220-7137 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 Fisher-Price Media Contact: Laurie Oravec, (716) 687-3395 Note: Web site change. CPSC, Fisher-Price Announce Recall of Infant and Toddler Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Fisher-Price, of East Aurora, N.Y., is recalling about 20,000 infant and toddler Intelli-Table toys for repair. Two red knobs on the toy can break off, creating small parts that can pose a choking hazard for young children. Fisher-Price has received 32 reports of the knobs breaking off the toys. A 14-month old child was found with a knob in her mouth. Her mother removed it and no injuries have been reported. The Intelli-Table is a round, plastic activity table with a blue, removable top that uses three interchangeable play rings to help children learn numbers, music, and games. The toy is intended for children ages nine to 36 months. The base of the Intelli-Table is red with three legs that are blue, yellow and teal green. The play rings are colored white, yellow and teal green. The red knobs on the yellow ring and white ring can break off. The toy has a Fisher-Price logo on the blue removable top; and has the model number, 77148, and the words, Mattel, Inc. and China, molded into the bottom of the red base. Only models manufactured from September 25, 2000 through October 7, 2000 are being recalled. The recalled models have a date code from 269(0) through 281(0) molded into the underside of the blue, removable top. Toy, mass merchandise and discount stores sold these toys nationwide from October 2000 through March 2001 for about $70. Consumers should take the toys away from young children immediately and contact Fisher-Price toll-free at (800) 220-7137 anytime to order a free repair kit with replacement knobs. The repair kit consists of two replacement knobs with new screws. Consumers can also visit the Fisher- Price web site at http://www.service.mattel.com/us/recall.asp to determine if their toy is recalled.",01115,https://www.cpsc.gov/Recalls/2001/CPSC-Fisher-Price-Announce-Recall-of-Infant-and-Toddler-Toys
"Target Recalls Various Toys Due to Lead and Laceration Hazards",11/15/2006 ,"The recall involves Kool Toyz brand toys, including sets containing die-cast cars, playground set, doll house set, dinosaurs, trucks, boats and planes. The packaging is primary blue and has the Kool Toyz logo is on the upper left corner of the packaging. The following chart lists the toys involved in the recall, their item numbers written on the upper right corner of the packaging, and the specific hazards they pose: Product Name Item Number Hazard Truck Carry Case 087/01/0050 Lead Paint and Sharp Points Tiny Playground Play Set 086/10/0048 Lead Paint and Sharp Points Dream House Play Set 086/10/0048 Lead Paint and Sharp Points Discovery Dinosaur Habitat 087/01/0011 Lead Paint Command Center Action Figure Play Set 087/01/0034 Sharp Points Aircraft Carrier Action Figure Play Set 087/01/0034 Sharp Points Air, Land and Sea Defense Play Set 087/01/0036 Lead Paint Tank Action Figure Play Set 087/01/0040 Lead Paint Helicopter Action Figure Play Set 087/01/0040 Lead Paint Remote Control Trucks 087/01/0042 Sharp Points",07035,https://www.cpsc.gov/Recalls/2007/Target-Recalls-Various-Toys-Due-to-Lead-and-Laceration-Hazards
"CPSC, Wal-Mart Stores Inc. Announce Recall of Toy Sets",11/22/2005 ,"The recalled 10-IN-1 Wood Activity Trunk is a wood box with a removable lid. The trunk measures about 7 inches wide by 8½ inches high by 14½ inches long. The toy set provides 10 different activities, including a pounding bench, puzzle, stacking rings, bead maze/runner, wood alphabet blocks, wood stacking blocks of various shapes, wood train engine, and plastic building blocks. One side of the trunk contains an abacus with five rows of colored beads. The other side of the trunk contains the shape sorter and pictures of a yellow tiger and purple bear with building blocks. No writing is on the box. The red cardboard packaging reads, kidconnection® and 10-IN-1 Wood Activity Trunk.",06035,https://www.cpsc.gov/Recalls/2006/CPSC-Wal-Mart-Stores-Inc-Announce-Recall-of-Toy-Sets
"LJN Sling 'Em-Fling 'Em Wrestling Ring Toy Recalled",11/4/1991 ,"November 4, 1991 Release # 92-015 WASHINGTON, D.C. -- LJN Toys, Ltd., New York, NY, in cooperation with the U.S. Consumer Product Safety Commission (CPSC), recalled its World Wrestling Federation Sling 'Em- Fling 'Em wrestling ring toy because of potentially severe injuries should a child fall on one of the corner posts of the wrestling ring. LJN was a subsidiary of MCA, Inc. during the period of manufacture and sale of the wrestling ring. LJN, a publisher, marketer and distributor of home entertainment products, is no longer in the toy business. The Commission indicates that there were four very serious injuries which resulted when children, ranging in age from six to 10 years, fell onto one of these toys. In each case, one of the four rigid plastic corner posts penetrated the child's body cavity causing severe internal injury. LJN sold about 1.4 million toy wrestling rings between 1985 and 1989 for a retail price up to $20. The toy was promoted by featuring action figures of World Wrestling Federation (WWF) stars such as Hulk Hogan and Andre the Giant. The figures were sold separately. The ring has an 18-1/2 inch square plastic base that is 3-1/2 inches high with four 9-1/2 inch long rigid blue plastic posts that snap into place at each corner. Once in place, the posts are about six inches high. Red, white, and blue elastic bands form the ropes around the ring. A decal with the WWF logo was supplied with each toy. Consumers may identify the LJN wrestling ring by looking underneath the base for these words molded into the plastic: 1985 LJN TOYS LTD. TITAN SPORTS INC. MADE IN U.S.A. To prevent additional injuries, consumers who own these wrestling ring toys are urged to remove the four rigid plastic posts immediately. Because the posts are so rigidly secured, consumers may have to break the posts to remove them. LJN Toys Ltd. is out of business and cannot be contacted.The U.S. Consumer Product Safety Commission is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The CPSC is the Federal agency responsible for consumer product safety. Some 15,000 different types of consumer products fall within the Commission's jurisdiction and each year these products are involved in an estimated 28.5 million injuries and 21,600 deaths",92015,https://www.cpsc.gov/Recalls/1992/LJN-Sling-Em-Fling-Em-Wrestling-Ring-Toy-Recalled
"Fisher-Price Recalls Learning Pots and Pans™ Toys Due to Choking Hazard",8/7/2008 ,"This recall involves Learning Pots and Pans™ toy sets with stackable pots and pans, a lid and shape-sorting blocks. The toys have light and sound features that operate on three AA batteries. Model number G6685 is located on the bottom of the blue pan.",08362,https://www.cpsc.gov/Recalls/2008/Fisher-Price-Recalls-Learning-Pots-and-Pans-Toys-Due-to-Choking-Hazard
"KB Toys Recalls Wooden Toys Due to Violation of Lead Paint Standard",10/4/2007 ,"Wooden Pull-Along Alphabet & Math Blocks Wagons and Learning Blocks Wagons: The recalled wooden toy wagons have 28 blocks and a pull string. The wagons measure about 7½ x 13 and have blocks with letters, words, numbers, or pictures on them. First Learning or My Kidz are printed on the products' packaging, in addition to UPC #834162002158 or #834162002165. 10-in-1 Activity Learning Carts: The recalled activity carts are three dimensional learning toys with various activities. The cart measures about 17¼ x 16½ x 7¾. First Learning and UPC #834162002127 are printed on the products' packaging. Flip-Flop Alphabet Blocks: The recalled wooden toys have blocks that flip with letters, words, numbers, and pictures on them. The toy measures about 10 1/8 x 10¾ x 2¾. First Learning and UPC #834162001212 are printed on the products' packaging.",08004,https://www.cpsc.gov/Recalls/2008/KB-Toys-Recalls-Wooden-Toys-Due-to-Violation-of-Lead-Paint-Standard
"Fisher-Price Recalls Infant Toys with Inflatable Balls Due to Choking Hazard",9/30/2010 ,"This recall involves the products listed below: Product Product Description 73408 Baby Playzone™ Crawl and CruisePlayground™ 6 months and uplayzone has three play modes for crawling, to pulling up and cruising, to walking in and out B2408 Baby Playzone™ Crawl and Slide Arcade™ 9 months and up Baby arcade converts to baby's first slide. C3068 Ocean Wonders™ Kick and Crawl™ Aquarium Birth and Up A soft gym with two toy bars. The gym converts to a crawl-through play space. H5704 Baby Gymtastics™ Play Wall 6 to 36 months Play wall with activities H8094 Ocean Wonders™ Kick and Crawl™ Aquarium Birth and Up A soft gym that features two toy bars. The gym converts to a crawl-through play space. J0327 1-2-3 Tetherball™ 6 months and Up Big inflatable ball (Approximately 12 inches in diameter) with light up base. K0476 Bat and Score Goal™ 6 months and Up Baby soccer goal with detachable ball.",10362,https://www.cpsc.gov/Recalls/2010/Fisher-Price-Recalls-Infant-Toys-with-Inflatable-Balls-Due-to-Choking-Hazard
"Mattel Recalls Various Barbie® Accessory Toys Due to Violation of Lead Paint Standard",9/4/2007 ,"The recall involves various Barbie accessory toys that were manufactured between September 30, 2006 and August 20, 2007. The model names, product numbers and affected date code numbers are listed in the chart below. The product and date code numbers are printed on the largest component of the toy sets. Product Product Number Date Code Number Product Photo Barbie® Dream Puppy House™ (lead paint on dog) J9485 286-6JX through 365-6JX or 001-7JX through 232-7JX (product number and date code are marked on the bottom of the house) Barbie® Dream Kitty Condo™ Playset (lead paint on cat) J9486 286-6JX through 365-6JX or 001-7JX through 232-7JX (product number and date code are marked on the bottom of the house) Barbie® Table and Chairs Kitchen Playset (lead paint on dog, chip platter, dinner plates) K8606 All (product number is marked under the table) Barbie® Bathtub and Toilet Playset (lead point on cat) K8607 All (product number is marked under the tub) Barbie® Futon and Table Living Room Playset (lead paint on cat) K8608 All (product number is marked on the cushion label) Barbie® Desk and Chair Bedroom Playset (lead paint on dog) K8609 All (product number is marked under the desk) Barbie® Couch & Table Living Room Playset (lead paint on purse) K8613 All (product number is marked under the table)",07301,https://www.cpsc.gov/Recalls/2007/Mattel-Recalls-Various-Barbie-Accessory-Toys-Due-to-Violation-of-Lead-Paint-Standard
"Small World Toys Recalls Children's Take-Apart Townhouse Toys; Detached Magnets Pose Aspiration and Intestinal Hazards",5/3/2007 ,"These wooden toys, for children ages 18+ months, are shaped like houses measuring 8.5 inches high by about 4.5 inches wide. They have nine pieces that children can disassemble and reassemble. Each house has a green chimney and a blue and yellow striped pillar with a purple base at each corner. The sides of the house have four removable panels of different shapes with red knobs that children use to pull the panels off. IQ Preschool™ appears on the side of the house below the blue and green rectangular panel. Model number 2408808 appears on the packaging.",07179,https://www.cpsc.gov/Recalls/2007/Small-World-Toys-Recalls-Childrens-Take-Apart-Townhouse-Toys-Detached-Magnets-Pose-Aspiration-and-Intestinal-Hazards
"Step2® Recalls Children's Transportation Station Toys Due to Choking Hazard",9/7/2010 ,"The Step2 ® Sand & Water Transportation Station is a standalone play station for children ages two and up. The toy station consists of: a round blue plastic table, including train tracks, train cars in blue, red and yellow, toy sailboats and a hand rake/shovel. A red Step2 logo decal is on the side of the table. Train cars with gray wheels are not included in this recall.",10334,https://www.cpsc.gov/Recalls/2010/Step2-Recalls-Childrens-Transportation-Station-Toys-Due-to-Choking-Hazard
"Evenflo Recalls Cake Toys on Children's Activity Centers Due to Choking Hazard",12/8/2009 ,"This recall involves Evenflo ExerSaucer® 1-2-3 Tea for Me™ activity learning centers. The tea party themed toys have a two-tier cake that is light blue, dark pink and yellow. Models included in the recall are 6161834 and 6161920. The model numbers are printed on the packaging and on a label located on the underside of the base of the product. The recommended age for use of this product is 4 months to walking.",10057,https://www.cpsc.gov/Recalls/2010/Evenflo-Recalls-Cake-Toys-on-Childrens-Activity-Centers-Due-to-Choking-Hazard
"CPSC, Fisher-Price Announce Recall of Little People® Animal Sounds Farms",4/23/2003 ,"Little People® Animal Sounds Farms Recalled by Fisher-Price NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE April 23, 2003 Release # 03-111 Fisher Price Recall Hotline: (866) 259-7873 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7908 Fisher-Price Media Contact: Laurie Oravec, (716) 687-3395 CPSC, Fisher-Price Announce Recall of Little People® Animal Sounds Farms WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission, (CPSC), Fisher-Price, of East Aurora, N.Y., is voluntarily recalling about 67,000 Little People® Animal Sounds Farms manufactured from June 17, 2002 through July 31, 2002. Two small metal screws that hold the toy stall doors in place can come off, posing an aspiration or choking hazard to young children. Fisher-Price has received 33 reports of the screws coming off of the toy, including four reports where a screw was found in the child's mouth and one report of a child that aspirated a screw into his lung. The latter case required the child to be hospitalized and undergo emergency surgery to remove the screw from his lung. The recalled Little People® Animal Sounds Farms are shaped like a barn and make animal sounds when the doors of the cow or horse stall are opened. The recalled toys have a model number of 77973 or 77746 and a six-character manufacturing date code that begins with 168 through 212, followed by the number 2 as the fourth digit. Both the model number and date code can be found on the underside of the green ramp. The Fisher-Price logo appears at the top of the tallest side of the barn in red and white. The recalled toys were manufactured in Mexico. Mass merchants and toy stores nationwide sold these toys between July 2002 and December 2002 for about $30. Consumers should take the toy away from young children immediately and contact Fisher-Price toll-free at (866) 259-7873 anytime to receive a free repair kit. Consumers also can log on to www.service.mattel.com to determine if their product is among the recalled models and to order the free repair kit online.",03111,https://www.cpsc.gov/Recalls/2003/CPSC-Fisher-Price-Announce-Recall-of-Little-People-Animal-Sounds-Farms-
"Child's Asphyxiation Death Prompts Recall of Toy Dart Gun Play Set by OKK Trading",12/17/2009 ,"The ACTION TEAM play set has a toy gun with three soft rubber darts, a S.W.A.T. watch, a baton, walkie-talkie, a whistle, and a badge with a clip and an identification card. The soft, pliable orange plastic darts have a nearly 2 ½ inch long shaft and an approximately ¾ inch diameter suction cup. The toy gun is black with an orange nose and trigger and red spring release mechanism. Made in China is printed on one side of the barrel.",10079,https://www.cpsc.gov/Recalls/2010/Childs-Asphyxiation-Death-Prompts-Recall-of-Toy-Dart-Gun-Play-Set-by-OKK-Trading
"Toy Firm Recalls Disney Baby Play Gyms",11/17/1988 ,"November 17, 1988 Release # 88-098 Toy Firm Recalls Disney Baby Play Gyms WASHINGTON - Illco Toy Company, USA, Inc., of New York is voluntarily recalling some of its Walt Disney Mickey Mouse Baby Play Gyms because buckles and loops may dislodge from the straps and, along with an attached rattle, may present a choking hazard to young children. This recall applies only to gyms with plastic or unstitched fabric straps. Gyms having fabric straps that are stitched in two locations are not being recalled. The freestanding activity center for infants, gym no. 8722, has four tubular-shaped supports and a crossbar with three fabric or plastic straps suspended from the crossbar. Each strap holds a toy, namely Mickey Mouse, Donald Duck and a disc-shaped baby rattle with a mirror on one side. The baby gym sold nationally for about $17.00 in 1987. Illco and the U.S. Consumer Product Safety Commission (CPSC) said some parents have complained about buckles coming off unstitched fabric straps on gym sets. CPSC tests have shown that buckles may also come loose from plastic straps. The buckles and loops of the gym are small enough to be ingested by an infant. In addition, the mirrored rattle may break into small parts and may present a potential choking hazard if it comes off the strap. Consumers having a gym set with plastic or unstitched fabric straps holding the figures and rattle to the crossbar should immediately take the toys away from infants and toddlers and request replacement straps, buckles, and rattles by writing to the Consumer Service Department, Illco Toy Company, 200 Fifth Avenue, New York, New York 10010",88098,https://www.cpsc.gov/Recalls/1988/Toy-Firm-Recalls-Disney-Baby-Play-Gyms
"Little Tikes Recalls Children's Toy Workshop Sets and Trucks Due to Choking Hazard",8/13/2009 ,"The oversized, plastic toy nail is about 3 inches long by 1 inch in diameter and comes in red or blue colors. It has a large round head; about 1 ¼ inches below the head is a plastic ridge, slightly smaller than the nail head and about 1 inch in diameter. They were sold with a variety of Little Tikes Children's products. The names, model numbers and UPC code of the products included in this recall are listed below: Model # Name 0914/430B Electronic Project Workshop SOLD FROM MARCH 1994 THROUGH DEC 2003 UPC: 0-50743-00914-3 UPC: 0-57043-52613-8 0920/612237 Little HandiWorker Workhorse SOLD FROM MARCH 1999 THROUGH JUNE 2009 UPC 0-50743-10920-1 UPC 0-50743-61223-7 4146 Home Improvements 2-Sided Workshop SOLD FROM FEBRUARY 2001 THROUGH JANUARY 2009 UPC 0-50743-04146-4 440Z Swirlin' Sawdust Workshop SOLD FROM APRIL 2004 THROUGH NOVEMBER 2008 UPC 0-50743-38540-7 4028 Black Pickup Truck with Tools SOLD FROM MARCH 2000 THROUGH APRIL 2009 UPC 0-50743-04028-3",09304,https://www.cpsc.gov/Recalls/2009/Little-Tikes-Recalls-Childrens-Toy-Workshop-Sets-and-Trucks-Due-to-Choking-Hazard
"BRIO Recall of Toy Baking Sets",6/13/2001 ,"BRIO Recall of Toy Baking Sets NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE June 13, 2001 Release # 01-170 BRIO Recall Hotline: (888) 274-6869 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 BRIO Media Contact: Robin Lehnert, (888) 274-6869 CPSC, BRIO® Announce Recall of Toy Baking Sets WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), BRIO® Corp., of Germantown, Wis., a subsidiary of BRIO AB of Sweden, is recalling 6,450 baking set toys. The sets include a hand mixer with a knob that can break off, posing a choking hazard to young children. CPSC and BRIO have not received any reports of incidents. This recall is being conducted to prevent the possibility of injuries. The yellow, blue and red hand mixers are 5.5 inches long, and are sold along with toy utensils, rolling pin, mixing bowl, and baking molds. The BRIO Small Baking Set and BRIO Baking Set are labeled for children ages 2 years and older and are packaged in a clear-plastic tote. Inside of the tote, a label reads, PARENTS: ENSURE THE ITEMS ARE WASHED THOROUGHLY BEFORE USE. The recalled baking sets have a model number of either 31798 or 31795. Specialty stores, Internet retailers, and mail order catalogs sold the toys nationwide from March 1999 through April 2001 for $15 to $25. Consumers should take the hand mixer away from children immediately and call BRIO toll-free at (888) 274-6869 between 8:30 a.m. and 5 p.m. CT Monday through Friday, for a refund or replacement item. Consumers also can send the mixer to BRIO Corp., SAFETY RECALL, N120 W18485 Freistadt Road, Germantown, WI 53022, for a refund or replacement. For more information, consumers can log on to the company website at www.briotoy.com.",01170,https://www.cpsc.gov/Recalls/2001/CPSC-BRIO-Announce-Recall-of-Toy-Baking-Sets
"Infinitoy Recalls Softimals Toy Sets Due to Choking and Aspiration Hazard",10/23/2013 ,"Infinitoy Inc. is recalling the Super Safari Set model #30025 and the Deluxe Circus Train Set model #30040. The model number can be found on the back of the box in the lower right corner. The sets come in a white box with Softimals. Build, Play, Repeat and Ages 1 ½ to 5 printed in a colorful font on the front and back of the package. The sets have numerous plastic pieces that can be connected and fit together to build a vehicle pulling cars with a hippo, giraffe, zebra and other animals. The drivers of the lead vehicles, Safari Sam and Mighty Mike, have removable blue or yellow plastic hats.",14003,https://www.cpsc.gov/Recalls/2014/Infinitoy-Recalls-Softimals-Toy-Sets
"AAFES Expands Recall of Soldier Bear Toy Sets Due to Lead Poisoning Hazard",7/18/2007 ,"This recall involves toy sets with various action figures, dinosaurs, animals and vehicles. The style number, Universal Product Code and Soldier Bear logo are printed on the product's packaging. Toy Set Style Code UPC # H.E.R.O.E.S. Dino Mega Cruiser 00047 4 98567 00047 4 Dinosaur Adventure Set (two styles) 91068 91074 6 98567 91068 1 6 98567 91074 2 Wild Animal Adventure Set 91074 6 98567 91074 2 H.E.R.O.E.S. Vehicle Play Set (three styles: military, police and fire rescue) 85939 6 98567 85939 3",07239,https://www.cpsc.gov/Recalls/2007/AAFES-Expands-Recall-of-Soldier-Bear-Toy-Sets-Due-to-Lead-Poisoning-Hazard
