Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"Animal Voices Musical Toys Recalled By Toys R Us",2/26/1987 ,"Animal Voices Musical Toys Recalled By Toys R Us NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE February 26, 1987 Release # 87-013 Animal Voices Musical Toys Recalled Because of Choking Hazard WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission, Toys-R-Us, Rochelle Park, New Jersey is recalling Animal Voices Musical Toys, Model 670508B, because they have small parts which are a choking hazard. Tests conducted by CPSC show that when the toys are dropped, the metal noisemakers and springs, which are small parts, detach. To meet CPSC safety requirements, toys intended for children younger than 3 years old must not have any small parts. The Animal Voices Musical Toys are cardboard cylinders measuring l-3/4 inches long by l-5/8 inches in diameter. One end of the cylinder is metal with holes in it. The other end is covered with green paper with the word, TAIWAN, printed on it in several places. Pictures of animals are printed on the side of the cylinder. When the cylinder is tilted it makes a noise like a baby animal. The Animal Voices Musical Toys are packaged,in pairs on a pink card labeled RECOMMENDED FOR AGES 6 MONTHS AND UP 2 PC ANIMAL VOICES 1986 SUMMCO INTERNATIONAL LTD., P.O. BOX 96-306 TAIPEI, TAIWAN DISTRIBUTED BY LASH DISTRIBUTORS, ROCHELLE PARK, N.J. 07662 NO. 670508 * * *. Approximately 56,500 of these toys, which were imported from Taiwan, were sold nationwide through Toys-R-Us stores from April, 1985 to December, 1986 for approximately $1.48. Although the CPSC and Toys-R-Us have not received reports of any injuries or deaths involving this toy, consumers should take these toys away from children and return them to any Toys-R-Us store for full refund of the purchase price. Anyone wishing additional information may call Toys-R-Us at 201-368-5433 or CPSC toll-free hotline number at 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",87013,https://www.cpsc.gov/Recalls/1987/Animal-Voices-Musical-Toys-Recalled-Because-of-Choking-Hazard
"CPSC, Wal-Mart Stores Announce Recall of Reef Rocker Infant Toys",2/15/2005 ,"This recall involves Baby Connection Reef Rocker infant toys. The floor toy is intended for children ages 3 months and above. The toy's water-filled dome and four toy balls have colorful sea creatures inside. Lights and music are activated when the toy is shaken.",05111,https://www.cpsc.gov/Recalls/2005/CPSC-Wal-Mart-Stores-Announce-Recall-of-Reef-Rocker-Infant-Toys-
"CPSC, Imperial Toy Corporation Announce Toy Recall",12/5/1995 ,"December 5, 1995 Release # 96-032 WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC). Imperial Toy Corporation of Los Angeles, Calif., is voluntarily recalling about100,000 toy vehicles, aquatic animals, bottle feeding sets, and meal time sets. The toys can break into small pieces, presenting a choking hazard to small children.The toy vehicles were sold in six styles: two types of cars, a bulldozer, tow truck, dump truck, and cement truck. The plastic vehicles, measuring 4 inches long, 2.75 inches wide, and 3 inches high, have black chassis and brightly colored carriages. The wheels generate sparks that are visible through the vehicles' windows as the toys roll. The toys were sold individually for $2 each from bulk containers labeled in part, Imperial Mighty Machines Motorized Big Wheel Sparklers***. The toys break into small pieces which could choke children.The aquatic animal toys, measuring 3 inches long, were sold in four styles with three of the styles included in this recall: Tammy the Turtle, Peppy the Penguin, and Sally the Seal. The brightly colored plastic wind-up toys have moving parts that propel them through water.The toys were sold individually for about $4 on blister packed cards labeled in part, Aqua Wind Ups *** Imperial *** Swimming Aqua Animals *** No 8180. The animals' flippers, feet and snouts break off and present a choking hazard to small children. The Benjie the Beaver aquatic toy is not included in this recall. The toy bottle feeding set consists of two 3-inch high plastic baby bottles. The orange bottle has blue trim with a blue cap. The clear bottle trimmed in pink has a pink cap. The bottles were sold in pairs for $2 and were blister packed on cardboard and labeled in part, Imperial Cuddles Bottle Feeding Set *** No 8233. If the bottle's nipple and funnel break apart and children put the pieces in their mouths, the children could choke.The plastic toy meal set includes a plastic dish, feeding bottle, two strainers, and a funnel made of blue, yellow, pink, and purple plastic. The toys sold for about $2 and were blister packed on a card labeled in part, Imperial *** My Dolly Meal Time *** NO. 8327. The end of the bottle breaks off and presents a choking hazard.Ben Franklin, Revco, and toy stores nationwide sold the toys imported from China from 1993 to April 1995. Consumers should take these recalled toys away from young children immediately and return the toys to the store where purchased for a full refund. For more information about this recall, consumers should call Imperial Toy Corporation at (800) 543-6551, or write to the company at 2060 E. 7th Street, Los Angeles, CA 90021.CPSC and Imperial Toy Corporation are not aware of any injuries involving these toys. This recall is being conducted to prevent the possibility of injury",96032,https://www.cpsc.gov/Recalls/1996/CPSC-Imperial-Toy-Corporation-Announce-Toy-Recall
"CPSC, Creative Consumer Concepts Inc. and Whataburger Inc. Announce Recall of Kid's Meal Toys",4/26/2001 ,"April 26, 2001Release # 01-135 Compass Toy Recall Hotline: (866) 327-2216 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Creative Consumer Concepts Inc. and Whataburger Inc. Announce Recall of Kid's Meal Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Creative Consumer Concepts Inc., of Overland Park, Kan., and Whataburger Inc., of Corpus Christi, Texas, are voluntarily recalling about 330,000 Whatagear compass toys. Creative Consumer Concepts Inc. manufactured these toys, which were distributed with kids' meals at Whataburger Restaurants. The clear, plastic lens covers on these compass toys can come off and pose a choking hazard to young children.Creative Consumer Concepts, Inc. has received four reports of the lens covers of the compass toys coming off. No injuries have been reported.The Whatagear compass is a plastic toy with a compass in its center. The toys have varied features, such as flashlights, magnifying lenses or tools. They come in various solid colors. The back of the compass reads, WHATAGEAR and WHATABURGER.Whataburger Restaurants in Alabama, Arizona, Florida, Louisiana, New Mexico, Oklahoma and Texas distributed the toys from March 2001 through April 2001.Parents should take these toys away from children immediately, and return the toy to any Whataburger Restaurant for a free replacement toy. For more information, call Creative Consumer Concepts toll-free at (866) 327-2216 anytime; write to: Creative Consumer Concepts Inc., ATTN: Compass, 10955 Granada Lane, Overland Park, KS 66211; or go to the firm's web site at www.c3.to",01135,https://www.cpsc.gov/Recalls/2001/CPSC-Creative-Consumer-Concepts-Inc-and-Whataburger-Inc-Announce-Recall-of-Kids-Meal-Toys
"Wooden Beads & Tops Recalled",12/17/1996 ,"Wooden Beads & Tops Recalled NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT: Ken Giles December 17, 1996 (301) 504-7052 Release # 97-042 Wooden Toys Recalled Because of Lead Paint WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Oriental Trading Company of Omaha, Neb., is voluntarily recalling approximately 44,400 wooden toys because some of the paint on the toys contains high levels of lead. CPSC standards ban toys containing high levels of lead. Young children might swallow lead if they chewed on these toys. Although no reports of illness or injury have been received, this recall is being conducted to prevent the possibility of lead poisoning. Two types of wooden toys are involved in this recall. One toy is a set of 32 wooden beads with a cord for stringing the beads, packaged in a clear plastic bag labeled (in part): OTC Item No. M-027/653 QTY: 1PC MADE IN CHINA. The other toy is a set of six spinning tops, packaged in a clear plastic bag labeled (in part): OTC ITEM NO: M-027/294 QTY: 1 SET MADE IN CHINA. These two toys were sold from September 1994 to November 1996 through the firm's catalogs for under $4 and through retail stores. Consumers who purchased these wooden toys from toy stores should return them for a full refund or full credit. Consumers who purchased the toys through Oriental Trading's catalog should call the company at (800) 228-0045 to obtain refund instructions.",97042,https://www.cpsc.gov/Recalls/1997/Wooden-Toys-Recalled-Because-of-Lead-Paint
"Plush Shape Sorters and Stacking Toys Recalled by Gymboree",7/24/2000 ,"Plush Shape Sorters and Stacking Toys Recalled by Gymboree NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 24, 2000 Release # 00-150 Company Phone Number: (800) 222-7758 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 CPSC, Gymboree Announce Recall of Plush Shape Sorters and Stacking Toys PRODUCT: Plush Shape Sorter Toys - The Gymboree Corp., of Burlingame, Calif., is voluntarily recalling about 19,000 plush shape sorter toys. The toy is a multi-colored, plush fabric sorter box with six shapes that rattle, crackle or squeak, and have a multi-pattern design including, green with blue polk-a-dots, red and orange checks, and blue and green stripes. A label on the toy reads, GYMBOREE and Made In China. Gymboree and Play & Music Stores, and the Gymboree web site sold the toys nationwide from November 1998 through April 2000 for about $20. PROBLEM: The stuffing of the toys can contain sewing needles and sharp metal pieces. Young children could ingest or be cut by these sharp metal pieces. INCIDENTS/INJURIES: There has been one report of a part of a sewing needle in the stuffing of the plush shape sorter toy. After searching through its inventory, the firm found five additional plush shape sorter toys with sharp metal pieces. No injuries have been reported. WHAT TO DO: Stop using the toys immediately, and return it to the store where purchased for a refund. For more information, contact Gymboree at (800) 222-7758 between 9:00 a.m. and 5:00 p.m. PT Monday through Friday. PRODUCT: Plush Stacking Toys - The Gymboree Corp., of Burlingame, Calif., is voluntarily recalling about 12,000 plush stacking toys. The toy has four mutli-colored stacking shapes that graduate from large to small with plush fabric that rattle, crackle or squeak. The shapes of the stacking toy are a circle, square, triangle and star, and have multi-pattern designs including green with purple polk-a-dots, red and orange checks, and blue and green stripes. A label on these toys read, GYMBOREE and Made In China. Gymboree and Play & Music Stores, and the Gymboree web site sold the toys nationwide from November 1998 through June 2000 for about $20. PROBLEM: The stuffing of the toys can contain sewing needles and sharp metal pieces. Young children could ingest or be cut by these sharp metal pieces. INCIDENTS/INJURIES: After searching through its inventory, the firm found sharp metal pieces in six of the plush shape stacking toys. No injuries have been reported. WHAT TO DO: Stop using the toys immediately, and return it to the store where purchased for a refund. For more information, contact Gymboree at (800) 222-7758 between 9:00 a.m. and 5:00 p.m. PT Monday through Friday.",00150,https://www.cpsc.gov/Recalls/2000/CPSC-Gymboree-Announce-Recall-of-Plush-Shape-Sorters-and-Stacking-Toys
"Planet Discovery Kid's Meal Toy Recalled by Chick-fil-A Inc.",2/8/2001 ,"Planet Discovery Kid's Meal Toy Recalled by Chick-fil-A Inc. NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE February 8, 2001 Release # 01-081 Chick-fil-A Recall Hotline: (866) 736-5914 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Ken Giles, (301) 504-7052 Chick-fil-A Media Contact: Don Perry, (404) 765-8038 CPSC and Chick-fil-A Inc. Announce Recall of Planet Discovery Kid's Meal Toy WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Chick-fil-A Inc., of Atlanta, Ga., is recalling about 3.8 million Planet Discovery Kid's Meal toys. The toys were distributed at 800 Chick-fil-A restaurants nationwide during January 2001 and during January 1999. The suction cup on the toy can come off, presenting a choking hazard to young children. Chick-fil-A has received seven reports that the suction cup on the toy came off. In one case, a child began choking but the parent removed the suction cup before medical treatment was needed. The Planet Discovery toys are plastic disks (about 2 to 3 inches in diameter) with a suction cup (about 1.5 inch in diameter) on the back. The toys depict all of the planets plus the moon and the sun. Each toy comes in a plastic bag labeled Planets: Collect Them All! A paragraph on the bag also says: Parents: This toy has been safety- tested for children of all ages. The planet toy itself says Chick- fil-A Inc. 1999, 1998 Namkung Promotions Inc, and China. Parents should immediately take away the toy from young children. Throw away the toy or return the planet toys to a Chick-fil-A restaurant for a free replacement premium or a small Icedream®. For questions about this recall, contact Chick-fil-A toll-free at (866) 736-5914.",01081,https://www.cpsc.gov/Recalls/2001/httpwwwcpscgovcpscpubprerelprhtml0101081html
"Playskool Busy Poppin' Pals Toys Recall",12/8/2000 ,"Playskool Busy Poppin' Pals Toys Recall NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued December 8, 2000, Revised October 24, 2002 Release # 01-050 Playskool Recall Hotline: (800) 752-9755 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Ken Giles, (301) 504-7052 Note: phone number change CPSC, Playskool Announce Recall of Additional 170,000 Busy Poppin' Pals Toys WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Playskool, of Pawtucket, R.I., is voluntarily expanding its recall program for its Busy Poppin' Pals toys to include 170,000 Sesame Street Busy Poppin' Pals toys. Small springs inside these toys can break loose, posing a choking and laceration hazard to young children. On August 16, 2000, Playskool and CPSC announced the recall of 420,000 Busy Poppin' Pals toys with model number 5415, featuring animal characters, for the same problem. Playskool has received eight reports relating to the springs in its Sesame Street Busy Poppin' Pals toys, including one report that a child put the broken spring in his mouth. No injuries were reported. Playskool received 16 reports of springs breaking in the Busy Poppin' Pals toy recalled earlier. This resulted in five children putting the broken springs in their mouths, and two of these children suffering lacerations. Playskool's Sesame Street Busy Poppin' Pals toy is a 13-inch long white plastic toy with blue, yellow and green buttons, levers and knobs of various shapes that, when activated, make Sesame Street characters pop up from under the toy's base. The characters -- Elmo, Ernie, Big Bird, Bert, and Cookie Monster -- are hidden under corresponding blue, yellow or green lids that have the numbers one through five imprinted on top. The toy has a white carry handle and features the Playskool and Sesame Street logos on the front. The model number, 5446, MADE IN CHINA and C-023B are imprinted on the bottom of the toy. Mass merchandise stores and toy stores sold these toys (Playskool model 5446 made in China) nationwide from November 1994 through 1996 for about $10. Consumers should take these toys away from young children immediately, and contact Playskool at (800) 752-9755 anytime or visit the firm's web site at www.hasbro.com to get information about how to receive a free, redesigned replacement toy. Busy Poppin' Pals toys with model 6205 have different springs and are not part of this recall. Any Busy Poppin' Pals toy that have Made in Mexico imprinted on the toy's bottom are not part of this recall.",01050,https://www.cpsc.gov/Recalls/2001/CPSC-Playskool-Announce-Recall-of-Additional-170000-Busy-Poppin-Pals-Toys
"CPSC, Avon Products Inc. Announce Recall to Repair Jack-In-the-Box Toys",12/29/2003 ,"The Jack-In-the-Box toy is battery-operated, and has two yellow sides, two red sides, and a blue top and bottom. THE LEARNING JOURNEY is printed on the bottom of the toy. Model number F483361 is printed on the bottom of the packaging.",04528,https://www.cpsc.gov/Recalls/2004/CPSC-Avon-Products-Inc-Announce-Recall-to-Repair-Jack-In-the-Box-Toys
"Baby Buzz'r International Recalls Toy Baby Buzz'r",12/12/2001 ,"Baby Buzz'r International Recalls Toy Baby Buzz'r NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE December 12, 2001 Release # 02-062 Baby Buzz'r Recall Hotline: (866) 222-9289 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Baby Buzz'r International Announce Recall of Toy Baby Buzz'r WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Baby Buzz'r International, of Sandy, Utah, is voluntarily recalling about 8,800 Baby Buzz'r toys. The red, green and blue button covers on the toy can come off, posing a choking hazard to young children. Baby Buzz'r has received five reports of button covers coming off. No injuries have been reported. This recall is being conducted to prevent the possibility of injuries. Baby Buzz'r is a round plastic baby toy with a face on the front, a red and blue teethable ear on each side, and a yellow circular mirror on the back. The Baby Buzz'r toy has three colored buttons (red, green, blue) on the top of the product. When the buttons are depressed the toy vibrates, sounds music, or the eyes light up on the toy. Juvenile specialty stores nationwide, catalogues and internet sites sold the Baby Buzz'r toys from June 2001 through September 2001 for about $13. Consumers can identify the recalled toys by squeezing the button covers on the top of the toy with pliers. Button covers on toys that are part of the recall can be squeezed out of shape, and button covers on toys not included in the recall can not be squeezed out of shape with pliers. Consumers should immediately take the recalled Baby Buzz'r toys away from young children and contact Baby Buzz'r International to participate in the recall. Consumers can contact Baby Buzz'r International toll-free at (866) 222-9289 between 9 a.m. and 5 p.m. MT Monday through Friday. Consumers also can visit the firm's web site at www.babybuzzr.com (note added 01/18/2005 - recall information is no longer on the firm's web site). Baby Buzz'r toys currently being sold are not included in this recall.",02062,https://www.cpsc.gov/Recalls/2002/CPSC-Baby-Buzzr-International-Announce-Recall-of-Toy-Baby-Buzzr
"Johnson & Johnson Recalls Spin-A-Sound Toy",11/2/1989 ,"November 2, 1989 Release # 90-007 Johnson and Johnson Recalls Spin-A-Sound Toy WASHINGTON, D.C. -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Johnson and Johnson Baby Products Company, Skillman, NJ, is voluntarily recalling its Spin-A- Sound infant toy. Although no injuries have been reported, the firm has learned that over time the red end caps on the Spin-A-Sound may become loose, causing the toy to come apart. This could expose children to the end caps, an ingestible small part, and the metal axle with a sharp point. The separated pieces can present a choking and/or laceration hazard.Johnson and Johnson reports approximately 1.3 million Spin-A-Sound toys have been distributed nationwide since 1981. The toy was sold in retail stores and through a mail program. Spin- A-Sound is a rattle-like toy and was part of the firm's child development toy series. It has two large yellow wheels on each end with red plastic end caps embossed with Johnson and Johnson. The metal axle joining the two wheels is not visible unless the toy comes apart. Three red, blue, and green plastic paddles rotate around the axle between the wheels. The toy produces a variety of clicking and rattle sounds as a child plays with it.Johnson and Johnson is asking consumers who have a Spin-A-Sound toy to return it for a $10.00 refund to cover the purchase price and return postage. Enclose your name, address, approximate date of purchase and mail the toy to: Spin-A-Sound Recall, P.O. Box 11460, Des Moines, IA 50381-1460",90007,https://www.cpsc.gov/Recalls/1990/Johnson--Johnson-Recalls-Spin-A-Sound-Toy
