Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"Wooden Vehicle Toys Recalled by Al-Dan Trading",10/8/1997 ,"Wooden Vehicle Toys Recalled by Al-Dan Trading NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued October 8, 1997, Revised July 10, 2001 Release # 98-005 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nchelle Fleming, (301) 504-7063 Note: Firm contact information not available. CPSC, Al-Dan Trading Inc. Announce Recall of Wooden Vehicle Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Al-Dan Trading Inc. of Miami, Fla. is recalling over 5,800 wooden vehicle toys. The toys have small parts that could separate and present a choking hazard to young children. CPSC and Al-Dan are not aware of any injuries involving these toys. This recall is being conducted to prevent the possibility of injury. The wooden vehicles include trucks, trains, race cars, motorcycles, airplanes, and cranes with parts painted red, blue, green, yellow and/or white. Vehicles range in sizes as small as 5 1/2 inches long and 2 1/2 inches high and as large as 15 inches long and 7 inches high. The small vehicles (trucks, trains, race cars, motorcycles and airplanes) could have a driver in the cab, movable parts, square and hexagon blocks with painted on numerals and letters, and a clock face. The big vehicles all have movable parts like the crane's operable hook, the truck's removable animals, and the locomotive's drive wheel connectors. Some toys may have a warning sticker stating /!\ WARNING CHOKING HAZARD - small parts not suitable for children under 3 years. NON-TOXIC AND MADE IN CHINA and/or another sticker stating 18 DANIEL BRAND with a UPC code number beginning with 69658. Despite the warning label, these toys present a choking hazard to young children. These toys were mainly sold in the following Florida discount stores: All for 99 Cents, Always 99 Cents, Dollar Store, Dollar Dave's, Daniel Club Wholesalers, and Swamis Trading from June 1996 through June 1997 for about $1. Consumers should take the recalled toys away from children immediately and discard or destroy them, or if possible, return them to the store where purchased for a full refund. However, the firm, Al-Dan Trading Inc., does not have contact information at this time.",98005,https://www.cpsc.gov/Recalls/1998/CPSC-Al-Dan-Trading-Inc-Announce-Recall-of-Wooden-Vehicle-Toys
"Radio Control Toy Trucks Sold by QVC Recalled for Fire Hazard",3/29/2006 ,"The Thunder Spin R.C. Road Rage Stunt Machine is 10 inches by 11 inches and was sold in blue or green. The radio-controlled Stunt Machine comes with one charger, one 9.6V rechargeable battery pack, and one 9-volt battery. The model number, T23624, is written only on the product's packaging, located above the Universal Product Code. The Stunt Machine comes with two orange flame decals on each side of the vehicle, one of which includes Stunt Machine in orange block lettering. A Thunder Spin logo can be found on the bottom of the vehicle.",06539,https://www.cpsc.gov/Recalls/2006/Radio-Control-Toy-Trucks-Sold-by-QVC-Recalled-for-Fire-Hazard
"CPSC, Division Sales, Inc. Announce Wooden Toy Truck Recall",12/19/1995 ,"December 19, 1995 Release # 96-048 WASHINGTON,D.C. - CPSC, Division Sales Inc., of Itasca, Ill., is recalling 44,000 wooden toy trucks. The truck's driver and wheels can break off, presenting a choking hazard to young children.The natural wood trucks, measuring approximately 5 inches long by 2 inches wide, were sold in six styles: two styles of dump trucks; a cement truck; a truck with a large, wooden, rotating cylinder; a truck with crane; and a truck with ladder. A small gold decal on the underside of the truck reads, MADE IN CHINA. Each truck is packaged with a small wooden driver figure in a blue cardboard box labeled, WOOD TOY ... ENGINEERING TRUCK EDUCATIONAL TOY. Various retail stores and discount centers sold the trucks nationwide from December 1993 through December 1995 for approximately $1 each.Consumers should take the toy vehicles away from young children immediately and return the trucks to the store where they were purchased for a full refund. For more information, consumers should call Division Sales Inc. at (800) 621-8134.CPSC and Division Sales, Inc. are not aware of any injuries involving these toy trucks. This recall is being conducted to prevent the possibility of injury",96048,https://www.cpsc.gov/Recalls/1996/CPSC-Division-Sales-Inc-Announce-Wooden-Toy-Truck-Recall
"Toy Trucks Recalled by MagicCabin",8/4/2003 ,"Toy Trucks Recalled by MagicCabin Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 August 4, 2003 Alert #03-549 CPSC, MagicCabin Announce Recall of Toy Trucks The following product safety recall was conducted voluntarily by the firm in cooperation with the CPSC. Consumers should stop using the product immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: Big Boy Trucks (Dump Truck & Tow Truck)  Units: 220 Manufacturer: Magic Cabin, of Viroqua, Wis., HearthSong, of Madison, Va. Hazard: Small parts can break off of the toy trucks posing a choking hazard to young children. Incidents/Injuries: No injuries have been reported. Description: The Big Boy Trucks are made of oak, maple, or walnut wood with a natural oil finish. The trucks are about 9 to 12 inches high. Sold At: Magic Cabin sold the toy trucks through their catalog and Web site from September 2002 through March 18, 2003 for about $16. Manufactured In: U.S.A. Remedy: Consumers should take the toys away from young children immediately and return to Magic Cabin for a refund, including the cost of postage. Send the toy trucks to Magic Cabin, Attn: Returns, 3700 Wyse Road, Dayton, OH 45414-2541. Consumer Contact: Call toll-free at (888) 623-6557 between 9 a.m. and 5 p.m. ET Monday through Friday. Media Contact: Ms. Linda DeRose-Droubay at (540) 948-7353",03549,https://www.cpsc.gov/Recalls/2003/CPSC-MagicCabin-Announce-Recall-of-Toy-Trucks
"LEGO Recalls Toy Trucks Due to Puncture Hazard to Young Children",9/20/2006 ,"LEGO EXPLORE Super Truck is a toy-in-toy product designed for children ages 18 months and up. The toy features a red plastic pick-up/dump truck that measures about 15 inches high and 19 inches wide with four 7-inch black plastic wheels that are packed with a box of 40 LEGO DUPLO bricks in the cargo area. The unit has a row of DUPLO studs across the top of the cab, molded yellow headlights and stickers on the front and sides of the unit create the idea of a windshield, windows and doors depicting a LEGO figure in the driver's seat. The LEGO Explore logo is printed on the door stickers. The box of DUPLO bricks is not included in this recall.",06262,https://www.cpsc.gov/Recalls/2006/LEGO-Recalls-Toy-Trucks-Due-to-Puncture-Hazard-to-Young-Children
"Toy Trucks Recalled by Variety Wholesalers Due to Violation of Lead Paint Standard",12/10/2009 ,"This recall involves Super Rig Transport toy truck with trailer and vehicles. The truck and trailer are multi-colored, holding two vehicles and two action figures. Super Rigs Play Set is labeled on the outside of the packaging. The box back has a bar code square with Item No. 67007, Made in China and Bar Code 6-98567-67007-3. The bottom of the trailer has an engraved code 45TNGO9.",10061,https://www.cpsc.gov/Recalls/2010/Toy-Trucks-Recalled-by-Variety-Wholesalers-Due-to-Violation-of-Lead-Paint-Standard
"Tonka(r) Toy Trucks Recalled by Isaac Morris",6/7/1999 ,"Isaac Morris Ltd., of New York, N.Y., is voluntarily recalling about 3,300 Tonka toy trucks.",99120c,https://www.cpsc.gov/Recalls/1999/Tonkar-Toy-Trucks-Recalled-by-Isaac-Morris
"Henry Gordy International Recalls Eggscavators Toy Trucks",4/18/1990 ,"CONTACT: April 18, 1990 (301) 504-7908 Release # 90-075 Henry Gordy International Recalls Eggscavators Toy Trucks WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Henry Gordy International, Plainfield, New Jersey is voluntarily recalling 40,000 Eggscavators Toy Trucks because the mixer on the cement truck may detach posing a choking hazard to young children. The product known as Eggscavators (Item Number 187) is a set of three plastic construction vehicles. Each set includes one of each of the following (colors may vary): - A dump truck with blue wheels, blue body and yellow dumper. - A cement truck with blue wheels, red body and yellow mixer. - A bulldozer with blue wheels, yellow body and red dumper and steering wheel. Embossed on the bottom of each vehicle are the words MADE IN HONGKONG. The cement and dump trucks have white sticker labels on them that read EGGScavators. Each vehicle is two inches wide and two and one-half inches long. These egg-shaped construction trucks have been sold nationwide since 1987 for under $2.00 a set. Neither the CPSC nor the company is aware of any injuries involving this product. This voluntary recall is being conducted to prevent the possibility of injury. Consumers are urged to take these toys away from young children immediately and return them to the store where purchased for a refund. These potentially hazardous toys were reported to CPSC by the Oregon State Public Interest Reseach Group",90075,https://www.cpsc.gov/Recalls/1990/Henry-Gordy-International-Recalls-Eggscavators-Toy-Trucks
"CPSC And Everything's A Dollar Announce Toy Truck Recall",2/22/1996 ,"February 22, 1996 Release # 96-073 WASHINGTON, D.C. - CPSC, Everything's A Dollar, Inc. of Milwaukee, Wisc. doing business as Everything's $1.00, is voluntarily recalling 9,382 Big Wooden Trucks. The toy trucks' driver, wheel, and axle pieces pose a potential choking hazard to young children.The trucks were sold in three styles: one with multi-colored abacus beads, one with six multi-color discs, and one with five lettered and numbered discs. The wooden trucks each measure 5.5 inches long with red wheels and headlights, and a driver with a yellow hat, white face and red body. Each toy is labeled, LIDCO, North York, Ontario Canada... SKU 58188... UPC number 0 59584 05230 1. More than 200 Everything's $1.00 retail stores nationwide sold the trucks for $1each. Consumers should take the trucks away from children under three years of age immediately. The firm is out of business. Consumers should discard or destroy these products.CPSC and Everything's A Dollar, Inc. are not aware of any injuries involving these products. This voluntary recall is being conducted to prevent the possibility of injury.The potentially hazardous toys were identified during the State of Kentucky Product Safety Branch's examination of the Everything's $1.00 retail store in Florence, Ky",96073,https://www.cpsc.gov/Recalls/1996/CPSC-And-Everythings-A-Dollar-Announce-Toy-Truck-Recall
"Target Stores Recalls Trucks And Dolls Because Of Choking Hazards",5/9/1990 ,"May 9, 1990 Release # 90-092 Target Stores Recalls Trucks And Dolls Because Of Choking Hazards WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Target Stores of Minneapolis, MN is voluntarily recalling My First Buddys Wrecker Truck, My First Buddys Pumper Truck and their Potpourri Baby Doll because of small parts that present potentially fatal choking hazards to young children. The recalled items sold nationwide in 1988 and 1989 in Target Stores are as follows:MY FIRST BUDDYS WRECKER TRUCK Amount Sold: 27,000 (approximate) Average Price: $4.99 This truck is all plastic, has an orange body with My First Buddys embossed on the right side and WRECKER printed in white on both sides in all capital letters, has yellow rails, a blue pulley on a string for towing, a moving emergency light, black tires on white wheels, and a white built-in handle with BUDDYL embossed on the front. The truck makes a clicking sound when rolled back and forth. The emergency light on the top of the truck separates during use and abuse testing and is a small part. MY FIRST BUDDYS PUMPER Amount Sold: 27,000 (approximate) Average Price: $4.99 This truck is all plastic, has a red body with PUMPER printed in white on both sides in all caps, has yellow and white fire equipment attached, and has a white built-in handle with BUDDYL embossed on the back and blue tires on white wheels. The truck makes a clicking sound when pushed back and forth. The yellow fire fighting nozzle on top of the truck is a small part. POTPOURRI BABY DOLLS Amount Sold: 1,497 Average Price: $2.49 The dolls stand 3-1/2 inches tall and have moveable limbs. They are wearing solid or multi-colored shorts and come with a two-inch by three-inch scented pillow made of the same fabric trimmed with lace. The dolls come with straight blonde hair and freckled faces. The arms and legs of the doll separate during use and abuse testing and are small parts. Neither the CPSC nor the company is aware of any injuries involving this product. This voluntary recall is being conducted to prevent the possibility of injury. Consumers are urged to take these toys away from young children immediately and return them to the store where purchased for a refund of the purchase price. Consumers with questions about this recall may contact Target Store headquarters at (612) 370-6000. These three potentially hazardous toys were identified at the Ports of Los Angeles and Oakland, California during a joint CPSC/U.S. Customs Service surveillance program",90092,https://www.cpsc.gov/Recalls/1990/Target-Stores-Recalls-Trucks-And-Dolls-Because-Of-Choking-Hazards
"Harco, Inc. Recalls Rescue Truck",5/28/1991 ,"May 28, 1991 Release # 91-077 Harco, Inc. Recalls Rescue Truck WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Harco, Inc., Tuscaloosa, AL is voluntarily recalling approximately 1,100 units of the Rescue Truck friction toys, model number 8115. When CPSC tested the trucks in accordance with regulations under the Federal Hazardous Substances Act, the truck wheels and rims separated and are small parts that pose a potential choking hazard for young children. The trucks are sold in three styles: a red fire truck, a blue police truck, and a white ambulance. Each vehicle is made of hard plastic and has a bear as the driver whose head nods back and forth when in motion. The trucks have yellow wheels with white rims and the friction on the rear wheels gives the trucks power to move. The license plate on the front bumpers bears the number 8115. The trucks measure four and one-half inches long, three inches wide, and three and one-half inches high. A label on the box reads 1987 Action Toys Co. Ltd. . . . Made in China. The statement Action Toys, Made in China, is embossed in the bottom of the trucks. The trucks were sold in Alabama, Florida, and Mississippi at Harco Drug Stores from September 1990 to April 1991 for approximately $4.99 each. Neither the CPSC nor the company is aware of any injuries involving this product. This voluntary recall is being conducted to prevent the possibility of injury. Consumers are urged to take these toys away from young children immediately and return them to the store where purchased for a full refund of the purchase price. For more information about this recall, consumers may call the firm at 1-800-477-9138. The CPSC's mission is to protect the public from unreasonable risks of injury and death associated with consumer products. The CPSC is the Federal agency responsible for consumer product safety. Some 15,000 different types of consumer products fall within the Commission's jurisdiction and each year these products are involved in an estimated 29 million injuries and 22,000 deaths",91077,https://www.cpsc.gov/Recalls/1991/Harco-Inc-Recalls-Rescue-Truck
"Toy Puzzle Vehicle Sets Recalled Due to Violation of Lead Paint Standard; Sold Exclusively by QVC",3/20/2008 ,"The recall includes the 16 piece Puzzle Track Play sets also known as Battery Operated Puzzle Vehicle sets. QVC item number T16876 is printed on the exterior of the brown box packaging. The sets have plastic puzzle pieces that when put together form a track with a battery operated train, fire engine or school bus vehicle designed to run on the track. Miniature street signs, traffic cones, and a battery for the vehicle are also included in the sets.",08551,https://www.cpsc.gov/Recalls/2008/Toy-Puzzle-Vehicle-Sets-Recalled-Due-to-Violation-of-Lead-Paint-Standard-Sold-Exclusively-by-QVC
"CPSC And Wholesale Warehousing Recall Toy Truck",11/1/1994 ,"November 1, 1994 Release # 95-016 Washington, D.C. - CPSC, DS-MAX U.S.A. Inc. (formerly Wholesale Warehousing Industries) of Irvine, Calif., had voluntarily recalled about 82,000 My Alphabetic Truck toys, style SHYE-AT-002. During CPSC use and abuse testing, small parts were generated, presenting a potential choking hazard to young children. Neither CPSC nor DS-MAX U.S.A. Inc. is aware of any injuries with the toy trucks.The My Alphabetic Trucks, which cost about $5, were sold door-to-door, nationwide between August 1993 and June 1994. The 12-inch truck is lacquered wood with red wheels and one or two non-removablewooden peg men in the front cab. Thirty wooden blocks with a picture on one side and a corresponding letter on the other are mounted to the truck's bed. A MADE IN CHINA sticker is located on the underside of the truck. Consumers should take the truck away from children and discard or destory the product. The firm is out of business and cannot be contacted",95016,https://www.cpsc.gov/Recalls/1995/CPSC-And-Wholesale-Warehousing-Recall-Toy-Truck
"CPSC, Dollar Tree Stores Announce Wooden Toy Truck Recall",1/19/1995 ,"January 19, 1995 Release # 95-063 WASHINGTON, D.C. - CPSC, Dollar Tree Stores Inc., of Norfolk, Va., is voluntarily recalling about 178,000 wooden construction and educational toy trucks, imported from China. CPSC testing found that the toys contained small figurines and truck pieces, which broke off during impact and tension testing. These small parts present a choking hazard to young children.The nine different styles of painted and natural wood trucks involved in this recall are approximately 5 1/2 inches long and 2 inches wide with a permanently attached driver figurine. The natural wood trucks come packaged either shrink-wrapped or in a blue cardboard box labeled, Wood Toy ... Engineering Truck...Made in China. The painted trucks only come packaged in shrink-wrap. All nine styles have a small gold decal on the underside that reads, Made in China.The natural wood four-wheeled construction trucks come in six styles: truck with a crane, truck with a ladder, cement truck, dump truck, dump truck with body on a swivel, and a truck with roller on back. All of these natural wood vehicles are covered with a clear varnish finish and contain a small figurine in the driver's seat.The painted wooden trucks come in three different styles. All three styles have four red wheels, two red head lights, with cabs hauling either a multi-colored abacus, a set of six moveable discs in different colors, or six natural-colored discs painted with math signs and numerals. Dollar Tree Stores Inc. sold these trucks nationwide at Dollar Tree stores from July to December 1994 for $1.00 each.Consumers are urged to take the vehicles away from young children immediately and return them to the Dollar Tree store where purchased for a full refund. Consumers who have questions about this recall can contact Dollar Tree Stores Inc. at (804) 857-5884.CPSC and Dollar Tree Stores Inc. are not aware of any injuries involving these toy trucks; this recall is being conducted to prevent the possibility of injury",95063,https://www.cpsc.gov/Recalls/1995/CPSC-Dollar-Tree-Stores-Announce-Wooden-Toy-Truck-Recall
