Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
"Toy Cars Recalled by Li Peng Enterprises",7/14/1988 ,"Toy Cars Recalled by Li Peng Enterprises NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 14, 1988 Release #88-050 Toy Cars Recalled WASHINGTON, D.C. -- Two models of a toy car which may pose a choking hazard to young children are being voluntarily recalled by Li Peng Enterprises, Inc., of Los Angeles, Cal., in an agreement reached with the U.S. Consumer Product Safety Commission. The plastic toys, sold as wind-up and battery-powered models, consist of a panda pushing another panda in a four-wheel cart. Each cart has an umbrella with plastic discs and balls hanging from the umbrella. The carts are labeled MUSICAL CAB ST-22 (A or B) MADE IN TAIWAN. The balls on the umbrellas and other small parts can come off and present a choking hazard to young children. Consumers should immediately take the toys away from children, discard the toys or return them to the retail store where purchased for a full refund. Approximately 4,800 of the wind-up toys and 3,600 of the battery-powered models were sold between November 1987 and January 1988 for $2.50 each.",88050,https://www.cpsc.gov/Recalls/1988/Toy-Cars-Recalled
"Star Sales Company Inc. Recalls Baby Snack And Boat And Trailer Toy Sets",8/1/1994 ,"August 1, 1994 Release # 94-110 PRODUCT: About 2,200 Baby Snack and about 3,300 Boat and Trailer toy sets sold nationwide between January 1993 and June 1994. The Baby Snack set has the following toys: two bottles, a dish, a bottle cleaner, a spoon, and three empty boxes of make-believe baby food. The Boat and Trailer set has the following plastic toys: a car, a trailer, a boat, and two figures (a boy and a girl).PROBLEM: The sets have small parts that are a choking risk to young children.WHAT TO DO: Take the recalled toys away from young children immediately and return them to the stores where they were purchased for a full refund. For more information call (800) 347-9494.Washington, DC - CPSC, Star Sales Company Inc. of Knoxville, Tenn. is voluntarily recalling about 2,200 Baby Snack and 3,300 Boat and Trailer toy sets.Kentucky's Product Safety Branch reported to CPSC that these toys are choking hazards to children under age three. CPSC testing confirmed that the caps on the baby bottles in the Baby Snack sets and the figures in the Boat and Trailer sets are small enough to choke young children.The toy sets which were imported from China, and sold nationwide from January 1993 to June 1994 at independent toy and retail stores for $1.99 each.The Baby Snack set contains the following toys: two baby bottles with twist-off nipples and caps, a pink tri- sectional dish, a bottle cleaner, a spoon, and three empty boxes of make-believe baby food. The Boat and Trailer set contains the following toys (all plastic): a car, a trailer, a boat, and two small figures (one boy and one girl).Each set comes packaged in clear plastic with a cardboard back. The snack set is labeled, in part, ...Baby Snack Set...made in China...No 1231. The boat and trailer set is labeled, in part, Boat and Trailer...made in Hong Kong...No 9882.The toys should be taken away from young children immediately and returned to the stores where they were purchased for a full refund. For more information about this recall, call Star Sales Company Inc. at (800) 347-9494 or write the company at 1803 North Central Street, Knoxville, TN 37901.Neither CPSC nor Star Sales Company Inc. is aware of any injuries involving these toys; this recall is being conducted to prevent the possibility of injury",94110,https://www.cpsc.gov/Recalls/1994/Star-Sales-Company-Inc-Recalls-Baby-Snack-And-Boat-And-Trailer-Toy-Sets
"E. Fomil & Sons, Inc. Recalls Eight Toys",9/6/1990 ,"CONTACT: September 6, 1990 (301) 504-7908 Release # 90-151 E. Fomil and Sons, Inc. Recalls Eight Toys WASHINGTON, DC -- E. Fomil and Sons, Inc. of Burlingame, CA is voluntarily recalling eight different toys which were manufactured in Hong Kong in 1989. All of the toys fail the small parts requirements and are being recalled because they pose a fatal choking hazard to young children. This recall is being conducted in cooperation with the U.S. Consumer Product Safety Commission (CPSC). Approximately 88,752 of these toys were sold in retail stores nationwide from January 1, 1989 through March 31, 1990 at prices ranging from $.59 to $2.00 each.Baby Alice #20989 This toy consists of a seven-inch baby doll wearing a crochet hat and dress in either pink, blue and white; or yellow, blue and white. The doll is also wearing white tights and comes with a two and one-half inch bottle. The doll's arms detach easily and can cause choking in young children.Baby Linda #21173 and Comfy Karen #21282These toys consist of a six and one-half inch bald baby doll wrapped in a pastel colored blanket. A two and one-half inch tall white baby bottle is also included. The doll's arms detach easily and can cause choking in young children.Fun Time Baby Bottle #21153 and Nursing Bottles #21132These toy baby bottles are approximately three and one-half inches tall and come two or three to a package. These see- through plastic baby bottles have rubber nipples and red nipple collars. The nipple and nipple collar detach easily and can cause choking in young children.Princess Telephone Toys #20930 This toy consists of a four and one-half inch plastic princess style telephone which comes two to a package in a variety of colors. A decal is attached to the middle of each dial. The telephone dials break easily creating a choking hazard to young children.Work Trucks #1908 This toy consists of four plastic trucks each four inches long. Each package contains a dump truck, a flatbed truck, a truck marked Shell and a truck marked Sea Land. The trucks are two-tone in a variety of colors. The small axles and wheels come off easily creating a choking hazard to young children.Car Transport Vehicle #42124 This toy consists of a seven and one half-inch car transporter being pulled by a truck. The set comes with a pair of two and one-half inch cars which have racing decals on the hood. The small axles and wheels detach easily creating a choking hazard to young children.Neither the CPSC nor the company is aware of any injuries involving these products. This voluntary recall is being conducted to prevent the possibility of injury. The potentially hazardous toys were identifed by CPSC during an inspection to determine compliance with the Commission's toy safety regulations. Consumers are urged to take these toys away from young children immediately and return them to the store where purchased for a refund of the purchase price. Consumers with questions about this recall may contact E. Fomil and Sons, Inc. directly at 1-800-248-8697",90151,https://www.cpsc.gov/Recalls/1990/E-Fomil--Sons-Inc-Recalls-Eight-Toys
"Kidpower Recalls Cars In Zap Zap Racetrack Sets",12/19/1994 ,"December 19, 1994 Release # 95-047 WASHINGTON, D.C. - CPSC, Kidpower Inc. of Brentwood, Tenn., is voluntarily recalling and replacing cars in about 18,000 Zap Zap Racetrack car sets.Kidpower reported to CPSC that the manufacturer misassembled or failed to assemble some of the cars in the sets. Wheels and other small components on the cars present a potential choking hazard to young children.Neither CPSC nor Kidpower is aware of any injuries involving this toy; this recall is conducted to prevent the possibility of injury.The toy contains two curve tracks, one start ramp section, two GT race cars, four flagpoles, and labels. While the race cars come constructed, consumers must assemble the racetrack before use.The toy was sold nationwide from January to December 1994 through Fingerhut catalogue sales, Toys-R-Us, and other retailers for about $20.00.The toy cars should be taken away from young children immediately. For replacement instructions, consumers can contact Kidpower at (800) 545-7529 Ext. 230, or write the company at 8005 Church Street East, Brentwood, TN 37027. Fingerhut will directly notify each of their customers by providing instructions for replacing the toy cars",95047,https://www.cpsc.gov/Recalls/1995/Kidpower-Recalls-Cars-In-Zap-Zap-Racetrack-Sets
"Toy Racing Cars Recalled by OKK Trading Due to Violation of Lead Paint Standard",1/23/2008 ,"This recall involves toy racing cars that are operated with a remote control. The toy racing car comes with four additional tires and one remote control. Formula 1 is printed on the packaging.",08172,https://www.cpsc.gov/Recalls/2008/Toy-Racing-Cars-Recalled-by-OKK-Trading-Due-to-Violation-of-Lead-Paint-Standard
"CPSC, Fisher-Price Announce Recall of Push Toys",5/10/2005 ,"The recalled Lil' Wagster Dragster toy is an electronic push toy for children 1-year-old and up. It has a green race car base with red wheels and a blue handle that extends up for the child to hold. The words Fisher-Price are stamped in red on the handle unit, while the number 3 is stamped in yellow on the front of the race car base. The push toy has a model number of B0335, which is printed on the underside of the toy's race car base.",05168,https://www.cpsc.gov/Recalls/2005/CPSC-Fisher-Price-Announce-Recall-of-Push-Toys-
"Hot Pet Car Toy Recalled by United Tradeline",10/2/1997 ,"Hot Pet Car Toy Recalled by United Tradeline NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE October 2, 1997 Release # 98-001 Company Phone Number: (888) 898-9296 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Mark Ross, (301) 504-7076 CPSC, United Tradeline Announce Recall of Toy Hot Pet Car WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), United Tradeline Inc. of Arcadia, Calif., is recalling about 4,400 battery-operated toy cars. Small pieces could break off the cars, presenting a serious aspiration hazard to young children. CPSC and United Tradeline Inc. are not aware of any injuries involving this toy. This recall is being conducted to prevent the possibility of injury. The Hot Pet Car is a red car driven by a yellow dog with orange ears wearing a purple bow and using a cellular phone. The car measures about 3.5 inches wide, 5 inches high and 8 inches long. When turned on, the wheels turn crookedly, and the toy plays music and sound effects. The sound effects also can be activated by pressing the center of the spare tire on the trunk. The car has decals bearing the words YAHOO! and NO. 1. The toy, made in China, is packaged in a green box labeled in part HOT PET CAR, and I.C SOUND. The model number, HK-736, also is written on the sides of the box. Small retail and toy stores sold the toy cars primarily in the Los Angeles, Calif., area from April 1997 through May 1997 for about $3. Consumers should take these toys away from young children immediately, and call United Tradeline Inc. at (888) 898-9296 betwen 9 a.m and 6 p.m. PDT Monday through Friday, or write to the company at 11800 E. Clark Street, Arcadia, CA 91006 for information on a refund. CPSC learned of the problem through testing samples as part of a joint CPSC/U.S. Customs Service import surveillance.",98001,https://www.cpsc.gov/Recalls/1998/CPSC-United-Tradeline-Announce-Recall-of-Toy-Hot-Pet-Car
"McCrory Stores, Inc. Recalls Toy Car Because Of Choking Hazard",9/6/1990 ,"September 6, 1990 Release # 90-149 McCrory Stores, Inc. Recalls Toy Car Because Of Choking Hazard WASHINGTON, DC -- McCrory Stores, Inc. of York, PA is voluntarily recalling approximately 3,800 Spring N' Bounce Car toys, items #8941 and 8941S, because of small parts which could detach and become a choking hazard to young children. This recall is being conducted in cooperation with the U.S. Consumer Product Safety Commission (CPSC). The Spring N' Bounce is a plastic friction powered toy car with one of several spring-supported monster head figures located in the driver's seat. Each assortment comes with individual playing features such as a clicking hammer and bouncing hood. Item #8941S also comes with a pencil sharpener. The cars are approximately four inches long and two inches wide and come in a variety of colors. When tested by the CPSC in accordance with regulations under the Federal Hazardous Substances Act, the car wheels, hood, windshield frame and a hammer located on one of the varieties of this toy separated from the toy posing a choking hazard. The Spring N' Bounce car was imported from China and sold nationwide between August 1, 1989 and January 5, 1990 by Bargain Time, Britts, Elmore, McCrory, H.L. Green, Kress, McClellan, T.G.andY., Silver Kittinger, Newberry Stores, G.C. Murphy and some independent variety stores. The toy cars carried a suggested retail price of $2.49 each. Neither the CPSC nor the company is aware of any injuries involving this product. This voluntary recall is being conducted to prevent the possibility of injury. Consumers are urged to take these toys away from young children immediately and return them to the store where purchased for a refund of the purchase price. Consumers with questions about this recall may contact McCrory Corporation toll-free at 1-800-284-3704. CPSC learned about the potentially hazardous toys from the U.S. Public Interest Research Group this past holiday season",90149,https://www.cpsc.gov/Recalls/1990/McCrory-Stores-Inc-Recalls-Toy-Car-Because-Of-Choking-Hazard
"Soft Walkin' Wheels Toy Vehicles Recall by Tonka",1/29/1997 ,"Soft Walkin' Wheels Toy Vehicles Recall by Tonka NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT: NYCHELLE WHITE JANUARY 29, 1997 (301) 504-7063 Release # 97-064 CPSC, Tonka Announce Recall of Soft Walkin' Wheels Toy Vehicles WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Tonka Corporation, a division of Hasbro Inc. of Pawtucket, R.I., is voluntarily recalling about 1 million Soft Walkin' Wheels (model 90165) toy vehicles, with serial numbers lower than 9528 or no serial number at all. The small wheel hubs can separate from the axle, creating a potential choking hazard. Tonka has received about 40 reports of wheel hubs separating from the axle, including two reports of children starting to choke. No injuries have been reported. Soft Walkin' Wheels are battery-powered, soft toy vehicles designed to move across floors in the home. They are covered in brightly colored nylon fabric and are available in five styles: dump truck, school bus, airplane, train, and fire truck. Soft Walkin' Wheels included in this recall have serial numbers lower than 9528 or do not have a visible serial number. The numbers are printed in blue ink on the sewn-in label that displays the toy's cleaning instructions, brand name, and model number. Major toy stores and mass merchandise outlets nationwide sold these toys beginning in January 1994 for about $15. Consumers should take these recalled toys away from children immediately. To receive a free replacement, consumers may call Tonka at 1 (800) 327-8264. Consumers may also return the toys to the store where purchased for a free replacement or full refund. Soft Walkin' Wheels (model 90165) with serial numbers 9528 and above; the Soft Walkin' Wheels Dalmatian, Dinosaur, or Pig; Soft Walkin' Tuggers; Soft Squeeze 'n Shine; and Soft Shakin' Wheels are not being recalled.",97064,https://www.cpsc.gov/Recalls/1997/CPSC-Tonka-Announce-Recall-of-Soft-Walkin-Wheels-Toy-Vehicles
"CPSC, New Star Toys & Gifts Inc. Announce Recall of Toy Cars",2/10/2005 ,"The recall includes two styles of toy cars. The Funny Puzzle Car or Funny Game Car is about 9 inches long. The car has an orange body, green interior and blue wheels. A frog button is on one side and lettered buttons are on the other. Stickers on the car read FUNNY GAME CAR, Funny Intelligence Game and NO. 1340. They are sold with four shape blocks that can be inserted in the windows of the car. The Funny Cartoon Car or Beautiful Music Car is a six-wheel truck about 16 inches long. The cab of the truck is yellow and the trailer is green. It has 15 spinning blocks on one side showing Spanish words and a plastic abacus on the other side and a play clock on the back. Stickers on the product read Beautiful Music Car, LOVELY CARTOON CAR and NO.1345. Both products have a yellow pull-string in the front.",05101,https://www.cpsc.gov/Recalls/2005/CPSC-New-Star-Toys--Gifts-Inc-Announce-Recall-of-Toy-Cars-
"Toy Police Cars Recalled by TCB Imports Due to Violation of Lead Paint Standard",9/25/2008 ,"This recall involves toy police cars with a friction function. When the toy car is pushed forward, the car builds momentum. When released, the car moves forward on its own. The cars were sold in red/white and purple/white color combinations. The cars measure 8 inches by 4 inches by 4 ½ inches. Item number TF820 is printed on the product's packaging.",08412,https://www.cpsc.gov/Recalls/2008/Toy-Police-Cars-Recalled-by-TCB-Imports-Due-to-Violation-of-Lead-Paint-Standard
"TDI International Recalls Toy Cars Due to Violation of Lead Paint Standard",1/13/2009 ,"The recalled pull-back toy car is yellow with PROWL printed on the side, VICTOR printed on the hood, and a blue and red police warning light on the top.",09091,https://www.cpsc.gov/Recalls/2009/TDI-International-Recalls-Toy-Cars-Due-to-Violation-of-Lead-Paint-Standard
"Toy Cars Recalled for Choking Hazard",3/30/2006 ,"The recalled toys are soft, stuffed yellow taxis, black and white police cars and red fire engines, each with four plastic wheels. They measure about 6 inches in length and 5 inches in width. The toys have a silver-colored button on top that makes sounds when pushed. The police car and the fire engine make a siren sound. The taxi makes engine and horn sounds. Kids Preferred is printed on an attached fabric tag.",06126,https://www.cpsc.gov/Recalls/2006/Toy-Cars-Recalled-for-Choking-Hazard
"International Sourcing Ltd. Recalls Toy Dragster and Funny Car Due to Violation of Lead Paint Standard",11/7/2007 ,"The recall includes plastic models of a dragster and funny car. The dragster is approximately 22 inches long, black in color with various sponsor decals on the toys. The funny car is approximately 14 inches long and is also black in color. Both models have the ISL logo imprinted on the underside.",08067,https://www.cpsc.gov/Recalls/2008/International-Sourcing-Ltd-Recalls-Toy-Dragster-and-Funny-Car-Due-to-Violation-of-Lead-Paint-Standard
"Toy Police Cars Recalled by Fisher-Price",5/19/1997 ,"Toy Police Cars Recalled by Fisher-Price NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Phone number change. FOR IMMEDIATE RELEASE CONTACT:Ken Giles Originally issued May 19, 1997; Revised October 29, 2002 (301) 504-7052 Release # 97-124 CPSC, Fisher-Price Announce Recall of Toy Police Cars WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Fisher-Price Inc. of East Aurora, N.Y., is voluntarily recalling about 17,000 toy police cars sold since February 1997. The back of some cars could crack and break apart, presenting a potential choking hazard to young children. CPSC and Fisher-Price Inc. are not aware of any injuries involving these toy cars. This recall is being conducted to prevent the possibility of injury. The police car is part of the Little People Roadside RescueTM vehicle set. The set includes one white and blue police car; one yellow tow truck; one red passenger car; three figures including an auto mechanic, a police officer, and a driver; two orange traffic cones; one red stop sign; and one yellow yield sign. The police car is made of plastic. The upper part of the car is white and the lower part of the car is blue. There are blue star cutouts on both sides of the car. The car has black wheels. The police car is the only toy in the set involved in the recall. The vehicle set is packaged in a cardboard box labeled in part, Fisher-Price Little People Roadside RescueTM...Ages 1 1/2 - 5 yrs...72394. The vehicle set is visible through a plastic window on the box. Major toy stores and mass merchandise outlets nationwide have sold the vehicle set since February 1997 for about $8. Consumers who have purchased the vehicle set since February 1997 should take the police car away from young children immediately and call Fisher-Price toll-free at 800-233-4004. Consumers will receive a replacement vehicle free of charge.",97124,https://www.cpsc.gov/Recalls/1997/CPSC-Fisher-Price-Announce-Recall-of-Toy-Police-Cars
